,gap_closure,gap_closure,gap_closure,target_rank_improvement,target_first_top5,flip_position
,mean,std,count,mean,<lambda>,<lambda>
target_state,,,,,,
anna,0.72545,1.733792072419474,14,13295.0,0.0625,0.125
atticus,0.16685714285714287,0.4985454006241724,14,10.714285714285714,0.0,0.25
captain,0.125,0.3611213838118062,14,1013.9285714285714,0.0,0.25
don,2.1522071428571428,2.657579052869876,14,0.0,0.0,0.0
dracula,1.2410714285714286,2.157118295471841,14,4779.285714285715,0.0,0.0
elizabeth,0.21205000000000002,0.670256372018028,14,2047.142857142857,0.0,0.375
frodo,0.38392857142857145,0.9165469868593095,14,123.21428571428571,0.0,0.5
hermione,1.5825857142857143,2.7268897870191693,14,10658.357142857143,0.0,0.3125
holden,0.6852714285714285,1.8015557680168341,14,597.9285714285714,0.0,0.1875
huckleberry,0.04017857142857143,0.15033444857573872,14,128.71428571428572,0.0,0.1875
jay,1.285707142857143,1.8983986800476327,14,74.78571428571429,0.0,0.0625
katniss,1.5440857142857143,2.4613485380851827,14,3836.714285714286,0.0625,0.25
oliver,1.0931857142857142,1.9878720272450379,14,2623.285714285714,0.0,0.1875
raskolnikov,0.18972857142857144,0.7098993107677817,14,348.85714285714283,0.0,0.3125
scout,0.5929142857142856,1.980094796432015,14,295.85714285714283,0.0,0.3125
winston,0.45949999999999996,1.1731438038942132,14,2072.8571428571427,0.0,0.1875
