layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05261613428592682,0.05261613428592682
-1,1,651,1,The,,1.0,0.023394599556922913,0.2549019455909729
-1,2,2870,2, book,,1.0,0.023463398218154907,0.23150734603405
-1,3,24519,3, featuring,,1.0,0.030806362628936768,0.17939136922359467
-1,4,15841,4, Anna,,1.0,0.028652578592300415,0.20804394781589508
-1,5,30084,5, Karen,,1.0,0.05087721347808838,0.1034933477640152
-1,6,1338,6,ina,,1.0,0.017473161220550537,0.29081881046295166
-1,7,729,7, was,,1.0,0.018443703651428223,0.2733456492424011
-1,8,5952,8, written,,1.0,0.014239996671676636,0.3050588071346283
-1,9,731,9, by,,1.0,0.0450916588306427,0.1485850065946579
0,-1,0,2, book,,1.0,0.0012240409851074219,0.5514369606971741
0,-1,0,3, featuring,,1.0,0.0009506940841674805,0.5929713249206543
0,-1,0,4, Anna,,1.0,0.0005004405975341797,0.722486138343811
0,-1,0,5, Karen,,1.0,0.002086818218231201,0.4618832767009735
0,-1,0,6,ina,,1.0,0.0009646415710449219,0.5901006460189819
0,-1,0,7, was,,1.0,0.0005507469177246094,0.6984096169471741
0,-1,0,8, written,,1.0,0.0006393790245056152,0.6695074439048767
0,-1,0,9, by,,1.0,0.0010866522789001465,0.5684621334075928
0,10877,146,4, Anna,1.78125,1.0,0.000562131404876709,0.6939787864685059
0,10877,146,5, Karen,1.171875,1.0,0.000731348991394043,0.6448056697845459
0,1861484,1928,5, Karen,1.046875,1.0,0.0007903575897216797,0.628838300704956
0,7108334,3769,3, featuring,1.1015625,1.0,0.0003730654716491699,0.7839380502700806
0,13527800,5200,7, was,3.03125,1.0,0.0007232427597045898,0.6484366059303284
0,13789125,5250,2, book,2.0625,1.0,0.0005148053169250488,0.7153805494308472
0,17543925,5922,5, Karen,0.73046875,1.0,0.00039142370223999023,0.7686270475387573
0,19086930,6177,5, Karen,1.8671875,1.0,0.0015597939491271973,0.5061414837837219
0,21763502,6596,8, written,1.7421875,1.0,0.00044614076614379883,0.7441767454147339
0,33862334,8228,6,ina,1.171875,1.0,0.0003438591957092285,0.7993609309196472
0,35612579,8438,6,ina,3.109375,1.0,0.0007982254028320312,0.6256697773933411
0,36606845,8555,3, featuring,1.046875,1.0,0.0004966259002685547,0.7234814763069153
0,39582752,8896,8, written,3.703125,1.0,0.0006758570671081543,0.6609817147254944
0,44542640,9437,3, featuring,0.87109375,1.0,0.00037723779678344727,0.7809398770332336
0,65786184,11469,3, featuring,0.96875,1.0,0.00044292211532592773,0.7477282285690308
0,72282275,12022,6,ina,0.81640625,1.0,0.0003528594970703125,0.7951869368553162
0,75466754,12284,1,The,2.8125,1.0,0.0003896951675415039,0.7721403241157532
0,90511784,13453,7, was,1.75,1.0,0.0005452632904052734,0.7005969285964966
0,118787990,15412,3, featuring,0.9921875,1.0,0.0005295276641845703,0.707570493221283
0,121781420,15605,4, Anna,1.2109375,1.0,0.00039446353912353516,0.7674468755722046
