layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.050917647778987885,0.12258421629667282
-1,1,651,1,The,,1.0,0.023241057991981506,0.2253601849079132
-1,2,2870,2, book,,1.0,0.023196130990982056,0.24855631589889526
-1,3,24519,3, featuring,,1.0,0.029172882437705994,0.2021191269159317
-1,4,196613,4, Ebenezer,,1.0,0.02275523543357849,0.27131155133247375
-1,5,218049,5, Scrooge,,1.0,0.07166656851768494,0.07166656851768494
-1,6,729,6, was,,1.0,0.02226436138153076,0.2935759127140045
-1,7,5952,7, written,,1.0,0.017331421375274658,0.3109073340892792
-1,8,731,8, by,,1.0,0.05036202818155289,0.1729462444782257
0,-1,0,2, book,,1.0,0.0011527538299560547,0.6214800477027893
0,-1,0,3, featuring,,1.0,0.000937342643737793,0.6711552739143372
0,-1,0,4, Ebenezer,,1.0,0.0008405447006225586,0.6974943280220032
0,-1,0,5, Scrooge,,1.0,0.0018436312675476074,0.5328030586242676
0,-1,0,6, was,,1.0,0.000680387020111084,0.7318212389945984
0,-1,0,7, written,,1.0,0.0007051229476928711,0.7221106886863708
0,-1,0,8, by,,1.0,0.0012390613555908203,0.6025070548057556
0,827540,1285,5, Scrooge,2.078125,1.0,0.0007498860359191895,0.7155728340148926
0,6543152,3616,5, Scrooge,0.95703125,1.0,0.0008717179298400879,0.6872396469116211
0,13527800,5200,6, was,2.96875,1.0,0.0010323524475097656,0.6487100124359131
0,13789125,5250,2, book,2.0625,1.0,0.0005052685737609863,0.783104419708252
0,21763502,6596,7, written,1.8828125,1.0,0.0005969405174255371,0.7547516822814941
0,27606164,7429,5, Scrooge,0.89453125,1.0,0.0006542801856994629,0.7391523718833923
0,36606845,8555,3, featuring,1.046875,1.0,0.00047910213470458984,0.7894931435585022
0,39520494,8889,5, Scrooge,1.3984375,1.0,0.0007594823837280273,0.7102803587913513
0,39582752,8896,7, written,3.703125,1.0,0.0010985732078552246,0.6338316798210144
0,54533345,10442,5, Scrooge,0.67578125,1.0,0.00045752525329589844,0.7993142604827881
0,90511784,13453,6, was,1.734375,1.0,0.000644385814666748,0.7411049008369446
0,105045264,14493,5, Scrooge,3.265625,1.0,0.001422584056854248,0.5795424580574036
0,109719890,14812,5, Scrooge,3.1875,1.0,0.0008816123008728027,0.6819815635681152
0,140205884,16744,3, featuring,1.34375,1.0,0.000578463077545166,0.7623996734619141
0,170986277,18491,7, written,2.359375,1.0,0.0005525350570678711,0.77314692735672
0,171800915,18535,8, by,3.90625,1.0,0.009644180536270142,0.340448260307312
