layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.04284653067588806,0.12284843623638153
-1,1,651,1,The,,1.0,0.019622206687927246,0.2841975688934326
-1,2,2870,2, book,,1.0,0.0204382985830307,0.26457536220550537
-1,3,24519,3, featuring,,1.0,0.02404893934726715,0.24413706362247467
-1,4,29349,4, Emma,,1.0,0.02899184823036194,0.1937599927186966
-1,5,2513,5, Bo,,1.0,0.026328131556510925,0.22008812427520752
-1,6,51045,6,vary,,1.0,0.08000190556049347,0.08000190556049347
-1,7,729,7, was,,1.0,0.017444998025894165,0.3016425669193268
-1,8,5952,8, written,,1.0,0.013518691062927246,0.31516125798225403
-1,9,731,9, by,,1.0,0.041919708251953125,0.16476814448833466
0,-1,0,2, book,,1.0,0.0010533928871154785,0.586723268032074
0,-1,0,3, featuring,,1.0,0.0007142424583435059,0.6721728444099426
0,-1,0,4, Emma,,1.0,0.0005959868431091309,0.7138440608978271
0,-1,0,5, Bo,,1.0,0.0008090734481811523,0.6516188979148865
0,-1,0,6,vary,,1.0,0.0024233758449554443,0.4741969704627991
0,-1,0,7, was,,1.0,0.0005189180374145508,0.741244912147522
0,-1,0,8, written,,1.0,0.00047385692596435547,0.7576122283935547
0,-1,0,9, by,,1.0,0.0010250210762023926,0.593989908695221
0,10877,146,4, Emma,1.4375,1.0,0.0004124641418457031,0.7864821553230286
0,4244240,2912,6,vary,1.296875,1.0,0.001005709171295166,0.6000843048095703
0,4370445,2955,5, Bo,1.7734375,1.0,0.0005556344985961914,0.7304953932762146
0,4865639,3118,6,vary,0.5859375,1.0,0.00042891502380371094,0.7797772884368896
0,5189030,3220,6,vary,1.078125,1.0,0.0014070868492126465,0.5390405058860779
0,13527800,5200,7, was,2.96875,1.0,0.0007523298263549805,0.6656064987182617
0,13789125,5250,2, book,2.0625,1.0,0.00046008825302124023,0.7651292681694031
0,21763502,6596,8, written,2.03125,1.0,0.000409543514251709,0.7877146601676941
0,35612579,8438,6,vary,3.171875,1.0,0.0019263029098510742,0.5066264271736145
0,39582752,8896,8, written,3.703125,1.0,0.0008265972137451172,0.6491731405258179
0,41710410,9132,6,vary,5.90625,1.0,0.0032888054847717285,0.4474199414253235
0,69684914,11804,6,vary,0.6640625,1.0,0.0005232691764831543,0.739683210849762
0,71407224,11949,6,vary,1.59375,1.0,0.0008087158203125,0.652427613735199
0,90511784,13453,7, was,1.578125,1.0,0.00043892860412597656,0.775001049041748
0,129468185,16090,6,vary,1.5,1.0,0.0011567473411560059,0.5655205249786377
0,140205884,16744,3, featuring,1.34375,1.0,0.0004356503486633301,0.7771878242492676
0,146538639,17118,5, Bo,1.609375,1.0,0.00042259693145751953,0.7814781069755554
0,164067554,18113,6,vary,0.70703125,1.0,0.00043141841888427734,0.7784862518310547
0,170431952,18461,6,vary,8.25,1.0,0.0027195513248443604,0.4589337408542633
0,171800915,18535,9, by,3.9375,1.0,0.009536534547805786,0.335473895072937
0,175865634,18753,7, was,3.5625,1.0,0.0006695985794067383,0.6881274580955505
0,175865634,18753,9, by,4.8125,1.0,0.0035623013973236084,0.44082018733024597
0,184425614,19204,1,The,2.5,1.0,0.00042742490768432617,0.780204713344574
0,230641502,21476,3, featuring,1.140625,1.0,0.0004037618637084961,0.7917752265930176
0,265824152,23056,6,vary,0.74609375,1.0,0.000536501407623291,0.7364984154701233
0,275619980,23477,1,The,2.34375,1.0,0.0004922747611999512,0.7508347630500793
0,280809450,23697,3, featuring,1.5390625,1.0,0.00047278404235839844,0.7590321898460388
0,308922795,24855,6,vary,1.234375,1.0,0.001142263412475586,0.5712581276893616
0,316449902,25156,9, by,0.828125,1.0,0.0006256103515625,0.6997585296630859
0,323228024,25424,5, Bo,2.265625,1.0,0.0008425116539001465,0.6433551907539368
0,326465127,25551,4, Emma,2.59375,1.0,0.0005455613136291504,0.7337973117828369
0,329615649,25674,6,vary,0.99609375,1.0,0.0007579922676086426,0.6633428335189819
0,343259300,26200,6,vary,0.84765625,1.0,0.00040215253829956055,0.7925799489021301
