feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Frodo Baggins, literary,5,72.44551849365234,0.6235665996871712,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.54138946533203}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""famous"", ""act"": 67.18627166748047}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Lord"", ""act"": 51.23216247558594}, {""tk"": ""Tolkien"", ""act"": 48.524452209472656}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""Bag"", ""act"": 31.770780563354492}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""Rings"", ""act"": 24.05766487121582}, {""tk"": ""Fro"", ""act"": 22.87254524230957}, {""tk"": ""J"", ""act"": 3.4575939178466797}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Frodo Baggins,:,2,55.24455642700195,0.9090909090909092,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 43.92183303833008}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Frodo Baggins,:,2,51.97818756103516,0.8289862117550388,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Frodo Baggins, A,3,47.80646514892578,0.9090909090909092,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90499496459961}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Frodo Baggins, is,7,46.80503463745117,0.8255249572617226,functional,"[{""token"": ""gins"", ""index"": 11, ""distance"": 4, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""who"", ""act"": 54.23466110229492}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Frodo Baggins,:,2,44.86204528808594,0.7856446088384329,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""J"", ""act"": 29.68233299255371}, {""tk"": ""is"", ""act"": 29.417577743530273}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Frodo Baggins, is,7,44.15594482421875,0.9090909090909092,functional,"[{""token"": ""gins"", ""index"": 11, ""distance"": 4, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 50.753623962402344}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Frodo Baggins, is,7,42.3370361328125,0.9090909090909092,functional,"[{""token"": ""gins"", ""index"": 11, ""distance"": 4, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""do"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_26168,0,26168,entity: A famous literary character is Frodo Baggins,do,9,39.248565673828125,0.9090909090909092,functional,"[{""token"": ""gins"", ""index"": 11, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,do,"[{""tk"": ""do"", ""act"": 39.248565673828125}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""gins"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_8438,0,8438,entity: A famous literary character is Frodo Baggins,do,9,27.56829833984375,0.8951385131164147,functional,"[{""token"": ""gins"", ""index"": 11, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,do,"[{""tk"": ""do"", ""act"": 27.56829833984375}, {""tk"": ""gins"", ""act"": 4.231081962585449}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Fro"", ""act"": 0.0}, {""tk"": ""Bag"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Lord"", ""act"": 0.0}, {""tk"": ""Rings"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""R"", ""act"": 0.0}, {""tk"": ""Tolkien"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
