layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05135758966207504,0.10337533801794052
-1,1,651,1,The,,1.0,0.024219170212745667,0.2648163437843323
-1,2,2870,2, book,,1.0,0.02554236352443695,0.2405971735715866
-1,3,24519,3, featuring,,1.0,0.03252054750919342,0.21505481004714966
-1,4,86801,4, Holden,,1.0,0.04601212590932846,0.14938746392726898
-1,5,177603,5, Caul,,1.0,0.033146798610687256,0.18253426253795624
-1,6,2863,6,field,,1.0,0.00849372148513794,0.34894639253616333
-1,7,729,7, was,,1.0,0.018363267183303833,0.2831796109676361
-1,8,5952,8, written,,1.0,0.01479390263557434,0.3136853575706482
-1,9,731,9, by,,1.0,0.05201774835586548,0.05201774835586548
0,-1,0,2, book,,1.0,0.0012809038162231445,0.554857611656189
0,-1,0,3, featuring,,1.0,0.0010154247283935547,0.5883950591087341
0,-1,0,4, Holden,,1.0,0.0012955069541931152,0.5497074127197266
0,-1,0,5, Caul,,1.0,0.001385807991027832,0.5376201868057251
0,-1,0,6,field,,1.0,0.0005866885185241699,0.6998308897018433
0,-1,0,7, was,,1.0,0.0003700852394104004,0.772707462310791
0,-1,0,8, written,,1.0,0.0006205439567565918,0.6878093481063843
0,-1,0,9, by,,1.0,0.0009801983833312988,0.5923835635185242
0,102377,451,4, Holden,0.66796875,1.0,0.00035506486892700195,0.780315101146698
0,1103354,1484,4, Holden,1.25,1.0,0.0005182623863220215,0.7140159606933594
0,3744215,2735,4, Holden,2.046875,1.0,0.0011314153671264648,0.5690616369247437
0,11117969,4714,5, Caul,5.15625,1.0,0.0007721185684204102,0.6435436010360718
0,13527800,5200,7, was,3.03125,1.0,0.0007216930389404297,0.6606452465057373
0,13789125,5250,2, book,2.0625,1.0,0.0005489587783813477,0.705539345741272
0,17508402,5916,2, book,1.71875,1.0,0.00035375356674194336,0.7820866703987122
0,21763502,6596,8, written,2.0625,1.0,0.000507056713104248,0.7181071639060974
0,35612579,8438,6,field,2.5,1.0,0.0003699064254760742,0.7730773687362671
0,36606845,8555,3, featuring,1.046875,1.0,0.0004931092262268066,0.7215862274169922
0,39582752,8896,8, written,3.703125,1.0,0.0008708834648132324,0.6150875687599182
0,63298125,11250,3, featuring,1.28125,1.0,0.0003522634506225586,0.7827923893928528
0,90511784,13453,7, was,1.6875,1.0,0.00048363208770751953,0.7254818677902222
0,94167225,13722,5, Caul,1.1328125,1.0,0.0003803372383117676,0.7693361043930054
0,118787990,15412,3, featuring,0.9921875,1.0,0.00044530630111694336,0.7388764023780823
0,121968770,15617,4, Holden,2.453125,1.0,0.0010428428649902344,0.5853373408317566
0,136215764,16504,5, Caul,1.515625,1.0,0.0003363490104675293,0.793464183807373
0,140205884,16744,3, featuring,1.34375,1.0,0.0007094144821166992,0.661354660987854
0,141969674,16849,4, Holden,1.09375,1.0,0.0004509091377258301,0.7366378307342529
0,157753202,17761,4, Holden,1.0390625,1.0,0.000510871410369873,0.7165817618370056
0,170986277,18491,8, written,2.421875,1.0,0.00040972232818603516,0.7540568113327026
0,171800915,18535,9, by,4.0625,1.0,0.009470611810684204,0.3231559693813324
0,175865634,18753,7, was,2.953125,1.0,0.0006114840507507324,0.6890370845794678
0,175865634,18753,9, by,4.5625,1.0,0.005846887826919556,0.41189420223236084
0,184329599,19199,3, featuring,1.6171875,1.0,0.000474393367767334,0.7278740406036377
0,184425614,19204,1,The,2.5,1.0,0.0004696846008300781,0.7297602891921997
0,188092709,19394,4, Holden,0.859375,1.0,0.0003547072410583496,0.781024694442749
0,193779140,19685,4, Holden,1.0546875,1.0,0.00039207935333251953,0.7624225616455078
0,206420720,20317,5, Caul,7.9375,1.0,0.0016948580741882324,0.5027583241462708
0,214462404,20709,3, featuring,1.015625,1.0,0.0004477500915527344,0.7379838824272156
0,230641502,21476,3, featuring,1.140625,1.0,0.0005688071250915527,0.7038706541061401
0,231975029,21538,3, featuring,1.203125,1.0,0.0003947615623474121,0.7604573369026184
0,235976949,21723,4, Holden,0.80078125,1.0,0.00036215782165527344,0.7763712406158447
0,266701059,23094,4, Holden,1.15625,1.0,0.0005006194114685059,0.719109058380127
0,270827900,23272,4, Holden,1.4375,1.0,0.0006601810455322266,0.6775967478752136
0,275619980,23477,1,The,2.34375,1.0,0.0006020665168762207,0.6938878297805786
0,280809450,23697,3, featuring,1.5390625,1.0,0.0007277727127075195,0.6562942266464233
0,313563402,25041,4, Holden,0.71484375,1.0,0.0006812214851379395,0.7907544374465942
0,316449902,25156,8, written,1.875,1.0,0.0004633665084838867,0.7320971488952637
0,316449902,25156,9, by,0.8125,1.0,0.00034105777740478516,0.7900732159614563
0,320969115,25335,5, Caul,0.8984375,1.0,0.0003234744071960449,0.7993900775909424
0,323228024,25424,5, Caul,2.171875,1.0,0.0008374452590942383,0.6201918125152588
0,327232152,25581,3, featuring,1.046875,1.0,0.00036835670471191406,0.773445725440979
0,344491875,26247,4, Holden,0.9765625,1.0,0.000329434871673584,0.7964463829994202
0,353394404,26584,4, Holden,0.91015625,1.0,0.0004723072052001953,0.728820264339447
0,395156327,28111,3, featuring,1.3359375,1.0,0.0004056096076965332,0.7544624209403992
0,446750885,29890,3, featuring,1.53125,1.0,0.0004119277000427246,0.7511831521987915
0,453200670,30105,9, by,1.21875,1.0,0.0008234977722167969,0.6268192529678345
0,462977234,30428,3, featuring,1.0,1.0,0.0003432631492614746,0.7887062430381775
0,493655330,31420,4, Holden,1.0859375,1.0,0.00041407346725463867,0.7499440908432007
0,494535524,31448,2, book,0.9609375,1.0,0.00033921003341674805,0.7921145558357239
0,524021750,32372,4, Holden,1.28125,1.0,0.00048220157623291016,0.7264463305473328
0,535741010,32732,3, featuring,1.7578125,1.0,0.0003497004508972168,0.7852475047111511
0,535741010,32732,9, by,0.5234375,1.0,0.0004481077194213867,0.7375361323356628
0,539479127,32846,3, featuring,1.65625,1.0,0.0005012750625610352,0.7186084389686584
0,546531390,33060,3, featuring,0.890625,1.0,0.00032788515090942383,0.7977607250213623
0,554828015,33310,3, featuring,1.1171875,1.0,0.0003808736801147461,0.7674328684806824
0,578119005,34002,8, written,1.984375,1.0,0.0005756616592407227,0.7027304768562317
