feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Huckleberry Finn, literary,5,72.44551849365234,0.5986263699664864,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Adventures"", ""act"": 49.874691009521484}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""Mark"", ""act"": 32.67831802368164}, {""tk"": ""Finn"", ""act"": 32.66615676879883}, {""tk"": ""Twain"", ""act"": 31.592653274536133}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""uckleberry"", ""act"": 14.683104515075684}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}]"
0_54407,0,54407,entity: A famous literary character is Huckleberry Finn, H,8,56.17643737792969,0.8322256292748301,functional,"[{""token"": ""uckleberry"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,H,"[{""tk"": ""H"", ""act"": 56.17643737792969}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Huckleberry Finn,:,2,55.24455642700195,0.9,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Huckleberry Finn,:,2,51.97818756103516,0.8118848329305426,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_27518,0,27518,entity: A famous literary character is Huckleberry Finn,uckleberry,9,51.90631866455078,0.9,semantic,"[{""token"": ""uckleberry"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,uckleberry,"[{""tk"": ""uckleberry"", ""act"": 51.90631866455078}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_76081,0,76081,entity: A famous literary character is Huckleberry Finn, H,8,50.95105743408203,0.8378363546057003,functional,"[{""token"": ""uckleberry"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,H,"[{""tk"": ""H"", ""act"": 51.9718132019043}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Huckleberry Finn, A,3,47.80646514892578,0.8999999999999999,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Huckleberry Finn, is,7,46.80503463745117,0.8080774529878947,functional,"[{""token"": ""uckleberry"", ""index"": 9, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""who"", ""act"": 54.23466110229492}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Huckleberry Finn,:,2,44.86204528808594,0.6981535700231184,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 32.82365417480469}, {""tk"": ""H"", ""act"": 29.633848190307617}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Huckleberry Finn, is,7,44.15594482421875,0.9,functional,"[{""token"": ""uckleberry"", ""index"": 9, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""H"", ""act"": 0.0}, {""tk"": ""uckleberry"", ""act"": 0.0}, {""tk"": ""Finn"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Adventures"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Mark"", ""act"": 0.0}, {""tk"": ""Twain"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
