layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05621644854545593,0.12151756882667542
-1,1,651,1,The,,1.0,0.024480968713760376,0.25872355699539185
-1,2,2870,2, book,,1.0,0.026424556970596313,0.23424258828163147
-1,3,24519,3, featuring,,1.0,0.03263665735721588,0.20781803131103516
-1,4,18720,4, Jay,,1.0,0.015940099954605103,0.2963663935661316
-1,5,152158,5, Gatsby,,1.0,0.06530112028121948,0.06530112028121948
-1,6,729,6, was,,1.0,0.021702736616134644,0.2804262936115265
-1,7,5952,7, written,,1.0,0.015573590993881226,0.3119399845600128
-1,8,731,8, by,,1.0,0.05366380512714386,0.17518137395381927
0,-1,0,2, book,,1.0,0.0013154149055480957,0.614208996295929
0,-1,0,3, featuring,,1.0,0.0009757876396179199,0.6703826189041138
0,-1,0,4, Jay,,1.0,0.00047069787979125977,0.7989202737808228
0,-1,0,5, Gatsby,,1.0,0.0023021697998046875,0.5329363942146301
0,-1,0,6, was,,1.0,0.0006870031356811523,0.7320560812950134
0,-1,0,7, written,,1.0,0.0006401538848876953,0.7493469715118408
0,-1,0,8, by,,1.0,0.001121222972869873,0.6465072631835938
0,1655289,1818,5, Gatsby,1.0234375,1.0,0.0005183815956115723,0.786130964756012
0,10619135,4607,5, Gatsby,4.25,1.0,0.001934349536895752,0.545554518699646
0,13527800,5200,6, was,3.09375,1.0,0.0010360479354858398,0.6573190093040466
0,13789125,5250,2, book,2.0625,1.0,0.0005571842193603516,0.7737487554550171
0,21763502,6596,7, written,1.9609375,1.0,0.0005791783332824707,0.7663674354553223
0,36606845,8555,3, featuring,1.046875,1.0,0.0005757808685302734,0.7680972814559937
0,39582752,8896,7, written,3.703125,1.0,0.0006864070892333984,0.7327424883842468
0,72933002,12076,4, Jay,5.46875,1.0,0.000639498233795166,0.749986469745636
0,87880652,13256,5, Gatsby,1.453125,1.0,0.0007308721542358398,0.7185288667678833
0,88837784,13328,5, Gatsby,2.3125,1.0,0.0012432336807250977,0.6256101727485657
0,90511784,13453,6, was,1.671875,1.0,0.0005619525909423828,0.7720696330070496
0,122422127,15646,5, Gatsby,1.484375,1.0,0.0007503628730773926,0.71334308385849
0,123425615,15710,5, Gatsby,0.95703125,1.0,0.0007256865501403809,0.7228910326957703
0,155664189,17643,5, Gatsby,3.0,1.0,0.0011718273162841797,0.6328210830688477
0,170986277,18491,7, written,2.328125,1.0,0.0005075335502624512,0.7892128229141235
0,171800915,18535,8, by,3.84375,1.0,0.009477347135543823,0.36938998103141785
0,175865634,18753,6, was,3.296875,1.0,0.0006666779518127441,0.7408642768859863
0,175865634,18753,8, by,4.59375,1.0,0.005578875541687012,0.44183656573295593
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005064010620117188,0.7897192239761353
0,184425614,19204,1,The,2.5,1.0,0.0005040168762207031,0.790223240852356
0,247275440,22237,5, Gatsby,1.203125,1.0,0.0005720853805541992,0.7692418694496155
0,275619980,23477,1,The,2.34375,1.0,0.0005550980567932129,0.7743038535118103
0,280809450,23697,3, featuring,1.5390625,1.0,0.000592350959777832,0.7628609538078308
0,316449902,25156,7, written,1.734375,1.0,0.00048804283142089844,0.7922117114067078
0,316449902,25156,8, by,0.796875,1.0,0.0007871389389038086,0.7056620717048645
0,323228024,25424,5, Gatsby,1.390625,1.0,0.0008945465087890625,0.6881360411643982
0,334615514,25868,5, Gatsby,1.5078125,1.0,0.000997006893157959,0.6654577255249023
0,345017045,26267,5, Gatsby,1.15625,1.0,0.0006379485130310059,0.750624418258667
0,422430710,29065,5, Gatsby,1.40625,1.0,0.0007269978523254395,0.7207126021385193
0,446750885,29890,3, featuring,1.53125,1.0,0.00048083066940307617,0.79511559009552
0,453200670,30105,8, by,1.375,1.0,0.0011533498764038086,0.635138213634491
0,578119005,34002,7, written,1.8125,1.0,0.0005116462707519531,0.7881947159767151
0,644063994,35889,5, Gatsby,1.1171875,1.0,0.0006862878799438477,0.7334287762641907
0,646075430,35945,1,The,2.71875,1.0,0.0007684826850891113,0.7103054523468018
0,765324125,39122,8, by,5.0,1.0,0.003773510456085205,0.4782640337944031
0,831565370,40780,6, was,6.625,1.0,0.0014247298240661621,0.6004279255867004
0,831565370,40780,8, by,6.53125,1.0,0.006067186594009399,0.4362576901912689
0,989702294,44489,1,The,2.59375,1.0,0.0006125569343566895,0.7562562227249146
0,996163929,44634,1,The,2.65625,1.0,0.0006589889526367188,0.744836151599884
0,1059863819,46039,2, book,1.34375,1.0,0.0005623698234558105,0.7715076804161072
0,1066042224,46173,5, Gatsby,1.0859375,1.0,0.0008229613304138184,0.6992133855819702
0,1068906965,46235,2, book,3.40625,1.0,0.0006517171859741211,0.7454878687858582
0,1090281555,46695,2, book,2.109375,1.0,0.0008894205093383789,0.6890254616737366
0,1123356299,47398,8, by,0.48828125,1.0,0.0006816387176513672,0.7354783415794373
0,1128623804,47509,2, book,1.3125,1.0,0.000469207763671875,0.7998600006103516
0,1141010334,47769,2, book,2.59375,1.0,0.0012460947036743164,0.6231213808059692
0,1228171140,49560,6, was,1.90625,1.0,0.0006325244903564453,0.7525309324264526
0,1251375377,50026,3, featuring,1.4765625,1.0,0.0005640983581542969,0.7709453105926514
0,1322805329,51434,1,The,2.71875,1.0,0.0007609128952026367,0.7118331789970398
0,1334506952,51661,5, Gatsby,2.28125,1.0,0.001820981502532959,0.5547603964805603
0,1468792899,54198,1,The,5.78125,1.0,0.0008321404457092285,0.6983904242515564
0,1484334854,54484,5, Gatsby,2.1875,1.0,0.000784754753112793,0.7064468264579773
0,1673803010,57857,6, was,2.65625,1.0,0.0009027719497680664,0.685446560382843
0,1713553610,58540,8, by,2.40625,1.0,0.0025257468223571777,0.5210531949996948
0,1725575630,58745,5, Gatsby,1.328125,1.0,0.0007038712501525879,0.728606104850769
0,1764031502,59396,5, Gatsby,1.34375,1.0,0.0005963444709777832,0.7610779404640198
0,1776705854,59609,5, Gatsby,1.859375,1.0,0.0011441707611083984,0.6374344229698181
0,2108374515,64935,2, book,1.84375,1.0,0.001116931438446045,0.6498618721961975
0,2136520395,65367,5, Gatsby,1.484375,1.0,0.0006458759307861328,0.7467811107635498
0,2157883664,65693,5, Gatsby,1.421875,1.0,0.0005197525024414062,0.7856125831604004
0,2161892889,65754,5, Gatsby,0.78125,1.0,0.0005183815956115723,0.7866493463516235
0,2201327127,66351,2, book,1.515625,1.0,0.000807642936706543,0.7032919526100159
0,2281805234,67553,3, featuring,2.3125,1.0,0.0007238984107971191,0.725063145160675
0,2351848235,68582,5, Gatsby,1.4296875,1.0,0.0005920529365539551,0.7634530067443848
0,2444997555,69927,5, Gatsby,1.1796875,1.0,0.0006189346313476562,0.755028247833252
0,2479734675,70422,3, featuring,1.671875,1.0,0.0005526542663574219,0.7754111886024475
0,2664609500,73000,3, featuring,1.5,1.0,0.0006473660469055176,0.7461352348327637
0,2846690784,75453,5, Gatsby,0.953125,1.0,0.0007167458534240723,0.7257798910140991
0,2889938324,76024,5, Gatsby,5.15625,1.0,0.0024057626724243164,0.5283095240592957
0,2996037935,77407,5, Gatsby,1.09375,1.0,0.0006900429725646973,0.7306818962097168
0,3083048549,78523,2, book,1.65625,1.0,0.0006303787231445312,0.7531613111495972
0,3094366445,78667,3, featuring,1.828125,1.0,0.0010210275650024414,0.661424994468689
0,3144363950,79300,5, Gatsby,1.078125,1.0,0.0005018115043640137,0.79072505235672
0,3164777460,79557,8, by,1.1875,1.0,0.0012455582618713379,0.6243669390678406
0,3177679059,79719,7, written,3.421875,1.0,0.0009394288063049316,0.6780191659927368
0,3237348344,80464,5, Gatsby,1.171875,1.0,0.0005105733871459961,0.7887052893638611
0,3290673374,81124,1,The,3.96875,1.0,0.0007950067520141602,0.70408695936203
0,3323040525,81522,5, Gatsby,1.1015625,1.0,0.0006272792816162109,0.7537885904312134
0,3462076865,83210,5, Gatsby,0.8984375,1.0,0.00047385692596435547,0.7979758381843567
0,3629562599,85199,3, featuring,1.28125,1.0,0.0005779862403869629,0.7669454216957092
0,3656364854,85513,2, book,2.4375,1.0,0.0009375214576721191,0.6789566874504089
0,3734424252,86421,3, featuring,1.1953125,1.0,0.0004779696464538574,0.7965527772903442
0,3737622569,86458,8, by,2.546875,1.0,0.007104933261871338,0.41152992844581604
0,3927505505,88627,5, Gatsby,0.9765625,1.0,0.0005500316619873047,0.7776165008544922
0,4011258095,89567,2, book,1.28125,1.0,0.00048673152923583984,0.7931852340698242
0,4047795299,89974,3, featuring,1.75,1.0,0.0006025433540344238,0.7592885494232178
0,4108937877,90651,5, Gatsby,1.828125,1.0,0.0009356141090393066,0.6808295249938965
0,4192669805,91570,1,The,3.640625,1.0,0.0005682110786437988,0.7703812122344971
