layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.051460471004247665,0.10340819507837296
-1,1,651,1,The,,1.0,0.024584919214248657,0.22244417667388916
-1,2,2870,2, book,,1.0,0.02573518455028534,0.1978592574596405
-1,3,24519,3, featuring,,1.0,0.031745925545692444,0.17212407290935516
-1,4,16693,4, Kat,,1.0,0.018803924322128296,0.2801559567451477
-1,5,98281,5,niss,,1.0,0.036969952285289764,0.14037814736366272
-1,6,17157,6, Ever,,1.0,0.014191925525665283,0.31127744913101196
-1,7,48125,7,deen,,1.0,0.016929566860198975,0.2970855236053467
-1,8,729,8, was,,1.0,0.019702911376953125,0.24214708805084229
-1,9,5952,9, written,,1.0,0.019204944372177124,0.2613520324230194
-1,10,731,10, by,,1.0,0.05194772407412529,0.05194772407412529
0,-1,0,2, book,,1.0,0.0012630224227905273,0.5805658102035522
0,-1,0,3, featuring,,1.0,0.0009552836418151855,0.6265479922294617
0,-1,0,4, Kat,,1.0,0.0005491971969604492,0.7259699702262878
0,-1,0,5,niss,,1.0,0.002130270004272461,0.5126148462295532
0,-1,0,6, Ever,,1.0,0.000498652458190918,0.7462774515151978
0,-1,0,7,deen,,1.0,0.0005930662155151367,0.7117425203323364
0,-1,0,8, was,,1.0,0.00040012598037719727,0.7841560244560242
0,-1,0,9, written,,1.0,0.000633537769317627,0.7013260722160339
0,-1,0,10, by,,1.0,0.001019299030303955,0.6128945350646973
0,208334,644,5,niss,1.0625,1.0,0.00048154592514038086,0.7521807551383972
0,273429,738,5,niss,1.9140625,1.0,0.0012922286987304688,0.5767544507980347
0,273429,738,7,deen,1.8046875,1.0,0.00037974119186401367,0.7915416359901428
0,742370,1217,3, featuring,0.953125,1.0,0.0003751516342163086,0.7930478453636169
0,13527800,5200,8, was,3.125,1.0,0.0008781552314758301,0.6430246829986572
0,13789125,5250,2, book,2.0625,1.0,0.0005254745483398438,0.7340347766876221
0,21763502,6596,9, written,1.9921875,1.0,0.0005718469619750977,0.7181273102760315
0,35267400,8397,5,niss,1.4375,1.0,0.0007611513137817383,0.6723549365997314
0,35612579,8438,5,niss,1.6875,1.0,0.0007410645484924316,0.6761000156402588
0,36606845,8555,3, featuring,1.046875,1.0,0.00047785043716430664,0.7550555467605591
0,39582752,8896,9, written,3.765625,1.0,0.0009076595306396484,0.6377127170562744
0,47088659,9703,6, Ever,2.34375,1.0,0.0004800558090209961,0.7526608109474182
0,63298125,11250,3, featuring,1.28125,1.0,0.00038623809814453125,0.7888599634170532
0,64054220,11317,6, Ever,2.25,1.0,0.00043278932571411133,0.7721943855285645
0,65786184,11469,3, featuring,0.96875,1.0,0.00036704540252685547,0.7975108623504639
0,75466754,12284,1,The,2.8125,1.0,0.0004699230194091797,0.7578929662704468
0,90511784,13453,8, was,1.6875,1.0,0.0005602240562438965,0.7231988906860352
0,118787990,15412,3, featuring,0.9921875,1.0,0.00040990114212036133,0.7784975171089172
0,140205884,16744,3, featuring,1.34375,1.0,0.0005545616149902344,0.7248677611351013
0,143659724,16949,5,niss,0.953125,1.0,0.00045102834701538086,0.764293909072876
0,163470320,18080,6, Ever,2.140625,1.0,0.0003764629364013672,0.7922971248626709
0,170986277,18491,9, written,2.375,1.0,0.0004438161849975586,0.766084611415863
0,171800915,18535,10, by,3.96875,1.0,0.01346743106842041,0.3247448801994324
0,175865634,18753,8, was,3.75,1.0,0.0009233355522155762,0.6349717378616333
0,175865634,18753,10, by,4.71875,1.0,0.00456845760345459,0.42780086398124695
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005372762680053711,0.7319238781929016
0,184425614,19204,1,The,2.5,1.0,0.0005264878273010254,0.7335093021392822
0,214462404,20709,3, featuring,1.015625,1.0,0.00042313337326049805,0.7747552990913391
0,230641502,21476,3, featuring,1.140625,1.0,0.0003924369812011719,0.7865298986434937
0,231975029,21538,3, featuring,1.203125,1.0,0.000433504581451416,0.7717615962028503
0,252663959,22478,9, written,1.546875,1.0,0.00043147802352905273,0.773058295249939
0,271573164,23304,4, Kat,2.640625,1.0,0.0005603432655334473,0.7226386666297913
0,275619980,23477,1,The,2.34375,1.0,0.0005828738212585449,0.7146803140640259
0,280809450,23697,3, featuring,1.5390625,1.0,0.0006079673767089844,0.7075543403625488
0,316449902,25156,9, written,1.828125,1.0,0.0003800392150878906,0.7911618947982788
0,316449902,25156,10, by,0.8359375,1.0,0.000522315502166748,0.7350817322731018
0,327232152,25581,3, featuring,1.046875,1.0,0.00042498111724853516,0.7734832763671875
0,351748025,26522,4, Kat,2.046875,1.0,0.00039833784103393555,0.7849533557891846
0,362222069,26914,5,niss,0.7265625,1.0,0.000410616397857666,0.7780876159667969
0,395156327,28111,3, featuring,1.3359375,1.0,0.00038546323776245117,0.7892454266548157
