layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05425860360264778,0.05425860360264778
-1,1,651,1,The,,1.0,0.026452109217643738,0.2759779095649719
-1,2,2870,2, book,,1.0,0.0265464186668396,0.24952580034732819
-1,3,24519,3, featuring,,1.0,0.03172998130321503,0.2229793816804886
-1,4,212570,4, Rask,,1.0,0.035972222685813904,0.19124940037727356
-1,5,561,5,ol,,1.0,0.009176492691040039,0.33685019612312317
-1,6,57352,6,nikov,,1.0,0.04968608170747757,0.15527717769145966
-1,7,729,7, was,,1.0,0.023749887943267822,0.29972779750823975
-1,8,5952,8, written,,1.0,0.016672343015670776,0.3164001405239105
-1,9,731,9, by,,1.0,0.051332492381334305,0.10559109598398209
0,-1,0,2, book,,1.0,0.0013749003410339355,0.5571346879005432
0,-1,0,3, featuring,,1.0,0.0011963248252868652,0.5799815654754639
0,-1,0,4, Rask,,1.0,0.00163191556930542,0.53497314453125
0,-1,0,5,ol,,1.0,0.0007665753364562988,0.6682503819465637
0,-1,0,6,nikov,,1.0,0.001821279525756836,0.5160963535308838
0,-1,0,7, was,,1.0,0.0006120800971984863,0.7036409974098206
0,-1,0,8, written,,1.0,0.0006894469261169434,0.6834169030189514
0,-1,0,9, by,,1.0,0.0009028315544128418,0.6349977850914001
0,273429,738,6,nikov,0.9609375,1.0,0.0005689263343811035,0.7236590385437012
0,1214460,1557,6,nikov,0.671875,1.0,0.00042384862899780273,0.7836386561393738
0,1869210,1932,4, Rask,1.6171875,1.0,0.0006210803985595703,0.702416718006134
0,13527800,5200,7, was,3.0625,1.0,0.0008999109268188477,0.635897696018219
0,13789125,5250,2, book,2.0625,1.0,0.000568091869354248,0.7247959971427917
0,16956575,5822,6,nikov,1.03125,1.0,0.0005754828453063965,0.7207962870597839
0,21763502,6596,8, written,2.1875,1.0,0.0006754398345947266,0.6875072121620178
0,24875930,7052,4, Rask,0.97265625,1.0,0.00039589405059814453,0.7991641163825989
0,24988914,7068,6,nikov,0.9140625,1.0,0.00047898292541503906,0.7555811405181885
0,30019625,7747,6,nikov,1.09375,1.0,0.0004297494888305664,0.7806513905525208
0,35208635,8390,6,nikov,1.421875,1.0,0.00047975778579711914,0.7546231746673584
0,36606845,8555,3, featuring,1.046875,1.0,0.0005184412002563477,0.7431320548057556
0,38285624,8749,6,nikov,0.90625,1.0,0.000446319580078125,0.772744357585907
0,39582752,8896,8, written,3.703125,1.0,0.0009749531745910645,0.6152986288070679
0,53101664,10304,6,nikov,1.609375,1.0,0.0005506277084350586,0.7292834520339966
0,63298125,11250,3, featuring,1.28125,1.0,0.00047785043716430664,0.7570156455039978
0,72860555,12070,6,nikov,1.125,1.0,0.000510871410369873,0.7462148070335388
0,75466754,12284,1,The,2.8125,1.0,0.0004246234893798828,0.783214807510376
0,76045277,12331,6,nikov,1.015625,1.0,0.00045621395111083984,0.7691378593444824
0,90511784,13453,7, was,1.921875,1.0,0.0007767081260681152,0.6651619672775269
0,118787990,15412,3, featuring,0.9921875,1.0,0.00043708086013793945,0.779356837272644
0,119683655,15470,6,nikov,1.296875,1.0,0.00043445825576782227,0.7797912955284119
0,120706952,15536,6,nikov,1.171875,1.0,0.0005666017532348633,0.7270655035972595
0,140205884,16744,3, featuring,1.34375,1.0,0.0006029009819030762,0.7060660123825073
0,170986277,18491,8, written,2.4375,1.0,0.0004590153694152832,0.7673079967498779
0,171800915,18535,9, by,3.84375,1.0,0.011273562908172607,0.32767370343208313
0,175865634,18753,7, was,3.375,1.0,0.0009580254554748535,0.6201238036155701
0,175865634,18753,9, by,4.59375,1.0,0.003950566053390503,0.43494075536727905
0,184329599,19199,3, featuring,1.6171875,1.0,0.00046175718307495117,0.7650066018104553
0,184329599,19199,6,nikov,2.0625,1.0,0.0009855031967163086,0.6103937029838562
0,184425614,19204,1,The,2.5,1.0,0.0005431771278381348,0.7325582504272461
0,212726250,20625,6,nikov,0.703125,1.0,0.00039887428283691406,0.7959896922111511
0,222868827,21111,6,nikov,1.078125,1.0,0.0005717277526855469,0.7230901122093201
0,230641502,21476,3, featuring,1.140625,1.0,0.0004406571388244629,0.7758490443229675
0,231975029,21538,3, featuring,1.203125,1.0,0.0004971027374267578,0.750727117061615
0,275619980,23477,1,The,2.34375,1.0,0.0005873441696166992,0.7155710458755493
0,280809450,23697,3, featuring,1.5390625,1.0,0.0005460381507873535,0.7309267520904541
0,316449902,25156,8, written,1.984375,1.0,0.00047898292541503906,0.7551021575927734
0,316449902,25156,9, by,0.859375,1.0,0.0005201101303100586,0.7405365109443665
0,359589152,26816,4, Rask,1.90625,1.0,0.0005872249603271484,0.7167456746101379
0,379404830,27545,6,nikov,1.0,1.0,0.00042062997817993164,0.7853232026100159
0,395156327,28111,3, featuring,1.3359375,1.0,0.00042748451232910156,0.7823635935783386
0,445197879,29838,4, Rask,2.171875,1.0,0.0006961822509765625,0.6813387274742126
0,446750885,29890,3, featuring,1.53125,1.0,0.0004132986068725586,0.7903255224227905
0,453200670,30105,9, by,1.234375,1.0,0.0008295178413391113,0.6515804529190063
0,454435877,30146,6,nikov,1.2578125,1.0,0.0004660487174987793,0.7631505131721497
0,535741010,32732,3, featuring,1.7578125,1.0,0.00040543079376220703,0.7927758693695068
0,539479127,32846,3, featuring,1.65625,1.0,0.0005208253860473633,0.7400164008140564
0,554161985,33290,6,nikov,0.96484375,1.0,0.0005894303321838379,0.7143958806991577
0,554828015,33310,3, featuring,1.1171875,1.0,0.00039893388748168945,0.7955908179283142
0,578119005,34002,8, written,1.984375,1.0,0.0006424188613891602,0.6979819536209106
0,588365055,34302,3, featuring,1.40625,1.0,0.0004207491874694824,0.7849025726318359
0,589669310,34340,6,nikov,0.68359375,1.0,0.0004208683967590332,0.7844818234443665
0,646075430,35945,1,The,2.71875,1.0,0.0009406805038452148,0.6267616748809814
0,730900260,38232,6,nikov,0.78515625,1.0,0.0005194544792175293,0.7420950531959534
0,755146952,38861,6,nikov,0.97265625,1.0,0.0005448460578918457,0.731471598148346
0,765324125,39122,9, by,4.8125,1.0,0.004077285528182983,0.4270097315311432
0,831565370,40780,7, was,7.21875,1.0,0.0014971494674682617,0.5442321300506592
0,831565370,40780,9, by,6.71875,1.0,0.005184948444366455,0.40099000930786133
0,937076985,43290,8, written,2.03125,1.0,0.0004557371139526367,0.7695935964584351
0,940933889,43379,6,nikov,1.296875,1.0,0.0005161166191101074,0.7436481714248657
0,989702294,44489,1,The,2.59375,1.0,0.000804901123046875,0.6564657092094421
0,996163929,44634,1,The,2.65625,1.0,0.0007227659225463867,0.6756706237792969
0,1014053094,45033,3, featuring,1.15625,1.0,0.00042819976806640625,0.7815079092979431
0,1031556330,45420,6,nikov,0.82421875,1.0,0.0004506111145019531,0.7709537148475647
0,1059863819,46039,2, book,1.34375,1.0,0.0005834698677062988,0.7173291444778442
0,1068906965,46235,2, book,3.40625,1.0,0.0006293654441833496,0.7011706829071045
0,1090281555,46695,2, book,2.109375,1.0,0.0008675456047058105,0.64646977186203
0,1128623804,47509,2, book,1.3125,1.0,0.0004981160163879395,0.7497321963310242
0,1141010334,47769,2, book,2.59375,1.0,0.0011136531829833984,0.5938693881034851
0,1228171140,49560,7, was,1.890625,1.0,0.000674903392791748,0.6881821155548096
0,1251375377,50026,3, featuring,1.4765625,1.0,0.0005753636360168457,0.7213716506958008
0,1322805329,51434,1,The,2.71875,1.0,0.0008221864700317383,0.6524026393890381
0,1440314955,53670,6,nikov,1.0625,1.0,0.00041812658309936523,0.7874197959899902
0,1465542729,54138,6,nikov,1.65625,1.0,0.00046622753143310547,0.7626844644546509
0,1468792899,54198,1,The,5.78125,1.0,0.0008037686347961426,0.6572694778442383
0,1489133450,54572,1,The,2.578125,1.0,0.0005157589912414551,0.7441639304161072
0,1519355249,55123,2, book,0.76171875,1.0,0.00040096044540405273,0.7947927713394165
0,1556792099,55798,3, featuring,1.015625,1.0,0.00045496225357055664,0.7700485587120056
0,1654073885,57515,6,nikov,0.9140625,1.0,0.00040900707244873047,0.7915589213371277
0,1673803010,57857,7, was,2.625,1.0,0.0007020831108093262,0.6806425452232361
0,1701515279,58334,5,ol,2.234375,1.0,0.00040459632873535156,0.7939908504486084
0,1713553610,58540,9, by,2.34375,1.0,0.00357663631439209,0.4421912431716919
