layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.054576706141233444,0.11353860050439835
-1,1,651,1,The,,1.0,0.026058286428451538,0.27635034918785095
-1,2,2870,2, book,,1.0,0.027481138706207275,0.2502920627593994
-1,3,24519,3, featuring,,1.0,0.032457754015922546,0.22281092405319214
-1,4,52076,4, Scout,,1.0,0.04066584259271622,0.15420444309711456
-1,5,93477,5, Finch,,1.0,0.03614872694015503,0.1903531700372696
-1,6,729,6, was,,1.0,0.02279093861579895,0.2991412878036499
-1,7,5952,7, written,,1.0,0.018448203802108765,0.31758949160575867
-1,8,731,8, by,,1.0,0.0589618943631649,0.0589618943631649
0,-1,0,2, book,,1.0,0.0014513134956359863,0.5411722660064697
0,-1,0,3, featuring,,1.0,0.0010219812393188477,0.6181442141532898
0,-1,0,4, Scout,,1.0,0.0013911128044128418,0.5511143803596497
0,-1,0,5, Finch,,1.0,0.0009666681289672852,0.6280336380004883
0,-1,0,6, was,,1.0,0.0004906058311462402,0.7605025768280029
0,-1,0,7, written,,1.0,0.0007000565528869629,0.6854744553565979
0,-1,0,8, by,,1.0,0.0010281205177307129,0.6160972118377686
0,1853774,1924,4, Scout,1.1875,1.0,0.0004973411560058594,0.755071222782135
0,3744215,2735,5, Finch,1.390625,1.0,0.0006057024002075195,0.7121894955635071
0,4186170,2892,5, Finch,1.2578125,1.0,0.00045680999755859375,0.7699796557426453
0,11826815,4862,5, Finch,2.234375,1.0,0.0006412267684936523,0.70350581407547
0,13527800,5200,6, was,3.15625,1.0,0.0009452700614929199,0.6299269199371338
0,13789125,5250,2, book,2.0625,1.0,0.0006706118583679199,0.6930274367332458
0,21763502,6596,7, written,1.9140625,1.0,0.0005216002464294434,0.7439056634902954
0,36606845,8555,3, featuring,1.046875,1.0,0.000548243522644043,0.7364609837532043
0,39582752,8896,7, written,3.703125,1.0,0.0009343624114990234,0.6327435374259949
0,46325124,9624,4, Scout,1.2421875,1.0,0.0005502104759216309,0.7342656850814819
0,60000534,10953,4, Scout,1.09375,1.0,0.0004450678825378418,0.7740253806114197
0,65786184,11469,3, featuring,0.96875,1.0,0.0004050135612487793,0.7931287884712219
0,66418574,11524,4, Scout,1.78125,1.0,0.00064849853515625,0.701576292514801
0,75466754,12284,1,The,2.8125,1.0,0.00041800737380981445,0.7877803444862366
0,90511784,13453,6, was,1.71875,1.0,0.0006364583969116211,0.7047795057296753
0,107465129,14659,4, Scout,2.28125,1.0,0.0013225078582763672,0.5632588863372803
0,118787990,15412,3, featuring,0.9921875,1.0,0.000483095645904541,0.762934148311615
0,140205884,16744,3, featuring,1.34375,1.0,0.0005319714546203613,0.7396954298019409
0,170986277,18491,7, written,2.359375,1.0,0.0005050301551818848,0.7510703802108765
0,171800915,18535,8, by,4.0,1.0,0.013689607381820679,0.33127909898757935
0,173138135,18607,4, Scout,1.09375,1.0,0.000497281551361084,0.7545738816261292
0,175865634,18753,6, was,3.078125,1.0,0.000840306282043457,0.6509349942207336
0,175865634,18753,8, by,4.375,1.0,0.005285024642944336,0.38794317841529846
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005484223365783691,0.7359127402305603
0,184329599,19199,7, written,1.46875,1.0,0.00040405988693237305,0.7939373850822449
0,184425614,19204,1,The,2.5,1.0,0.0005493760108947754,0.7348150610923767
0,230641502,21476,3, featuring,1.140625,1.0,0.0004671812057495117,0.7681403160095215
0,231975029,21538,3, featuring,1.203125,1.0,0.0004316568374633789,0.7805770039558411
0,235022039,21679,5, Finch,1.46875,1.0,0.0004538297653198242,0.7704334855079651
0,250488152,22381,4, Scout,1.078125,1.0,0.0004267096519470215,0.7831499576568604
0,275619980,23477,1,The,2.34375,1.0,0.0006513595581054688,0.700278639793396
0,280809450,23697,3, featuring,1.5390625,1.0,0.0006870627403259277,0.6896346807479858
0,302321754,24588,5, Finch,3.65625,1.0,0.000939786434173584,0.6318091750144958
