layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06913994252681732,0.06913994252681732
-1,1,2195,1,test,,1.0,0.02748902142047882,0.21764151751995087
-1,2,235248,2, ,,1.0,0.010320454835891724,0.31917715072631836
-1,3,235308,3,5,,1.0,0.01576259732246399,0.27299490571022034
-1,4,235318,4,6,,1.0,0.011656790971755981,0.30885669589042664
-1,5,714,5, The,,1.0,0.02798481285572052,0.19015249609947205
-1,6,6037,6, capital,,1.0,0.022008195519447327,0.2396497130393982
-1,7,576,7, of,,1.0,0.01237824559211731,0.28537315130233765
-1,8,2329,8, state,,1.0,0.011826753616333008,0.29719990491867065
-1,9,10751,9, containing,,1.0,0.017582595348358154,0.25723230838775635
-1,10,26865,10, Dallas,,1.0,0.053487539291381836,0.12262748181819916
-1,11,603,11, is,,1.0,0.03954020142555237,0.16216768324375153
0,-1,0,1,test,,1.0,0.0025425851345062256,0.4419419467449188
0,-1,0,3,5,,1.0,0.0011902451515197754,0.5627520084381104
0,-1,0,4,6,,1.0,0.00043827295303344727,0.7573046684265137
0,-1,0,5, The,,1.0,0.0020501017570495605,0.47074005007743835
0,-1,0,6, capital,,1.0,0.0013672709465026855,0.525577962398529
0,-1,0,7, of,,1.0,0.000394284725189209,0.7730034589767456
0,-1,0,8, state,,1.0,0.0009377002716064453,0.6066975593566895
0,-1,0,9, containing,,1.0,0.0009173750877380371,0.6113070249557495
0,-1,0,10, Dallas,,1.0,0.0009049773216247559,0.6131184101104736
0,-1,0,11, is,,1.0,0.0005719661712646484,0.6988126039505005
0,26795,230,11, is,3.359375,1.0,0.0031148791313171387,0.41456329822540283
0,66065,362,5, The,1.421875,1.0,0.0006742477416992188,0.6726744771003723
0,827540,1285,1,test,2.453125,1.0,0.000535130500793457,0.7154573202133179
0,1110794,1489,4,6,1.875,1.0,0.0004805326461791992,0.7412895560264587
0,1454364,1704,9, containing,0.84375,1.0,0.0003644227981567383,0.7828267812728882
0,1734452,1861,10, Dallas,1.859375,1.0,0.0034176111221313477,0.3885261118412018
0,2197655,2095,10, Dallas,1.21875,1.0,0.0003542900085449219,0.7878360152244568
0,2338202,2161,2, ,5.4375,1.0,0.0005657672882080078,0.7010847926139832
0,2338202,2161,3,5,4.34375,1.0,0.00092315673828125,0.6094691157341003
0,2338202,2161,4,6,4.34375,1.0,0.000632166862487793,0.6855825185775757
0,2338202,2161,7, of,3.78125,1.0,0.0007892251014709473,0.6384385824203491
