swap_id,from_slug,to_slug,from_capital,to_capital,n_positions,target_appears_at,source_appears_at,flip_position,initial_gap,best_gap,final_gap,gap_closure,control_stability_mean,control_stability_max,target_first_top1,target_first_top5,target_first_top10,target_max_prob,target_min_rank,target_final_rank,target_rank_improvement,source_final_rank,source_max_prob,target_logit_delta_0,source_logit_delta_0,baseline_gap,steered_gap_0,gap_closure_0,target_rank_improvement_0,flip_at_0,baseline_target_rank,baseline_source_rank,baseline_target_prob,baseline_source_prob
birth_of_venus__to__birth_of_venus,birth_of_venus,birth_of_venus,,,-2,,,,,,,,,,,,,,,,,,,,,0.0,,,,False,1,1,0.178711,0.178711
birth_of_venus__to__campbells_soup,birth_of_venus,campbells_soup,,,-2,,5.0,,,,,,,,,,,,,,,,,,,-8.75,,,,False,588,1,2.8e-05,0.178711
birth_of_venus__to__girl_pearl_earring,birth_of_venus,girl_pearl_earring,,,-2,,6.0,,,,,,,,,,,,,,,,,,,-6.25,,,,False,162,1,0.000343,0.178711
birth_of_venus__to__grande_jatte,birth_of_venus,grande_jatte,,,-2,,,,,,,,,,,,,,,,,,,,,-5.0,,,,False,89,1,0.001198,0.178711
birth_of_venus__to__guernica,birth_of_venus,guernica,,,-2,,,,,,,,,,,,,,,,,,,,,-6.25,,,,False,162,1,0.000343,0.178711
birth_of_venus__to__nighthawks,birth_of_venus,nighthawks,,,-2,,1.0,,,,,,,,,,,,,,,,,,,-9.625,,,,False,934,1,1.2e-05,0.178711
birth_of_venus__to__persistence_of_memory,birth_of_venus,persistence_of_memory,,,-2,,,,,,,,,,,,,,,,,,,,,-7.125,,,,False,264,1,0.000143,0.178711
birth_of_venus__to__starry_night,birth_of_venus,starry_night,,,-2,,6.0,,,,,,,,,,,,,,,,,,,-9.1875,,,,False,751,1,1.8e-05,0.178711
birth_of_venus__to__the_scream,birth_of_venus,the_scream,,,-2,,,,,,,,,,,,,,,,,,,,,-10.5625,,,,False,1475,1,5e-06,0.178711
birth_of_venus__to__water_lilies,birth_of_venus,water_lilies,,,-2,,5.0,,,,,,,,,,,,,,,,,,,-5.25,,,,False,99,1,0.000935,0.178711
campbells_soup__to__birth_of_venus,campbells_soup,birth_of_venus,,,-3,,,,,,,,,,,,,,,,,,,,,-14.9688,,,,False,14895,1,0.0,0.126953
campbells_soup__to__campbells_soup,campbells_soup,campbells_soup,,,-3,,,,,,,,,,,,,,,,,,,,,0.0,,,,False,1,1,0.126953,0.126953
campbells_soup__to__girl_pearl_earring,campbells_soup,girl_pearl_earring,,,-3,,,,,,,,,,,,,,,,,,,,,-9.3125,,,,False,1207,1,1.1e-05,0.126953
campbells_soup__to__grande_jatte,campbells_soup,grande_jatte,,,-3,,,,,,,,,,,,,,,,,,,,,-7.6875,,,,False,547,1,5.8e-05,0.126953
campbells_soup__to__guernica,campbells_soup,guernica,,,-3,,,,,,,,,,,,,,,,,,,,,-3.75,,,,False,44,1,0.002991,0.126953
campbells_soup__to__nighthawks,campbells_soup,nighthawks,,,-3,,,,,,,,,,,,,,,,,,,,,-2.25,,,,False,15,1,0.013367,0.126953
campbells_soup__to__persistence_of_memory,campbells_soup,persistence_of_memory,,,-3,,,,,,,,,,,,,,,,,,,,,-5.0,,,,False,121,1,0.000854,0.126953
