from_slug,water_lilies,starry_night,persistence_of_memory,campbells_soup,guernica,american_gothic,girl_pearl_earring,birth_of_venus,blue_boy,nighthawks
water_lilies,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starry_night,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
persistence_of_memory,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campbells_soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
guernica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
american_gothic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
girl_pearl_earring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birth_of_venus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
blue_boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nighthawks,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
