layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05569124221801758,0.05569124221801758
-1,1,651,1,The,,1.0,0.026896581053733826,0.2011113315820694
-1,2,1370,2, first,,1.0,0.016424790024757385,0.25692999362945557
-1,3,1503,3, name,,1.0,0.021705806255340576,0.22281713783740997
-1,4,576,4, of,,1.0,0.013488858938217163,0.27041885256767273
-1,5,573,5, the,,1.0,0.01035800576210022,0.304097056388855
-1,6,38942,6, painter,,1.0,0.02925822138786316,0.17421475052833557
-1,7,576,7, of,,1.0,0.010634362697601318,0.29373905062675476
-1,8,714,8, The,,1.0,0.012685835361480713,0.28310468792915344
-1,9,35359,9, Birth,,1.0,0.017688065767288208,0.24050520360469818
-1,10,576,10, of,,1.0,0.008099138736724854,0.3216856122016907
-1,11,42458,11, Venus,,1.0,0.04181802272796631,0.1449565291404724
-1,12,603,12, is,,1.0,0.047447264194488525,0.1031385064125061
0,-1,0,2, first,,1.0,0.0003598332405090332,0.7795016765594482
0,-1,0,3, name,,1.0,0.0015575885772705078,0.5027343034744263
0,-1,0,6, painter,,1.0,0.0013024210929870605,0.5322946906089783
0,-1,0,9, Birth,,1.0,0.0007038116455078125,0.6540648341178894
0,-1,0,11, Venus,,1.0,0.001737147569656372,0.4780241549015045
0,-1,0,12, is,,1.0,0.000629425048828125,0.6764851808547974
0,4949,98,11, Venus,1.140625,1.0,0.0005202889442443848,0.7072036862373352
0,26795,230,12, is,3.28125,1.0,0.005897432565689087,0.3746953010559082
0,66065,362,8, The,3.25,1.0,0.0007608532905578613,0.6402985453605652
0,141245,530,11, Venus,1.15625,1.0,0.0004363059997558594,0.7398557662963867
0,827540,1285,6, painter,2.75,1.0,0.0004646182060241699,0.7273216843605042
0,831404,1288,3, name,1.125,1.0,0.0007342696189880371,0.6447603106498718
0,1230095,1567,3, name,1.265625,1.0,0.00040853023529052734,0.7550498843193054
0,1357127,1646,11, Venus,1.0234375,1.0,0.00040918588638305664,0.7542328834533691
0,2338202,2161,4, of,3.125,1.0,0.000598907470703125,0.6832459568977356
0,2338202,2161,7, of,3.90625,1.0,0.0006232857704162598,0.6783578395843506
0,2338202,2161,10, of,4.0,1.0,0.0003542900085449219,0.7816407680511475
0,13527800,5200,12, is,3.3125,1.0,0.006149321794509888,0.36271631717681885
0,19640777,6266,9, Birth,1.3828125,1.0,0.00033730268478393555,0.7919967174530029
0,26002865,7210,9, Birth,2.1875,1.0,0.0006306171417236328,0.6745955944061279
0,27613595,7430,11, Venus,0.9453125,1.0,0.00032442808151245117,0.7986356616020203
0,38364419,8758,11, Venus,0.87109375,1.0,0.0003688931465148926,0.7732900381088257
0,75466754,12284,1,The,2.8125,1.0,0.00041425228118896484,0.7517642378807068
0,78431549,12523,3, name,1.4921875,1.0,0.0007336735725402832,0.6454939842224121
0,81058277,12731,9, Birth,2.28125,1.0,0.0004240870475769043,0.7463173270225525
0,91226277,13506,5, the,2.921875,1.0,0.00044149160385131836,0.737230658531189
0,98049005,14002,3, name,4.21875,1.0,0.002161383628845215,0.46132892370224
0,109690265,14810,4, of,1.890625,1.0,0.0004630088806152344,0.7282487750053406
0,109690265,14810,7, of,1.390625,1.0,0.0003437995910644531,0.7885984778404236
0,122265702,15636,4, of,1.1640625,1.0,0.00038754940032958984,0.7653792500495911
0,124812099,15798,2, first,3.03125,1.0,0.0005269050598144531,0.7040678262710571
0,157380410,17740,2, first,1.6875,1.0,0.0004450082778930664,0.7345733642578125
0,162838080,18045,11, Venus,1.359375,1.0,0.0004450678825378418,0.7350184321403503
0,175865634,18753,4, of,6.6875,1.0,0.001632094383239746,0.4932183027267456
0,175865634,18753,5, the,6.90625,1.0,0.0008407235145568848,0.6188291311264038
0,175865634,18753,7, of,6.1875,1.0,0.0011026263236999512,0.5634118318557739
0,175865634,18753,10, of,5.90625,1.0,0.0005692839622497559,0.6942722797393799
0,175865634,18753,12, is,5.46875,1.0,0.003291517496109009,0.4259258806705475
0,184425614,19204,1,The,2.5,1.0,0.0005789995193481445,0.6885377764701843
0,193877585,19690,6, painter,1.0,1.0,0.0003440976142883301,0.7879106402397156
0,199270665,19962,6, painter,2.5,1.0,0.0007735490798950195,0.6349284648895264
0,209786885,20482,11, Venus,0.9921875,1.0,0.0004458427429199219,0.7341283559799194
0,216496835,20807,2, first,2.28125,1.0,0.0007468461990356445,0.6417962312698364
0,222594449,21098,3, name,1.15625,1.0,0.0004189610481262207,0.7492626309394836
0,224773002,21201,11, Venus,0.8203125,1.0,0.00037091970443725586,0.7714422345161438
0,244569785,22115,3, name,1.1796875,1.0,0.0004588961601257324,0.7291674613952637
0,249370277,22331,6, painter,1.953125,1.0,0.0006097555160522461,0.6814340949058533
0,256862444,22664,2, first,2.828125,1.0,0.0009526610374450684,0.598257303237915
0,275619980,23477,1,The,2.34375,1.0,0.0006593465805053711,0.6656351089477539
0,277572140,23560,11, Venus,1.2265625,1.0,0.00040072202682495117,0.7594960927963257
0,298644579,24438,1,The,2.859375,1.0,0.00040668249130249023,0.7562713027000427
0,306887924,24773,11, Venus,0.7734375,1.0,0.00033414363861083984,0.7943490743637085
0,328051304,25613,6, painter,0.71484375,1.0,0.00034117698669433594,0.7892820835113525
0,337623104,25984,5, the,2.359375,1.0,0.0004221200942993164,0.7471633553504944
0,341924324,26149,11, Venus,1.0546875,1.0,0.0004852414131164551,0.718787670135498
0,354591764,26629,7, of,1.421875,1.0,0.0004194974899291992,0.7484246492385864
0,355577777,26666,11, Venus,1.078125,1.0,0.000622868537902832,0.6789807081222534
0,364972652,27016,9, Birth,1.6875,1.0,0.000330507755279541,0.7960091233253479
0,419905709,28978,6, painter,1.421875,1.0,0.0003585219383239746,0.7798601984977722
0,422750502,29076,11, Venus,2.71875,1.0,0.000992119312286377,0.590451717376709
0,427211064,29229,11, Venus,1.4375,1.0,0.000719606876373291,0.649115800857544
0,500244264,31629,2, first,2.1875,1.0,0.0007251501083374023,0.6476763486862183
0,509235740,31912,6, painter,0.96875,1.0,0.00036656856536865234,0.7762308716773987
0,535741010,32732,3, name,1.515625,1.0,0.00037032365798950195,0.7718125581741333
0,646075430,35945,1,The,2.71875,1.0,0.0008322000503540039,0.6204986572265625
0,646075430,35945,8, The,3.53125,1.0,0.0007631182670593262,0.6395376920700073
0,670640375,36622,11, Venus,1.6484375,1.0,0.0007255673408508301,0.6469511985778809
0,698202395,37367,11, Venus,1.109375,1.0,0.0006350278854370117,0.6720699071884155
0,709457945,37667,1,The,2.0,1.0,0.00034505128860473633,0.7861889004707336
0,720044325,37947,9, Birth,1.75,1.0,0.00038242340087890625,0.7676892876625061
