layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05384281650185585,0.05384281650185585
-1,1,651,1,The,,1.0,0.024831905961036682,0.17400260269641876
-1,2,1370,2, first,,1.0,0.015618279576301575,0.2503318786621094
-1,3,1503,3, name,,1.0,0.019374728202819824,0.21544083952903748
-1,4,576,4, of,,1.0,0.012678444385528564,0.26301032304763794
-1,5,573,5, the,,1.0,0.009605973958969116,0.2837386727333069
-1,6,38942,6, painter,,1.0,0.027463361620903015,0.14917069673538208
-1,7,576,7, of,,1.0,0.011122375726699829,0.27413269877433777
-1,8,25129,8, Campbell,,1.0,0.019272759556770325,0.2347135990858078
-1,9,235303,9,',,1.0,0.007889866828918457,0.3082740604877472
-1,10,235256,10,s,,1.0,0.005229681730270386,0.34419432282447815
-1,11,57579,11, Soup,,1.0,0.02206350862979889,0.19606611132621765
-1,12,185695,12, Cans,,1.0,0.02925284206867218,0.12170733511447906
-1,13,603,13, is,,1.0,0.038611676543951035,0.09245449304580688
0,-1,0,2, first,,1.0,0.00032579898834228516,0.7757716774940491
0,-1,0,3, name,,1.0,0.001774132251739502,0.48133230209350586
0,-1,0,4, of,,1.0,0.00034356117248535156,0.7637734413146973
0,-1,0,6, painter,,1.0,0.0009591579437255859,0.57999587059021
0,-1,0,7, of,,1.0,0.0003623366355895996,0.7524928450584412
0,-1,0,8, Campbell,,1.0,0.0006653070449829102,0.6307516098022461
0,-1,0,11, Soup,,1.0,0.0012424588203430176,0.5307735800743103
0,-1,0,12, Cans,,1.0,0.0026130378246307373,0.4311883747577667
0,-1,0,13, is,,1.0,0.0006203055381774902,0.6455192565917969
0,26795,230,13, is,3.328125,1.0,0.0037058591842651367,0.3957459032535553
0,827540,1285,6, painter,2.75,1.0,0.0003591179847717285,0.7535733580589294
0,831404,1288,3, name,1.125,1.0,0.000599980354309082,0.6534744501113892
0,1230095,1567,3, name,1.265625,1.0,0.00036853551864624023,0.7477424144744873
0,2338202,2161,4, of,3.125,1.0,0.0008186697959899902,0.6021066904067993
0,2338202,2161,7, of,3.90625,1.0,0.0010429024696350098,0.5659288167953491
0,2338202,2161,9,',4.34375,1.0,0.0004998445510864258,0.6893824934959412
0,2338202,2161,10,s,3.28125,1.0,0.00031065940856933594,0.783051609992981
0,7336364,3829,9,',4.5625,1.0,0.0005319118499755859,0.6749337315559387
0,11359760,4765,9,',3.484375,1.0,0.0004017949104309082,0.7288594245910645
0,13527800,5200,13, is,3.53125,1.0,0.003784388303756714,0.38830262422561646
0,13815395,5255,10,s,2.421875,1.0,0.00031262636184692383,0.7814939022064209
0,21121749,6498,10,s,4.0,1.0,0.0006372332572937012,0.6398736834526062
0,28474830,7545,9,',1.921875,1.0,0.0004877448081970215,0.6923434734344482
0,35900100,8472,11, Soup,2.453125,1.0,0.0006923675537109375,0.626013994216919
0,75466754,12284,1,The,2.8125,1.0,0.00039261579513549805,0.7355979084968567
0,78431549,12523,3, name,1.4921875,1.0,0.000522911548614502,0.6791497468948364
0,82554824,12848,11, Soup,1.71875,1.0,0.0005347132682800293,0.6744018197059631
0,84000240,12960,11, Soup,2.625,1.0,0.0012524127960205078,0.528285026550293
0,84000240,12960,12, Cans,2.03125,1.0,0.0012235641479492188,0.5369278192520142
0,84988202,13036,10,s,1.9375,1.0,0.00034373998641967773,0.7630861401557922
