layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.051086876541376114,0.051086876541376114
-1,1,651,1,The,,1.0,0.02246430516242981,0.1916707456111908
-1,2,1370,2, first,,1.0,0.015061512589454651,0.2614525854587555
-1,3,1503,3, name,,1.0,0.01848924160003662,0.22942693531513214
-1,4,576,4, of,,1.0,0.01191762089729309,0.2863357961177826
-1,5,573,5, the,,1.0,0.008739858865737915,0.30451667308807373
-1,6,38942,6, painter,,1.0,0.023264944553375244,0.169206440448761
-1,7,576,7, of,,1.0,0.009441018104553223,0.2957768142223358
-1,8,18226,8, Girl,,1.0,0.012965589761734009,0.2744181752204895
-1,9,675,9, with,,1.0,0.007629424333572388,0.3121460974216461
-1,10,476,10, a,,1.0,0.006353050470352173,0.3389541208744049
-1,11,36548,11, Pearl,,1.0,0.019266948103904724,0.21093769371509552
-1,12,6098,12, Ear,,1.0,0.030063435435295105,0.14594149589538574
-1,13,1851,13,ring,,1.0,0.03372238203883171,0.08480925858020782
-1,14,603,14, is,,1.0,0.031068801879882812,0.11587806046009064
0,-1,0,2, first,,1.0,0.00039505958557128906,0.732453465461731
0,-1,0,3, name,,1.0,0.001417309045791626,0.49948978424072266
0,-1,0,6, painter,,1.0,0.0009652376174926758,0.5636518001556396
0,-1,0,7, of,,1.0,0.0003198385238647461,0.7748467922210693
0,-1,0,8, Girl,,1.0,0.00044989585876464844,0.7055702805519104
0,-1,0,11, Pearl,,1.0,0.0006019473075866699,0.6510486006736755
0,-1,0,12, Ear,,1.0,0.0016179382801055908,0.4756016135215759
0,-1,0,13,ring,,1.0,0.0029365718364715576,0.41131702065467834
0,-1,0,14, is,,1.0,0.00032383203506469727,0.7729213237762451
0,26795,230,14, is,3.390625,1.0,0.003439396619796753,0.39597782492637634
0,200027,631,13,ring,0.9765625,1.0,0.0005233287811279297,0.6765133738517761
0,827540,1285,6, painter,2.75,1.0,0.00034552812576293945,0.7608863115310669
0,831404,1288,3, name,1.125,1.0,0.0006833672523498535,0.6255967617034912
0,1230095,1567,3, name,1.265625,1.0,0.00041925907135009766,0.7206740379333496
0,2338202,2161,4, of,3.125,1.0,0.0005201101303100586,0.6785987615585327
0,2338202,2161,7, of,3.90625,1.0,0.000655829906463623,0.631598711013794
0,3515225,2650,8, Girl,1.640625,1.0,0.00032204389572143555,0.7732433676719666
0,13527800,5200,14, is,3.59375,1.0,0.004120141267776489,0.37336465716362
0,18638564,6104,12, Ear,0.80859375,1.0,0.00030225515365600586,0.782597005367279
0,18711902,6116,12, Ear,1.15625,1.0,0.0004183650016784668,0.7210924029350281
0,35612579,8438,13,ring,0.640625,1.0,0.000277101993560791,0.7990742325782776
0,66418574,11524,8, Girl,1.703125,1.0,0.00032383203506469727,0.7725974917411804
0,71718275,11975,8, Girl,3.484375,1.0,0.0004285573959350586,0.7139158248901367
0,72462740,12037,8, Girl,1.6953125,1.0,0.00041610002517700195,0.7231764197349548
0,75466754,12284,1,The,2.8125,1.0,0.00033229589462280273,0.7676696181297302
0,78431549,12523,3, name,1.4921875,1.0,0.0004800558090209961,0.6931031346321106
0,91185759,13503,13,ring,1.65625,1.0,0.0006331801414489746,0.639299213886261
0,91226277,13506,5, the,2.921875,1.0,0.0003725886344909668,0.7443757653236389
0,98049005,14002,3, name,4.21875,1.0,0.001957029104232788,0.46325457096099854
0,109690265,14810,4, of,1.890625,1.0,0.00033098459243774414,0.7686648964881897
0,121142394,15564,6, painter,0.82421875,1.0,0.0002810359001159668,0.7965685725212097
0,122078124,15624,11, Pearl,1.328125,1.0,0.00027805566787719727,0.7979634404182434
0,122265702,15636,4, of,1.1640625,1.0,0.00035268068313598633,0.7570494413375854
0,124812099,15798,2, first,3.03125,1.0,0.0004601478576660156,0.7001335024833679
0,146538639,17118,13,ring,1.375,1.0,0.0008422732353210449,0.5897204279899597
0,157380410,17740,2, first,1.6875,1.0,0.0005270242691040039,0.6744160056114197
0,168572340,18360,8, Girl,1.7421875,1.0,0.0002803206443786621,0.7968488931655884
0,175266002,18721,11, Pearl,2.25,1.0,0.00035202503204345703,0.7574014663696289
0,175865634,18753,4, of,6.6875,1.0,0.0010666251182556152,0.5413103103637695
0,175865634,18753,5, the,6.90625,1.0,0.0005786418914794922,0.6616626977920532
0,175865634,18753,7, of,6.1875,1.0,0.001055896282196045,0.5444884896278381
0,175865634,18753,9, with,3.9375,1.0,0.0003992319107055664,0.7300755977630615
0,175865634,18753,10, a,6.25,1.0,0.0004976987838745117,0.6862457990646362
0,175865634,18753,14, is,5.21875,1.0,0.0036382079124450684,0.3889252841472626
0,184425614,19204,1,The,2.5,1.0,0.0004248619079589844,0.7156232595443726
0,193877585,19690,6, painter,1.0,1.0,0.00033974647521972656,0.7646440863609314
0,199270665,19962,6, painter,2.5,1.0,0.0006985068321228027,0.6207623481750488
