feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous painting is A Sunday on La Grande Jatte, painting,5,78.08279418945312,0.6989144080209941,semantic,"[{""token"": "" painting"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,paintings,"[{""tk"": ""paintings"", ""act"": 87.22464752197266}, {""tk"": ""painting"", ""act"": 78.08279418945312}, {""tk"": ""artworks"", ""act"": 77.66210174560547}, {""tk"": ""painter"", ""act"": 72.56603240966797}, {""tk"": ""name"", ""act"": 51.99420166015625}, {""tk"": ""creates"", ""act"": 48.34333801269531}, {""tk"": ""Georges"", ""act"": 45.49527359008789}, {""tk"": ""Sunday"", ""act"": 39.223392486572266}, {""tk"": ""called"", ""act"": 31.9904842376709}, {""tk"": ""atte"", ""act"": 29.341445922851562}, {""tk"": ""Grande"", ""act"": 26.755651473999023}, {""tk"": ""La"", ""act"": 23.68292808532715}, {""tk"": ""first"", ""act"": 21.10489845275879}, {""tk"": ""Se"", ""act"": 18.473955154418945}, {""tk"": ""urat"", ""act"": 11.810982704162598}, {""tk"": ""J"", ""act"": 0.7885828614234924}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""on"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_11511,0,11511,entity: A famous painting is A Sunday on La Grande Jatte, A,7,68.77368927001953,0.8493678487863286,functional,"[{""token"": "" Sunday"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,A,"[{""tk"": ""A"", ""act"": 70.8469467163086}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""on"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_22168,0,22168,entity: A famous painting is A Sunday on La Grande Jatte, on,9,58.78404998779297,0.9230769230769232,functional,"[{""token"": "" Grande"", ""index"": 11, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,on,"[{""tk"": ""on"", ""act"": 58.78404998779297}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_78967,0,78967,entity: A famous painting is A Sunday on La Grande Jatte, A,3,57.23815536499024,0.8730407411898516,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,A,"[{""tk"": ""A"", ""act"": 57.238155364990234}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""on"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous painting is A Sunday on La Grande Jatte,:,2,55.24455642700195,0.8692511568329591,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""of"", ""act"": 42.099979400634766}, {""tk"": ""a"", ""act"": 39.36964416503906}, {""tk"": ""on"", ""act"": 38.65654754638672}, {""tk"": ""the"", ""act"": 27.90477752685547}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous painting is A Sunday on La Grande Jatte,:,2,51.97818756103516,0.8058477937252494,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""a"", ""act"": 50.157127380371094}, {""tk"": ""of"", ""act"": 46.549560546875}, {""tk"": ""is"", ""act"": 45.46295166015625}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""on"", ""act"": 35.412513732910156}, {""tk"": ""their"", ""act"": 23.47272300720215}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_230,0,230,entity: A famous painting is A Sunday on La Grande Jatte, is,6,49.8835563659668,0.9230769230769232,functional,"[{""token"": "" Sunday"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.8835563659668}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""on"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_76081,0,76081,entity: A famous painting is A Sunday on La Grande Jatte, J,12,48.48657989501953,0.7971541311521727,functional,"[{""token"": ""atte"", ""index"": 13, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,J,"[{""tk"": ""J"", ""act"": 48.48657989501953}, {""tk"": ""A"", ""act"": 32.90614318847656}, {""tk"": ""La"", ""act"": 14.793173789978027}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""on"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous painting is A Sunday on La Grande Jatte, A,3,47.80646514892578,0.866145134548839,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""A"", ""act"": 47.80646514892578}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""on"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous painting is A Sunday on La Grande Jatte, is,6,46.50691604614258,0.7834101771947622,functional,"[{""token"": "" Sunday"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 50.4288215637207}, {""tk"": ""a"", ""act"": 47.24517059326172}, {""tk"": ""their"", ""act"": 42.35243606567383}, {""tk"": ""on"", ""act"": 41.416725158691406}, {""tk"": ""of"", ""act"": 39.56308364868164}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Sunday"", ""act"": 0.0}, {""tk"": ""La"", ""act"": 0.0}, {""tk"": ""Grande"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""atte"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Georges"", ""act"": 0.0}, {""tk"": ""Se"", ""act"": 0.0}, {""tk"": ""urat"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
