feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous painting is Guernica, painting,5,78.08279418945312,0.6308610357991578,semantic,"[{""token"": "" painting"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,paintings,"[{""tk"": ""paintings"", ""act"": 87.22464752197266}, {""tk"": ""painting"", ""act"": 78.08279418945312}, {""tk"": ""painter"", ""act"": 72.56603240966797}, {""tk"": ""name"", ""act"": 51.99420166015625}, {""tk"": ""creates"", ""act"": 48.34333801269531}, {""tk"": ""Pablo"", ""act"": 37.72907257080078}, {""tk"": ""Picasso"", ""act"": 35.50867462158203}, {""tk"": ""called"", ""act"": 31.9904842376709}, {""tk"": ""Gu"", ""act"": 28.94308853149414}, {""tk"": ""ica"", ""act"": 24.140993118286133}, {""tk"": ""first"", ""act"": 21.10489845275879}, {""tk"": ""ern"", ""act"": 20.49367904663086}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous painting is Guernica,:,2,55.24455642700195,0.8888888888888888,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""and"", ""act"": 50.3748664855957}, {""tk"": ""of"", ""act"": 42.099979400634766}, {""tk"": ""the"", ""act"": 27.90477752685547}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous painting is Guernica,:,2,51.97818756103516,0.7952574423316994,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""and"", ""act"": 46.655479431152344}, {""tk"": ""of"", ""act"": 46.549560546875}, {""tk"": ""is"", ""act"": 45.46295166015625}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""their"", ""act"": 23.47272300720215}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_230,0,230,entity: A famous painting is Guernica, is,6,49.8835563659668,0.888888888888889,functional,[],json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.8835563659668}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous painting is Guernica, A,3,47.80646514892578,0.888888888888889,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous painting is Guernica, is,6,46.50691604614258,0.7860980123999052,functional,[],json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 50.4288215637207}, {""tk"": ""and"", ""act"": 49.26454162597656}, {""tk"": ""their"", ""act"": 42.35243606567383}, {""tk"": ""of"", ""act"": 39.56308364868164}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous painting is Guernica,:,2,44.86204528808594,0.723330847005585,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 34.46649932861328}, {""tk"": ""the"", ""act"": 32.98480987548828}, {""tk"": ""and"", ""act"": 21.209081649780273}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous painting is Guernica, is,6,44.0032958984375,0.888888888888889,functional,[],json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 52.47572708129883}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous painting is Guernica, is,6,43.631465911865234,0.8888888888888888,functional,[],json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.552886962890625}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_91045,0,91045,entity: A famous painting is Guernica, is,6,41.220359802246094,0.8888888888888888,functional,[],json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 56.37054443359375}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Gu"", ""act"": 0.0}, {""tk"": ""ern"", ""act"": 0.0}, {""tk"": ""ica"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Pablo"", ""act"": 0.0}, {""tk"": ""Picasso"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
