layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05166979134082794,0.05166979134082794
-1,1,651,1,The,,1.0,0.02214778959751129,0.17441685497760773
-1,2,1370,2, first,,1.0,0.01485888659954071,0.2278594672679901
-1,3,1503,3, name,,1.0,0.018452942371368408,0.2130005806684494
-1,4,576,4, of,,1.0,0.012568086385726929,0.25459107756614685
-1,5,573,5, the,,1.0,0.009164035320281982,0.2855917513370514
-1,6,38942,6, painter,,1.0,0.02938418835401535,0.1246570274233818
-1,7,576,7, of,,1.0,0.011884480714797974,0.2664755582809448
-1,8,714,8, The,,1.0,0.01416352391242981,0.24202299118041992
-1,9,106265,9, Persistence,,1.0,0.04360304772853851,0.09527283906936646
-1,10,576,10, of,,1.0,0.006861597299575806,0.3159961402416229
-1,11,22021,11, Memory,,1.0,0.020130783319473267,0.194547638297081
-1,12,603,12, is,,1.0,0.02761203795671463,0.15226906538009644
0,-1,0,2, first,,1.0,0.0003895759582519531,0.7549141049385071
0,-1,0,3, name,,1.0,0.0012641549110412598,0.515919029712677
0,-1,0,6, painter,,1.0,0.0012063384056091309,0.5282348394393921
0,-1,0,9, Persistence,,1.0,0.0057784318923950195,0.3407398462295532
0,-1,0,11, Memory,,1.0,0.0010205507278442383,0.5599547624588013
0,-1,0,12, is,,1.0,0.0005378127098083496,0.6938542127609253
0,25877,226,9, Persistence,1.15625,1.0,0.0005509257316589355,0.6889275908470154
0,26795,230,12, is,3.140625,1.0,0.002491891384124756,0.4109402000904083
0,66065,362,8, The,3.25,1.0,0.0007148981094360352,0.6343224048614502
0,239777,691,9, Persistence,0.8984375,1.0,0.00039392709732055664,0.7517787218093872
0,827540,1285,6, painter,2.75,1.0,0.0003351569175720215,0.7830747365951538
0,831404,1288,3, name,1.125,1.0,0.000646054744720459,0.6559250354766846
0,1230095,1567,3, name,1.265625,1.0,0.0005574226379394531,0.6850519180297852
0,2338202,2161,4, of,3.125,1.0,0.0010045766830444336,0.5629908442497253
0,2338202,2161,7, of,3.90625,1.0,0.001028597354888916,0.5558583736419678
0,2338202,2161,10, of,3.90625,1.0,0.0004540085792541504,0.7280900478363037
0,6754649,3674,9, Persistence,0.7734375,1.0,0.0004436969757080078,0.733476996421814
0,13527800,5200,12, is,3.1875,1.0,0.0041627585887908936,0.37098076939582825
0,23629374,6873,11, Memory,2.71875,1.0,0.0010370612144470215,0.5527697801589966
0,34681955,8327,9, Persistence,0.84375,1.0,0.00044721364974975586,0.7321420311927795
0,44883074,9473,11, Memory,2.90625,1.0,0.00121229887008667,0.5258198976516724
0,46248152,9616,9, Persistence,1.3125,1.0,0.0006884336471557617,0.6405614018440247
0,75466754,12284,1,The,2.8125,1.0,0.0004519820213317871,0.7289952039718628
0,78431549,12523,3, name,1.4921875,1.0,0.0005574822425842285,0.6844944953918457
0,81313127,12751,9, Persistence,1.1953125,1.0,0.00035327672958374023,0.7723470330238342
0,91226277,13506,5, the,2.921875,1.0,0.0005792379379272461,0.6760197281837463
0,96598049,13898,9, Persistence,2.5,1.0,0.0017802119255065918,0.46086496114730835
0,96598049,13898,11, Memory,1.78125,1.0,0.0004961490631103516,0.7066647410392761
