layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05452434718608856,0.05452434718608856
-1,1,651,1,The,,1.0,0.023755133152008057,0.20203819870948792
-1,2,1370,2, first,,1.0,0.014674723148345947,0.25849974155426025
-1,3,1503,3, name,,1.0,0.019366517663002014,0.2438250184059143
-1,4,576,4, of,,1.0,0.012288719415664673,0.28440552949905396
-1,5,573,5, the,,1.0,0.009709358215332031,0.3052118122577667
-1,6,38942,6, painter,,1.0,0.02741144597530365,0.15375930070877075
-1,7,576,7, of,,1.0,0.011096924543380737,0.2955024540424347
-1,8,714,8, The,,1.0,0.013617068529129028,0.2721168100833893
-1,9,7081,9, Star,,1.0,0.022420302033424377,0.2244585007429123
-1,10,831,10,ry,,1.0,0.024523764848709106,0.17828306555747986
-1,11,11783,11, Night,,1.0,0.033276647329330444,0.1263478547334671
-1,12,603,12, is,,1.0,0.038546860218048096,0.09307120740413666
0,-1,0,3, name,,1.0,0.0018635690212249756,0.49030303955078125
0,-1,0,6, painter,,1.0,0.0010669827461242676,0.5780261754989624
0,-1,0,9, Star,,1.0,0.0007112026214599609,0.6532800793647766
0,-1,0,10,ry,,1.0,0.0021305978298187256,0.46859708428382874
0,-1,0,11, Night,,1.0,0.0022873282432556152,0.4552784264087677
0,-1,0,12, is,,1.0,0.000692903995513916,0.6602990031242371
0,26795,230,12, is,3.421875,1.0,0.0037570595741271973,0.4031672179698944
0,63189,354,11, Night,1.5,1.0,0.0007526278495788574,0.6417300701141357
0,66065,362,8, The,3.25,1.0,0.0007871389389038086,0.6340521574020386
0,827540,1285,6, painter,2.75,1.0,0.0004315972328186035,0.7467470169067383
0,831404,1288,3, name,1.125,1.0,0.0006111860275268555,0.682969868183136
0,1230095,1567,3, name,1.265625,1.0,0.00035387277603149414,0.7836648225784302
0,2338202,2161,4, of,3.125,1.0,0.0007095932960510254,0.6539896726608276
0,2338202,2161,7, of,3.90625,1.0,0.0007175803184509277,0.6482911705970764
0,3605954,2684,12, is,0.6796875,1.0,0.00044858455657958984,0.7397348880767822
0,13527800,5200,12, is,3.4375,1.0,0.005745142698287964,0.347895085811615
0,16168140,5685,11, Night,1.09375,1.0,0.0006355643272399902,0.672976016998291
0,23245970,6817,11, Night,1.1796875,1.0,0.00047272443771362305,0.7282406687736511
0,34299902,8281,10,ry,4.96875,1.0,0.0027003884315490723,0.42806243896484375
0,35612579,8438,10,ry,1.703125,1.0,0.0006452202796936035,0.6716993451118469
0,64371530,11345,11, Night,0.765625,1.0,0.00032776594161987305,0.797616720199585
0,75270314,12268,10,ry,1.0,1.0,0.00035065412521362305,0.7850721478462219
0,75466754,12284,1,The,2.8125,1.0,0.0004076957702636719,0.7568007111549377
0,78431549,12523,3, name,1.4921875,1.0,0.0005182027816772461,0.7139250040054321
0,91226277,13506,5, the,2.921875,1.0,0.00038254261016845703,0.7694162726402283
0,97615377,13971,10,ry,1.3125,1.0,0.000522315502166748,0.7128849625587463
0,98049005,14002,3, name,4.21875,1.0,0.0018818080425262451,0.4884394705295563
0,109690265,14810,4, of,1.890625,1.0,0.00032842159271240234,0.7966331839561462
0,111206240,14912,11, Night,1.71875,1.0,0.0005403757095336914,0.7065039277076721
0,122265702,15636,4, of,1.1640625,1.0,0.00035768747329711914,0.780108630657196
0,124812099,15798,2, first,3.03125,1.0,0.00044918060302734375,0.7392863035202026
0,143117820,16917,10,ry,1.0546875,1.0,0.0003427267074584961,0.7899249792098999
0,157380410,17740,2, first,1.6875,1.0,0.0003806948661804199,0.7705596685409546
0,175865634,18753,4, of,6.6875,1.0,0.001174330711364746,0.560237467288971
0,175865634,18753,5, the,6.90625,1.0,0.0006238222122192383,0.6798774600028992
0,175865634,18753,7, of,6.1875,1.0,0.0011067390441894531,0.5715511441230774
0,175865634,18753,12, is,5.34375,1.0,0.0047140419483184814,0.3788891136646271
0,184425614,19204,1,The,2.5,1.0,0.0006031394004821777,0.6860063672065735
0,199270665,19962,6, painter,2.5,1.0,0.0009243488311767578,0.6120721697807312
0,216496835,20807,2, first,2.28125,1.0,0.0008091330528259277,0.6300796270370483
0,222594449,21098,3, name,1.15625,1.0,0.0004184246063232422,0.7518453598022461
0,244569785,22115,3, name,1.1796875,1.0,0.00035709142684936523,0.7808232307434082
0,249370277,22331,6, painter,1.953125,1.0,0.0004674196243286133,0.7315272688865662
0,256862444,22664,2, first,2.828125,1.0,0.0007619261741638184,0.6402244567871094
0,275619980,23477,1,The,2.34375,1.0,0.0005577802658081055,0.6993414759635925
0,279625775,23647,10,ry,1.09375,1.0,0.000347137451171875,0.7871648669242859
0,285425777,23891,9, Star,1.6640625,1.0,0.0005538463592529297,0.702118992805481
0,298644579,24438,1,The,2.859375,1.0,0.00040078163146972656,0.7592228651046753
0,354591764,26629,7, of,1.421875,1.0,0.00045984983444213867,0.7338328957557678
0,364972652,27016,9, Star,2.40625,1.0,0.0005545616149902344,0.701565146446228
0,404231960,28432,11, Night,1.6015625,1.0,0.00048553943634033203,0.7244299650192261
0,482439452,31061,11, Night,2.015625,1.0,0.0017084479331970215,0.5080215930938721
0,500244264,31629,2, first,2.1875,1.0,0.0006344914436340332,0.673610508441925
0,509235740,31912,6, painter,0.96875,1.0,0.0003463625907897949,0.788204550743103
0,646075430,35945,1,The,2.71875,1.0,0.0007116198539733887,0.6525688767433167
0,646075430,35945,8, The,3.53125,1.0,0.000659644603729248,0.6671453714370728
0,701007845,37442,10,ry,1.0703125,1.0,0.00047200918197631836,0.7287126779556274
0,728989835,38182,8, The,2.84375,1.0,0.0005258321762084961,0.7113133072853088
0,747394452,38661,11, Night,1.40625,1.0,0.0006219744682312012,0.6811228394508362
0,765324125,39122,4, of,4.625,1.0,0.000988602638244629,0.5995779633522034
0,765324125,39122,5, the,5.0,1.0,0.0005124807357788086,0.7149516940116882
0,765324125,39122,7, of,5.4375,1.0,0.0012568235397338867,0.5420289635658264
0,768418002,39201,11, Night,1.421875,1.0,0.0006570816040039062,0.6684613823890686
0,770575652,39256,6, painter,1.6015625,1.0,0.0005809664726257324,0.6919341087341309
0,775214999,39374,12, is,1.28125,1.0,0.0010328888893127441,0.5884943008422852
0,831565370,40780,4, of,5.4375,1.0,0.0009981989860534668,0.5975937843322754
0,831565370,40780,5, the,6.75,1.0,0.0006917715072631836,0.6623747944831848
0,831565370,40780,7, of,5.0,1.0,0.0008564591407775879,0.6226675510406494
0,831565370,40780,12, is,5.65625,1.0,0.004321634769439697,0.3832107484340668
0,837939452,40936,4, of,5.375,1.0,0.0018486082553863525,0.4921516478061676
0,837939452,40936,7, of,5.03125,1.0,0.0017293691635131836,0.5028823614120483
0,858036024,41424,1,The,1.75,1.0,0.00035750865936279297,0.7804661393165588
0,989702294,44489,1,The,2.59375,1.0,0.0007055997848510742,0.6568194627761841
0,993933404,44584,11, Night,1.171875,1.0,0.0005874037742614746,0.6913531422615051
0,996163929,44634,1,The,2.65625,1.0,0.0005522966384887695,0.7032239437103271
0,1031329235,45415,6, painter,1.0625,1.0,0.00032639503479003906,0.7985967993736267
0,1041162527,45631,3, name,1.59375,1.0,0.0007151961326599121,0.6490063667297363
0,1057839005,45995,1,The,1.8828125,1.0,0.00032317638397216797,0.7995684742927551
0,1156251915,48087,10,ry,0.95703125,1.0,0.00035643577575683594,0.781536340713501
0,1228171140,49560,12, is,3.453125,1.0,0.003932386636734009,0.3956204056739807
0,1306243827,51111,11, Night,0.99609375,1.0,0.00042641162872314453,0.7493181228637695
0,1322805329,51434,1,The,2.71875,1.0,0.0006921887397766113,0.6609911918640137
0,1322805329,51434,5, the,5.625,1.0,0.000910341739654541,0.6138985753059387
0,1322805329,51434,8, The,2.65625,1.0,0.0007079243659973145,0.6554064750671387
0,1446977909,53794,2, first,2.4375,1.0,0.0003581047058105469,0.7797509431838989
0,1446977909,53794,3, name,1.328125,1.0,0.00046384334564208984,0.7319911122322083
0,1468792899,54198,1,The,5.78125,1.0,0.0007507801055908203,0.6424808502197266
0,1468792899,54198,8, The,5.3125,1.0,0.0006287693977355957,0.6754984259605408
0,1485261252,54501,6, painter,1.6953125,1.0,0.0005047917366027832,0.7174862623214722
0,1489133450,54572,1,The,2.578125,1.0,0.000437319278717041,0.7437137961387634
0,1746316350,59097,2, first,2.53125,1.0,0.0004761219024658203,0.7263460755348206
0,1831123385,60515,6, painter,1.8515625,1.0,0.0005098581314086914,0.7154615521430969
0,1862238905,61027,3, name,1.46875,1.0,0.00047081708908081055,0.7296555638313293
0,1895032265,61562,4, of,2.421875,1.0,0.0003979206085205078,0.7612195014953613
0,1895032265,61562,7, of,2.96875,1.0,0.0004118680953979492,0.7547516226768494
0,1901070290,61660,9, Star,2.78125,1.0,0.0007629990577697754,0.6394625306129456
0,1919303945,61955,11, Night,2.296875,1.0,0.0012134909629821777,0.5506792068481445
0,1939430339,62279,2, first,1.625,1.0,0.0003871917724609375,0.7671078443527222
0,1960976624,62624,9, Star,6.5,1.0,0.0011373162269592285,0.5636963248252869
0,1976538500,62872,1,The,2.6875,1.0,0.00047522783279418945,0.7268213033676147
0,2045664665,63962,6, painter,1.03125,1.0,0.0003336668014526367,0.7943093180656433
0,2062585877,64226,10,ry,1.1953125,1.0,0.00043594837188720703,0.7441497445106506
0,2065091510,64265,6, painter,1.515625,1.0,0.0006104707717895508,0.6835803389549255
0,2097608834,64769,8, The,3.546875,1.0,0.0009790658950805664,0.6035059690475464
0,2126269865,65210,6, painter,1.5390625,1.0,0.0004912614822387695,0.7229672074317932
0,2359535859,68694,11, Night,1.5,1.0,0.0004760622978210449,0.7258699536323547
0,2429149550,69700,10,ry,1.484375,1.0,0.0003586411476135254,0.7793928384780884
0,2503524179,70759,8, The,2.25,1.0,0.0005044341087341309,0.7179906964302063
0,2680254719,73214,11, Night,1.046875,1.0,0.0004576444625854492,0.735667884349823
0,2720305679,73759,4, of,2.53125,1.0,0.0007088780403137207,0.6546985507011414
0,2720305679,73759,7, of,2.96875,1.0,0.0007116794586181641,0.6518572568893433
0,2887126065,75987,11, Night,1.4921875,1.0,0.000601649284362793,0.6872103810310364
0,2889938324,76024,6, painter,5.9375,1.0,0.00106734037399292,0.5769591927528381
0,2889938324,76024,11, Night,1.1875,1.0,0.00044608116149902344,0.7406274676322937
0,2907755669,76258,2, first,1.609375,1.0,0.0003279447555541992,0.7969611287117004
0,2922110127,76446,10,ry,1.484375,1.0,0.0005342960357666016,0.7097247838973999
0,2933358714,76593,10,ry,0.6015625,1.0,0.0004025101661682129,0.7584208250045776
0,2971703870,77092,10,ry,0.97265625,1.0,0.00046050548553466797,0.7329127192497253
0,2978337609,77178,6, painter,3.015625,1.0,0.0005218386650085449,0.7134068012237549
