layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.0570199228823185,0.0570199228823185
-1,1,651,1,The,,1.0,0.02485215663909912,0.2157749980688095
-1,2,1370,2, first,,1.0,0.015363305807113647,0.25220808386802673
-1,3,1503,3, name,,1.0,0.021069779992103577,0.23684477806091309
-1,4,576,4, of,,1.0,0.014279305934906006,0.26648738980293274
-1,5,573,5, the,,1.0,0.009774357080459595,0.2996792197227478
-1,6,38942,6, painter,,1.0,0.03071664273738861,0.13178430497646332
-1,7,576,7, of,,1.0,0.012963950634002686,0.2794513404369354
-1,8,5794,8, Water,,1.0,0.028524249792099,0.1909228414297104
-1,9,53769,9, Lili,,1.0,0.04404773935675621,0.10106766223907471
-1,10,484,10,es,,1.0,0.010453522205352783,0.2899048626422882
-1,11,603,11, is,,1.0,0.03061428666114807,0.1623985916376114
0,-1,0,3, name,,1.0,0.0015018582344055176,0.5073683857917786
0,-1,0,4, of,,1.0,0.0003355741500854492,0.7974371910095215
0,-1,0,6, painter,,1.0,0.0009230971336364746,0.6039558053016663
0,-1,0,8, Water,,1.0,0.000601649284362793,0.6847609281539917
0,-1,0,9, Lili,,1.0,0.005235552787780762,0.36946961283683777
0,-1,0,10,es,,1.0,0.0007094144821166992,0.6509885787963867
0,-1,0,11, is,,1.0,0.0006824135780334473,0.6606660485267639
0,26795,230,11, is,3.359375,1.0,0.003029376268386841,0.40564456582069397
0,827540,1285,6, painter,2.75,1.0,0.0004023909568786621,0.7638804316520691
0,831404,1288,3, name,1.125,1.0,0.0006008744239807129,0.6853618025779724
0,1230095,1567,3, name,1.265625,1.0,0.00035947561264038086,0.7863075137138367
0,2338202,2161,4, of,3.125,1.0,0.0004830360412597656,0.7269633412361145
0,2338202,2161,7, of,3.90625,1.0,0.0006428360939025879,0.6686789393424988
0,2871605,2395,9, Lili,0.40234375,1.0,0.0003306269645690918,0.7997667193412781
0,8567729,4138,9, Lili,0.5078125,1.0,0.000330507755279541,0.8000972270965576
0,13527800,5200,11, is,3.3125,1.0,0.00411456823348999,0.3777363896369934
0,18419414,6068,9, Lili,0.890625,1.0,0.0004410743713378906,0.7431505918502808
0,20177127,6351,9, Lili,0.56640625,1.0,0.0004191398620605469,0.7564893960952759
0,35612579,8438,10,es,2.75,1.0,0.0006403326988220215,0.6693192720413208
0,52423679,10238,9, Lili,1.09375,1.0,0.0005897879600524902,0.6895188689231873
0,64496402,11356,9, Lili,1.2734375,1.0,0.0006270408630371094,0.6724793314933777
0,75466754,12284,1,The,2.8125,1.0,0.00047028064727783203,0.7331541180610657
0,78431549,12523,3, name,1.4921875,1.0,0.0005667209625244141,0.7010820508003235
0,91226277,13506,5, the,2.921875,1.0,0.0005957484245300293,0.6865537166595459
0,98049005,14002,3, name,4.21875,1.0,0.002844780683517456,0.41718944907188416
0,103888904,14413,8, Water,1.671875,1.0,0.0004773736000061035,0.7293582558631897
0,112432509,14994,9, Lili,1.078125,1.0,0.00043714046478271484,0.7470993399620056
0,124812099,15798,2, first,3.03125,1.0,0.0004975795745849609,0.7201148271560669
0,147808220,17192,9, Lili,0.93359375,1.0,0.0005944967269897461,0.6883373856544495
0,151911164,17429,9, Lili,0.99609375,1.0,0.00037288665771484375,0.7793774008750916
