,gap_closure,gap_closure,gap_closure,target_rank_improvement,target_first_top5,flip_position
,mean,std,count,mean,<lambda>,<lambda>
target_state,,,,,,
alibaba,0.0546875,0.15467960838455727,8,317.375,0.0,0.0
dell,0.8828125,1.4678236060211243,8,6735.125,0.0,0.08333333333333333
dyson,0.5625,1.3697138648011749,8,12303.875,0.0,0.0
facebook,1.447275,3.4413281454984794,8,4705.0,0.08333333333333333,0.5
iphone,0.6015625,1.0783675969293323,8,9482.875,0.16666666666666666,0.3333333333333333
model,0.46875,1.0193441518937556,8,45.25,0.16666666666666666,0.6666666666666666
nike,0.21875,0.6187184335382291,8,3351.875,0.08333333333333333,0.08333333333333333
oculus,0.96485,2.059752560035168,8,1568.0,0.0,0.0
oracle,0.06251249999999997,0.17681205063569613,8,907.375,0.0,0.08333333333333333
twitter,0.109375,0.30935921676911454,8,4762.0,0.08333333333333333,0.0
windows,1.81835,3.3705760533517966,8,29316.0,0.0,0.25
wordpress,0.920425,1.303607741999103,8,3618.875,0.0,0.08333333333333333
