layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06126105785369873,0.12941928207874298
-1,1,651,1,The,,1.0,0.02889852225780487,0.2389882504940033
-1,2,3277,2, company,,1.0,0.026894450187683105,0.29354020953178406
-1,3,674,3, that,,1.0,0.016765564680099487,0.31030577421188354
-1,4,3833,4, makes,,1.0,0.015757083892822266,0.3426671624183655
-1,5,107193,5, Alibaba,,1.0,0.050411030650138855,0.17983031272888184
-1,6,729,6, was,,1.0,0.027657508850097656,0.26664575934410095
-1,7,18942,7, founded,,1.0,0.03025941550731659,0.21008972823619843
-1,8,731,8, by,,1.0,0.06815822422504425,0.06815822422504425
0,-1,0,2, company,,1.0,0.0022543668746948242,0.5281656384468079
0,-1,0,3, that,,1.0,0.0006561875343322754,0.7567524313926697
0,-1,0,4, makes,,1.0,0.0011538267135620117,0.6497688889503479
0,-1,0,5, Alibaba,,1.0,0.0027420520782470703,0.5062724351882935
0,-1,0,6, was,,1.0,0.0008684396743774414,0.6992307305335999
0,-1,0,7, founded,,1.0,0.0011316537857055664,0.6531863808631897
0,-1,0,8, by,,1.0,0.0008709430694580078,0.6974926590919495
0,827540,1285,5, Alibaba,2.53125,1.0,0.0008932352066040039,0.6922317743301392
0,3649050,2700,7, founded,1.671875,1.0,0.0005586743354797363,0.7772035002708435
0,5124800,3200,4, makes,1.125,1.0,0.0005050897598266602,0.7910497784614563
0,10545527,4591,7, founded,1.734375,1.0,0.0012497305870056152,0.7624662518501282
0,13527800,5200,6, was,2.34375,1.0,0.0008294582366943359,0.7102322578430176
0,21763502,6596,7, founded,2.15625,1.0,0.0006590485572814941,0.7560962438583374
0,23348360,6832,5, Alibaba,1.703125,1.0,0.0010764598846435547,0.6619707942008972
0,41227739,9079,5, Alibaba,1.25,1.0,0.0006975531578063965,0.7459638118743896
0,90511784,13453,6, was,2.359375,1.0,0.0008156895637512207,0.7118766903877258
0,112537502,15001,3, that,2.34375,1.0,0.0005449652671813965,0.7799516320228577
0,171800915,18535,8, by,3.78125,1.0,0.014324218034744263,0.35699138045310974
0,175865634,18753,3, that,4.875,1.0,0.0011780858039855957,0.6474457383155823
0,175865634,18753,6, was,3.84375,1.0,0.0011466145515441895,0.6509155035018921
0,175865634,18753,8, by,4.84375,1.0,0.007026016712188721,0.42597275972366333
0,184425614,19204,1,The,2.5,1.0,0.000549614429473877,0.7788611054420471
0,201352277,20066,4, makes,1.359375,1.0,0.0005726218223571777,0.7726774215698242
0,203464877,20171,3, that,2.34375,1.0,0.0013383030891418457,0.6187190413475037
0,342369027,26166,5, Alibaba,0.953125,1.0,0.0008658170700073242,0.7000965476036072
0,373614779,27334,5, Alibaba,0.77734375,1.0,0.0006521344184875488,0.7574045658111572
0,398480564,28229,2, company,1.484375,1.0,0.0006366968154907227,0.7593308687210083
0,503475777,31731,3, that,1.609375,1.0,0.0007530450820922852,0.7313748002052307
0,535741010,32732,4, makes,2.984375,1.0,0.0005225539207458496,0.787446916103363
0,535741010,32732,7, founded,1.5546875,1.0,0.00048655271530151367,0.7980054020881653
0,535741010,32732,8, by,0.8984375,1.0,0.0008893013000488281,0.693121075630188
0,622674404,35288,4, makes,4.625,1.0,0.002034902572631836,0.5407485961914062
0,643454000,35872,2, company,1.3984375,1.0,0.0004967451095581055,0.795547366142273
0,646075430,35945,1,The,2.71875,1.0,0.0009829401969909668,0.6773319840431213
0,664939277,36466,5, Alibaba,1.0625,1.0,0.0005893707275390625,0.7691834568977356
0,668956752,36576,5, Alibaba,1.2578125,1.0,0.0008077025413513184,0.7143094539642334
0,765324125,39122,3, that,3.796875,1.0,0.0007396340370178223,0.7365930080413818
0,765324125,39122,8, by,4.0,1.0,0.002505481243133545,0.5140522718429565
0,831565370,40780,3, that,8.75,1.0,0.0016987323760986328,0.5705149173736572
0,831565370,40780,6, was,5.59375,1.0,0.0013775229454040527,0.613304078578949
0,831565370,40780,8, by,6.875,1.0,0.006580233573913574,0.43938279151916504
0,903783869,42514,4, makes,3.265625,1.0,0.0016728043556213379,0.5738797783851624
0,920054855,42895,5, Alibaba,0.9609375,1.0,0.0005332827568054199,0.7853415012359619
0,949629989,43579,3, that,1.671875,1.0,0.0006113052368164062,0.7673948407173157
0,976400144,44189,5, Alibaba,1.25,1.0,0.0006128549575805664,0.7655595541000366
0,977637870,44217,3, that,1.46875,1.0,0.000972747802734375,0.6783047318458557
0,989702294,44489,1,The,2.59375,1.0,0.0008412599563598633,0.7069053649902344
0,996163929,44634,1,The,2.65625,1.0,0.0007727146148681641,0.7252965569496155
0,1068398424,46224,5, Alibaba,0.6015625,1.0,0.0005561113357543945,0.7777596116065979
0,1068906965,46235,2, company,4.8125,1.0,0.0007638335227966309,0.726824939250946
0,1080032525,46475,4, makes,3.125,1.0,0.001068413257598877,0.6641113758087158
0,1146989459,47894,3, that,1.8125,1.0,0.0010273456573486328,0.6693043112754822
0,1189232064,48768,5, Alibaba,0.83984375,1.0,0.0004950761795043945,0.7960424423217773
0,1228171140,49560,6, was,2.0625,1.0,0.0008509159088134766,0.7035295963287354
0,1322805329,51434,1,The,2.71875,1.0,0.0008287429809570312,0.7110610008239746
0,1468792899,54198,1,The,5.78125,1.0,0.0008319616317749023,0.7094027996063232
0,1489133450,54572,1,The,2.578125,1.0,0.0005348324775695801,0.7842741012573242
0,1535272577,55411,2, company,1.203125,1.0,0.0008727908134460449,0.6966217160224915
0,1558187399,55823,5, Alibaba,1.65625,1.0,0.0011150240898132324,0.6554306149482727
0,1673803010,57857,6, was,2.25,1.0,0.0006735920906066895,0.7521119117736816
0,1713553610,58540,8, by,2.453125,1.0,0.005261838436126709,0.4568730294704437
0,1922837090,62012,2, company,1.75,1.0,0.0006873011589050293,0.7487340569496155
0,1976538500,62872,1,The,2.6875,1.0,0.0005684494972229004,0.7738169431686401
0,2145288752,65501,4, makes,2.15625,1.0,0.000611722469329834,0.7667835354804993
0,2159723502,65721,7, founded,1.625,1.0,0.0007042884826660156,0.7452662587165833
0,2417175684,69528,2, company,3.6875,1.0,0.0019437670707702637,0.552596926689148
