layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.053521718829870224,0.1089026927947998
-1,1,651,1,The,,1.0,0.025122597813606262,0.23590818047523499
-1,2,3277,2, company,,1.0,0.022515445947647095,0.2584236264228821
-1,3,674,3, that,,1.0,0.01384618878364563,0.2942419946193695
-1,4,3833,4, makes,,1.0,0.011816293001174927,0.31973153352737427
-1,5,573,5, the,,1.0,0.01012536883354187,0.34058070182800293
-1,6,44690,6, Dell,,1.0,0.03911682963371277,0.14801952242851257
-1,7,145538,7, XPS,,1.0,0.0343160480260849,0.18233557045459747
-1,8,729,8, was,,1.0,0.021972179412841797,0.2803958058357239
-1,9,18942,9, founded,,1.0,0.02845001220703125,0.21078558266162872
-1,10,731,10, by,,1.0,0.05538097396492958,0.05538097396492958
0,-1,0,2, company,,1.0,0.001636505126953125,0.5425063967704773
0,-1,0,3, that,,1.0,0.0004830360412597656,0.760555624961853
0,-1,0,4, makes,,1.0,0.0009281039237976074,0.6509042382240295
0,-1,0,6, Dell,,1.0,0.0014199614524841309,0.5713916420936584
0,-1,0,7, XPS,,1.0,0.0022871792316436768,0.4964268207550049
0,-1,0,8, was,,1.0,0.0004547238349914551,0.7746255397796631
0,-1,0,9, founded,,1.0,0.0008794665336608887,0.6572476029396057
0,-1,0,10, by,,1.0,0.0006027817726135254,0.721162736415863
0,504509,1003,9, founded,1.6640625,1.0,0.000557243824005127,0.737350583076477
0,586985,1082,6, Dell,2.9375,1.0,0.0007454752922058105,0.6810805797576904
0,930929,1363,7, XPS,1.4375,1.0,0.0005583763122558594,0.7351193428039551
0,2153849,2074,6, Dell,1.28125,1.0,0.000508725643157959,0.7506448030471802
0,3649050,2700,9, founded,1.65625,1.0,0.0004113912582397461,0.7918963432312012
0,10545527,4591,9, founded,1.703125,1.0,0.0004615187644958496,0.770501971244812
0,13527800,5200,8, was,2.625,1.0,0.0006966590881347656,0.6947993040084839
0,14968655,5470,7, XPS,1.890625,1.0,0.0005977153778076172,0.723564624786377
0,16585919,5758,6, Dell,0.96875,1.0,0.00046074390411376953,0.7709627151489258
0,21763502,6596,9, founded,2.21875,1.0,0.0007078647613525391,0.692702054977417
0,59530415,10910,9, founded,1.359375,1.0,0.0004062652587890625,0.7947588562965393
0,75466754,12284,1,The,2.8125,1.0,0.00044339895248413086,0.7790924310684204
0,90511784,13453,8, was,2.484375,1.0,0.0006920695304870605,0.6982709765434265
0,101467134,14244,7, XPS,2.28125,1.0,0.0006667971611022949,0.7016392946243286
0,112537502,15001,3, that,2.34375,1.0,0.0004056096076965332,0.7951644659042358
0,171800915,18535,10, by,3.71875,1.0,0.013673245906829834,0.30791524052619934
0,175865634,18753,3, that,4.875,1.0,0.0010289549827575684,0.6353414058685303
0,175865634,18753,5, the,7.125,1.0,0.0011731386184692383,0.6024399399757385
0,175865634,18753,8, was,3.65625,1.0,0.0006278157234191895,0.7119566798210144
0,175865634,18753,10, by,4.78125,1.0,0.004850924015045166,0.4439598023891449
0,184425614,19204,1,The,2.5,1.0,0.0004520416259765625,0.7750775814056396
0,203464877,20171,3, that,2.34375,1.0,0.0010665655136108398,0.6249038577079773
0,252888804,22488,4, makes,1.46875,1.0,0.00045049190521240234,0.775528073310852
0,275619980,23477,1,The,2.34375,1.0,0.0006251931190490723,0.7132075428962708
0,337623104,25984,5, the,2.9375,1.0,0.0005272030830383301,0.745496928691864
0,364972652,27016,6, Dell,1.34375,1.0,0.0004703402519226074,0.7672421932220459
0,398480564,28229,2, company,1.484375,1.0,0.000459134578704834,0.7723422050476074
0,503475777,31731,3, that,1.609375,1.0,0.0006070733070373535,0.7199565768241882
0,535741010,32732,4, makes,2.984375,1.0,0.0004916787147521973,0.7581255435943604
0,535741010,32732,10, by,0.7734375,1.0,0.0009289979934692383,0.6490477919578552
0,622674404,35288,4, makes,4.625,1.0,0.0011845827102661133,0.5965578556060791
0,643454000,35872,2, company,1.3984375,1.0,0.0004070401191711426,0.7943525910377502
0,646075430,35945,1,The,2.71875,1.0,0.0007596611976623535,0.6758335828781128
0,663299252,36421,9, founded,1.46875,1.0,0.0004265308380126953,0.7856239080429077
0,765324125,39122,3, that,3.796875,1.0,0.0005691647529602051,0.732871413230896
0,765324125,39122,10, by,4.3125,1.0,0.002041459083557129,0.5114912986755371
0,831565370,40780,3, that,8.75,1.0,0.0018561482429504395,0.5250392556190491
0,831565370,40780,5, the,6.53125,1.0,0.0007873773574829102,0.6681347489356995
0,831565370,40780,8, was,6.125,1.0,0.0012821555137634277,0.5929852724075317
0,831565370,40780,10, by,7.15625,1.0,0.006472140550613403,0.4049392342567444
0,903783869,42514,4, makes,3.265625,1.0,0.001184999942779541,0.595373272895813
0,949629989,43579,3, that,1.671875,1.0,0.0004246234893798828,0.786473274230957
0,977637870,44217,3, that,1.46875,1.0,0.0006954669952392578,0.6961913108825684
0,989702294,44489,1,The,2.59375,1.0,0.0006403326988220215,0.7088082432746887
0,996163929,44634,1,The,2.65625,1.0,0.0006431341171264648,0.7075266242027283
0,1068906965,46235,2, company,4.8125,1.0,0.0006756186485290527,0.6996270418167114
0,1080032525,46475,4, makes,3.125,1.0,0.0007132887840270996,0.690570056438446
0,1080357885,46482,6, Dell,1.2734375,1.0,0.0007210373878479004,0.6891414523124695
0,1146989459,47894,3, that,1.8125,1.0,0.0009635090827941895,0.6443381905555725
0,1228171140,49560,8, was,2.328125,1.0,0.0008502006530761719,0.6615623831748962
0,1286030969,50714,6, Dell,1.6640625,1.0,0.0006715059280395508,0.7009724974632263
0,1303638390,51060,7, XPS,0.99609375,1.0,0.0004215836524963379,0.787741482257843
0,1322805329,51434,1,The,2.71875,1.0,0.000734865665435791,0.6847772002220154
0,1322805329,51434,5, the,6.125,1.0,0.0012973546981811523,0.5904073715209961
0,1463053370,54092,6, Dell,0.8671875,1.0,0.000482022762298584,0.7620027661323547
0,1468792899,54198,1,The,5.78125,1.0,0.000928342342376709,0.6499761343002319
0,1489133450,54572,1,The,2.578125,1.0,0.0004818439483642578,0.762484610080719
0,1535272577,55411,2, company,1.203125,1.0,0.0006185770034790039,0.7150693535804749
0,1572174774,56073,7, XPS,1.2578125,1.0,0.0003934502601623535,0.8003488779067993
0,1600450175,56575,9, founded,1.46875,1.0,0.0004273653030395508,0.785197377204895
0,1667329130,57745,7, XPS,1.578125,1.0,0.0006108880043029785,0.7175227999687195
0,1673803010,57857,8, was,2.25,1.0,0.000523984432220459,0.7460209131240845
0,1713553610,58540,10, by,2.421875,1.0,0.005542546510696411,0.42857858538627625
0,1790622245,59842,6, Dell,1.53125,1.0,0.0008730292320251465,0.6581206321716309
0,1922837090,62012,2, company,1.75,1.0,0.0005332231521606445,0.7444407939910889
0,1976538500,62872,1,The,2.6875,1.0,0.0004337430000305176,0.7830467224121094
0,2044961127,63951,6, Dell,0.98046875,1.0,0.0004139542579650879,0.7898367047309875
0,2090360810,64657,6, Dell,0.984375,1.0,0.0004035830497741699,0.7959719896316528
0,2110907799,64974,7, XPS,1.359375,1.0,0.00044471025466918945,0.7777619957923889
0,2145288752,65501,4, makes,2.15625,1.0,0.0004665255546569824,0.7691144943237305
0,2159723502,65721,9, founded,1.546875,1.0,0.0005137920379638672,0.7486051917076111
0,2240448329,66938,7, XPS,0.921875,1.0,0.0005837082862854004,0.7282790541648865
0,2305442655,67902,4, makes,1.8828125,1.0,0.00039768218994140625,0.7983738780021667
0,2417175684,69528,2, company,3.6875,1.0,0.0015505552291870117,0.5568880438804626
0,2534043644,71189,4, makes,1.9921875,1.0,0.0004417896270751953,0.7808609008789062
0,2541025115,71287,9, founded,1.375,1.0,0.0004456043243408203,0.7773172855377197
0,2613102777,72291,7, XPS,1.2890625,1.0,0.00041162967681884766,0.7914849519729614
0,2809313402,74956,9, founded,1.15625,1.0,0.0004933476448059082,0.7576338648796082
0,2809463319,74958,2, company,1.25,1.0,0.00043207406997680664,0.7834787964820862
0,2889938324,76024,7, XPS,4.84375,1.0,0.0019318461418151855,0.5212922096252441
0,2889938324,76024,9, founded,2.1875,1.0,0.00041961669921875,0.7890033721923828
0,3052109384,78128,2, company,1.4765625,1.0,0.0007762312889099121,0.6712436676025391
0,3145236327,79311,3, that,1.21875,1.0,0.0004718899726867676,0.7663000226020813
0,3164777460,79557,10, by,0.984375,1.0,0.0017060041427612305,0.5391932129859924
0,3222399059,80278,10, by,0.671875,1.0,0.0010865330696105957,0.6216949820518494
0,3275115710,80932,2, company,2.125,1.0,0.0006195306777954102,0.7144507765769958
0,3283862360,81040,9, founded,1.265625,1.0,0.00040847063064575195,0.7939455509185791
0,3290673374,81124,1,The,3.96875,1.0,0.000764310359954834,0.6743098497390747
0,3433179815,82862,2, company,2.28125,1.0,0.0006298422813415527,0.7100722193717957
0,3585562902,84681,7, XPS,1.0625,1.0,0.0004984736442565918,0.7546657919883728
0,3705959277,86091,6, Dell,1.1171875,1.0,0.000558316707611084,0.7356776595115662
0,3708370259,86119,9, founded,4.375,1.0,0.0014746785163879395,0.5598699450492859
0,3737622569,86458,10, by,3.046875,1.0,0.010723799467086792,0.33045533299446106
0,3841129775,87647,2, company,1.578125,1.0,0.0005089640617370605,0.7501360774040222
0,3905556389,88379,7, XPS,1.0625,1.0,0.00042134523391723633,0.7881628274917603
0,3984254010,89265,5, the,2.4375,1.0,0.0004426240921020508,0.7795350551605225
0,4009377377,89546,9, founded,1.796875,1.0,0.0006804466247558594,0.6989514231681824
0,4170447455,91327,2, company,1.578125,1.0,0.0005068778991699219,0.7516586780548096
0,4191113234,91553,1,The,1.21875,1.0,0.0004233121871948242,0.7873198986053467
0,4192669805,91570,1,The,3.640625,1.0,0.0005724430084228516,0.7311634421348572
0,4234806464,92029,5, the,3.171875,1.0,0.0004557371139526367,0.7741708159446716
0,4518059210,95057,8, was,3.875,1.0,0.0005971789360046387,0.7241618037223816
0,4518059210,95057,10, by,3.125,1.0,0.0024196505546569824,0.4941396415233612
0,4520435985,95082,3, that,4.71875,1.0,0.0027252137660980225,0.47908374667167664
0,4531662800,95200,9, founded,1.9296875,1.0,0.0004813075065612793,0.7634472846984863
