layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.055087290704250336,0.11114934086799622
-1,1,651,1,The,,1.0,0.026619940996170044,0.22174623608589172
-1,2,3277,2, company,,1.0,0.023353368043899536,0.2704048752784729
-1,3,674,3, that,,1.0,0.014911651611328125,0.285316526889801
-1,4,3833,4, makes,,1.0,0.012677997350692749,0.3258887529373169
-1,5,573,5, the,,1.0,0.009234100580215454,0.36557576060295105
-1,6,13200,6, iPhone,,1.0,0.05202648043632507,0.1631758213043213
-1,7,729,7, was,,1.0,0.02530527114868164,0.24705150723457336
-1,8,18942,8, founded,,1.0,0.03195047378540039,0.19512629508972168
-1,9,731,9, by,,1.0,0.05606205016374588,0.05606205016374588
0,-1,0,2, company,,1.0,0.0017395615577697754,0.5589337944984436
0,-1,0,3, that,,1.0,0.0006477832794189453,0.7458862662315369
0,-1,0,4, makes,,1.0,0.001093149185180664,0.6549222469329834
0,-1,0,6, iPhone,,1.0,0.0015499591827392578,0.5852603316307068
0,-1,0,7, was,,1.0,0.0005428194999694824,0.7787449955940247
0,-1,0,8, founded,,1.0,0.001105964183807373,0.6516327857971191
0,-1,0,9, by,,1.0,0.0006989240646362305,0.7291274666786194
0,504509,1003,8, founded,1.6953125,1.0,0.0005244016647338867,0.7850978374481201
0,686205,1170,6, iPhone,2.15625,1.0,0.001282334327697754,0.626610517501831
0,827540,1285,6, iPhone,3.328125,1.0,0.0010058879852294922,0.6664836406707764
0,10545527,4591,8, founded,1.71875,1.0,0.0006698369979858398,0.7380093932151794
0,13527800,5200,7, was,2.34375,1.0,0.0006904006004333496,0.7305136919021606
0,21763502,6596,8, founded,2.3125,1.0,0.0007852315902709961,0.7107217907905579
0,27465165,7410,6, iPhone,2.09375,1.0,0.0005819797515869141,0.7687025666236877
0,64065539,11318,6, iPhone,1.6875,1.0,0.0007746219635009766,0.7130544185638428
0,90511784,13453,7, was,2.296875,1.0,0.0008284449577331543,0.6970371007919312
0,112537502,15001,3, that,2.34375,1.0,0.0005293488502502441,0.7824685573577881
0,171800915,18535,9, by,3.8125,1.0,0.013171583414077759,0.31321075558662415
0,175865634,18753,3, that,4.875,1.0,0.001063227653503418,0.6613593101501465
0,175865634,18753,5, the,7.125,1.0,0.0008239150047302246,0.6995165348052979
0,175865634,18753,7, was,3.34375,1.0,0.0006267428398132324,0.7529123425483704
0,175865634,18753,9, by,4.75,1.0,0.005075782537460327,0.4062679708003998
0,184425614,19204,1,The,2.5,1.0,0.0005258917808532715,0.784048318862915
0,203464877,20171,3, that,2.34375,1.0,0.0012840032577514648,0.6253281831741333
0,258360545,22730,6, iPhone,1.4765625,1.0,0.000828087329864502,0.6978651881217957
0,275619980,23477,1,The,2.34375,1.0,0.000630795955657959,0.7522855997085571
0,288972819,24039,6, iPhone,1.2421875,1.0,0.000531315803527832,0.7808782458305359
0,316449902,25156,9, by,0.703125,1.0,0.0005050897598266602,0.79336017370224
0,398480564,28229,2, company,1.484375,1.0,0.0005691051483154297,0.7709990739822388
0,503475777,31731,3, that,1.609375,1.0,0.0006608963012695312,0.7406669855117798
0,535741010,32732,9, by,0.9375,1.0,0.0009305477142333984,0.6790345907211304
0,567019649,33674,6, iPhone,1.3828125,1.0,0.0006540417671203613,0.7432876825332642
0,622674404,35288,4, makes,4.625,1.0,0.0012997984886169434,0.6201642751693726
0,643023590,35860,6, iPhone,1.484375,1.0,0.0011427998542785645,0.6459823846817017
0,646075430,35945,1,The,2.71875,1.0,0.0008040666580200195,0.7027709484100342
0,658500194,36289,6, iPhone,2.53125,1.0,0.0009747147560119629,0.6724023818969727
0,699548309,37403,6, iPhone,0.98828125,1.0,0.0005301237106323242,0.7819392085075378
0,765324125,39122,3, that,3.796875,1.0,0.0006420016288757324,0.7491120100021362
0,765324125,39122,9, by,4.1875,1.0,0.002177000045776367,0.5210228562355042
0,831565370,40780,3, that,8.75,1.0,0.0015146732330322266,0.5883014798164368
0,831565370,40780,5, the,6.53125,1.0,0.0006898641586303711,0.731203556060791
0,831565370,40780,7, was,5.875,1.0,0.0012559294700622559,0.6303974986076355
0,831565370,40780,9, by,7.09375,1.0,0.007694214582443237,0.38211530447006226
0,903783869,42514,4, makes,3.265625,1.0,0.001342475414276123,0.6096965670585632
0,977637870,44217,3, that,1.46875,1.0,0.0008505582809448242,0.6878293752670288
0,989702294,44489,1,The,2.59375,1.0,0.0007635354995727539,0.7145853638648987
0,996163929,44634,1,The,2.65625,1.0,0.0007987022399902344,0.7059715390205383
0,1068906965,46235,2, company,4.8125,1.0,0.0007261037826538086,0.7220016717910767
0,1080032525,46475,4, makes,3.125,1.0,0.0007997751235961914,0.7051728367805481
0,1095939152,46816,6, iPhone,1.609375,1.0,0.000834345817565918,0.69371098279953
0,1138957127,47726,6, iPhone,1.265625,1.0,0.0009063482284545898,0.6808611154556274
0,1146989459,47894,3, that,1.8125,1.0,0.0009949803352355957,0.668474555015564
0,1228171140,49560,7, was,2.625,1.0,0.0009836554527282715,0.6704463362693787
0,1322805329,51434,1,The,2.71875,1.0,0.0007853507995605469,0.7099365592002869
0,1322805329,51434,5, the,6.125,1.0,0.0012336969375610352,0.6328743100166321
