layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.056904952973127365,0.056904952973127365
-1,1,651,1,The,,1.0,0.02758297324180603,0.2250387817621231
-1,2,3277,2, company,,1.0,0.023623570799827576,0.24866235256195068
-1,3,674,3, that,,1.0,0.014351755380630493,0.2846401333808899
-1,4,3833,4, makes,,1.0,0.012130051851272583,0.3092213571071625
-1,5,573,5, the,,1.0,0.009980618953704834,0.33008256554603577
-1,6,5708,6, Model,,1.0,0.02999398112297058,0.14065812528133392
-1,7,570,7, S,,1.0,0.027920901775360107,0.19745580852031708
-1,8,729,8, was,,1.0,0.021626025438308716,0.2702883780002594
-1,9,18942,9, founded,,1.0,0.028876781463623047,0.16953490674495697
-1,10,731,10, by,,1.0,0.05375919118523598,0.11066414415836334
0,-1,0,2, company,,1.0,0.0022948086261749268,0.49511289596557617
0,-1,0,3, that,,1.0,0.0005977749824523926,0.7404648065567017
0,-1,0,4, makes,,1.0,0.0008657574653625488,0.6662882566452026
0,-1,0,6, Model,,1.0,0.0019936561584472656,0.5145215392112732
0,-1,0,7, S,,1.0,0.001487135887145996,0.5635293126106262
0,-1,0,8, was,,1.0,0.0005218982696533203,0.7663446664810181
0,-1,0,9, founded,,1.0,0.0010715723037719727,0.6216565370559692
0,-1,0,10, by,,1.0,0.0007539987564086914,0.6955272555351257
0,504509,1003,9, founded,1.7109375,1.0,0.00046747922897338867,0.7866857051849365
0,3649050,2700,9, founded,1.703125,1.0,0.0004578828811645508,0.7917712926864624
0,10545527,4591,9, founded,1.765625,1.0,0.0005167722702026367,0.7699762582778931
0,13527800,5200,8, was,2.375,1.0,0.000571131706237793,0.7515554428100586
0,21763502,6596,9, founded,2.34375,1.0,0.0007482767105102539,0.6985241770744324
0,51141440,10112,7, S,1.5,1.0,0.0006195306777954102,0.7343799471855164
0,90511784,13453,8, was,2.3125,1.0,0.000765681266784668,0.692499577999115
0,112537502,15001,3, that,2.34375,1.0,0.0004546046257019043,0.7922258973121643
0,171800915,18535,10, by,3.6875,1.0,0.012451171875,0.2970913052558899
0,175865634,18753,3, that,4.875,1.0,0.001020193099975586,0.6268497705459595
0,175865634,18753,5, the,7.125,1.0,0.0009131431579589844,0.6521700620651245
0,175865634,18753,8, was,3.625,1.0,0.0006096959114074707,0.7374475002288818
0,175865634,18753,10, by,4.75,1.0,0.0047740638256073,0.4104485511779785
0,184425614,19204,1,The,2.5,1.0,0.0005496740341186523,0.7577462792396545
0,203464877,20171,3, that,2.34375,1.0,0.001037001609802246,0.6247997879981995
0,204070502,20201,7, S,3.046875,1.0,0.0029051899909973145,0.46203136444091797
0,275619980,23477,1,The,2.34375,1.0,0.0006311535835266113,0.7312614917755127
0,316449902,25156,10, by,0.6953125,1.0,0.0006542205810546875,0.724249541759491
0,337623104,25984,5, the,2.9375,1.0,0.0004782676696777344,0.7843278050422668
0,364972652,27016,6, Model,1.9375,1.0,0.0006098747253417969,0.7368378043174744
0,398480564,28229,2, company,1.484375,1.0,0.0006396174430847168,0.7255386114120483
0,422517914,29068,6, Model,3.0625,1.0,0.0012663006782531738,0.5917352437973022
0,468562577,30611,6, Model,1.421875,1.0,0.00044727325439453125,0.7949308753013611
0,503475777,31731,3, that,1.609375,1.0,0.0006185173988342285,0.7349984645843506
0,535741010,32732,10, by,0.7265625,1.0,0.0008171796798706055,0.6814513206481934
0,593005140,34437,6, Model,1.3515625,1.0,0.0005895495414733887,0.7446112632751465
0,622674404,35288,4, makes,4.625,1.0,0.0012344717979431152,0.5967388153076172
0,637227149,35698,6, Model,2.21875,1.0,0.001047968864440918,0.6237627863883972
0,643454000,35872,2, company,1.3984375,1.0,0.00044214725494384766,0.7962625026702881
0,646075430,35945,1,The,2.71875,1.0,0.0007790923118591309,0.6894212961196899
0,765324125,39122,3, that,3.796875,1.0,0.0005397200584411621,0.7620954513549805
0,765324125,39122,10, by,4.5,1.0,0.0031682848930358887,0.45308056473731995
0,831565370,40780,3, that,8.75,1.0,0.0015204548835754395,0.5575479865074158
0,831565370,40780,5, the,6.53125,1.0,0.0006609559059143066,0.7222809195518494
0,831565370,40780,8, was,5.84375,1.0,0.0011296868324279785,0.6096379160881042
0,831565370,40780,10, by,7.15625,1.0,0.007222086191177368,0.37683185935020447
0,877239440,41885,6, Model,2.21875,1.0,0.00060272216796875,0.7392677664756775
0,903783869,42514,4, makes,3.265625,1.0,0.0011879205703735352,0.6015833020210266
0,925467752,43021,7, S,2.9375,1.0,0.0008150339126586914,0.6838995814323425
0,949629989,43579,3, that,1.671875,1.0,0.0004876255989074707,0.7794936299324036
0,977637870,44217,3, that,1.46875,1.0,0.0008792877197265625,0.6601855754852295
0,989702294,44489,1,The,2.59375,1.0,0.0008167028427124023,0.6822680234909058
0,996163929,44634,1,The,2.65625,1.0,0.0007894039154052734,0.686296820640564
0,1012207520,44992,6, Model,1.5,1.0,0.0005325078964233398,0.7647728323936462
0,1041481979,45638,7, S,2.125,1.0,0.0008823871612548828,0.6575438380241394
0,1068906965,46235,2, company,4.8125,1.0,0.0007672309875488281,0.6917338967323303
0,1080032525,46475,4, makes,3.125,1.0,0.0008928775787353516,0.6566614508628845
0,1126107152,47456,7, S,1.578125,1.0,0.0007172226905822754,0.7036139965057373
0,1146989459,47894,3, that,1.8125,1.0,0.0009430050849914551,0.6475327014923096
0,1228171140,49560,8, was,2.5,1.0,0.0006957650184631348,0.7113650441169739
0,1316383704,51309,6, Model,1.8671875,1.0,0.0008224844932556152,0.6789962649345398
0,1322805329,51434,1,The,2.71875,1.0,0.0008423328399658203,0.674824595451355
0,1322805329,51434,5, the,6.125,1.0,0.0013311505317687988,0.5813542604446411
0,1468792899,54198,1,The,5.78125,1.0,0.0008822083473205566,0.65842604637146
0,1480142435,54407,7, S,3.5,1.0,0.0026890933513641357,0.47299110889434814
0,1489133450,54572,1,The,2.578125,1.0,0.0005886554718017578,0.7457894086837769
0,1535272577,55411,2, company,1.203125,1.0,0.0006893277168273926,0.7155093550682068
0,1600450175,56575,9, founded,1.46875,1.0,0.0005004405975341797,0.7750599384307861
0,1673803010,57857,8, was,2.21875,1.0,0.00043761730194091797,0.7989041805267334
0,1713553610,58540,10, by,2.46875,1.0,0.005234390497207642,0.40047138929367065
0,1922837090,62012,2, company,1.75,1.0,0.0007007122039794922,0.7092759013175964
0,1976538500,62872,1,The,2.6875,1.0,0.0004978775978088379,0.775557816028595
0,1985665670,63017,6, Model,1.328125,1.0,0.000493466854095459,0.7775360345840454
0,2008797419,63383,6, Model,1.5546875,1.0,0.0006265640258789062,0.7325160503387451
0,2104545002,64876,6, Model,1.46875,1.0,0.0005123615264892578,0.7715159058570862
0,2145288752,65501,4, makes,2.15625,1.0,0.0005934834480285645,0.7422480583190918
0,2159723502,65721,9, founded,1.578125,1.0,0.0005733370780944824,0.7498393654823303
0,2305442655,67902,4, makes,1.8828125,1.0,0.00048613548278808594,0.7809533476829529
0,2417175684,69528,2, company,3.6875,1.0,0.001772463321685791,0.5347614884376526
0,2525579055,71070,7, S,2.515625,1.0,0.0013523101806640625,0.5746685266494751
0,2534043644,71189,4, makes,1.9921875,1.0,0.0005720853805541992,0.7509843111038208
0,2894273402,76081,7, S,4.1875,1.0,0.0027719736099243164,0.4675849378108978
0,3052109384,78128,2, company,1.4765625,1.0,0.0007193088531494141,0.702896773815155
0,3089019299,78599,7, S,1.84375,1.0,0.0008465051651000977,0.6739822626113892
0,3094523784,78669,9, founded,1.84375,1.0,0.00046765804290771484,0.7862182259559631
0,3145236327,79311,3, that,1.21875,1.0,0.0005167722702026367,0.7694594860076904
0,3164777460,79557,10, by,1.0625,1.0,0.0014917850494384766,0.5605515837669373
0,3220231877,80251,7, S,1.1875,1.0,0.0007119178771972656,0.7050402760505676
0,3222399059,80278,10, by,0.671875,1.0,0.0006494522094726562,0.7248989939689636
0,3275115710,80932,2, company,2.125,1.0,0.0008200407028198242,0.6798163056373596
0,3290673374,81124,1,The,3.96875,1.0,0.0008332133293151855,0.6781737804412842
0,3433179815,82862,2, company,2.28125,1.0,0.0007116794586181641,0.7057519555091858
0,3708370259,86119,9, founded,4.375,1.0,0.0016494393348693848,0.5432504415512085
0,3737622569,86458,10, by,3.15625,1.0,0.010880589485168457,0.32010194659233093
0,3841129775,87647,2, company,1.578125,1.0,0.000594794750213623,0.7416545748710632
0,4170447455,91327,2, company,1.578125,1.0,0.0004666447639465332,0.7871523499488831
0,4192669805,91570,1,The,3.640625,1.0,0.0006555914878845215,0.7235953211784363
0,4234806464,92029,5, the,3.171875,1.0,0.0004394054412841797,0.7984665632247925
0,4510362752,94976,6, Model,3.0625,1.0,0.001156926155090332,0.605077862739563
0,4518059210,95057,7, S,4.15625,1.0,0.0015633106231689453,0.5529560446739197
0,4518059210,95057,8, was,3.375,1.0,0.000573575496673584,0.7492660284042358
0,4518059210,95057,10, by,2.90625,1.0,0.0026869475841522217,0.47567805647850037
0,4520435985,95082,3, that,4.71875,1.0,0.002478957176208496,0.48318278789520264
0,4537757744,95264,1,The,3.953125,1.0,0.0008598566055297852,0.6688742637634277
0,4557881025,95475,2, company,10.625,1.0,0.000965416431427002,0.6417993307113647
0,4557881025,95475,6, Model,6.5625,1.0,0.0008802413940429688,0.6593062877655029
0,4557881025,95475,9, founded,9.625,1.0,0.0014386773109436035,0.5664098262786865
0,4712117580,97077,8, was,4.625,1.0,0.0017705559730529785,0.5365320444107056
0,4746935765,97435,8, was,2.0,1.0,0.0006845593452453613,0.7168803215026855
0,4816760324,98149,1,The,9.8125,1.0,0.0010864734649658203,0.6173614859580994
0,4816760324,98149,2, company,10.875,1.0,0.0013177990913391113,0.585318922996521
0,4816760324,98149,6, Model,5.78125,1.0,0.0007009506225585938,0.7085751891136169
1,-1,1,2, company,,1.0,0.0004882216453552246,0.7790060043334961
1,-1,1,4, makes,,1.0,0.00048357248306274414,0.7814369201660156
1,-1,1,6, Model,,1.0,0.0018471479415893555,0.5220707058906555
1,-1,1,7, S,,1.0,0.001343846321105957,0.576012372970581
1,-1,1,8, was,,1.0,0.0006279945373535156,0.7318894863128662
1,-1,1,9, founded,,1.0,0.0006973147392272949,0.7099732160568237
1,-1,1,10, by,,1.0,0.0005097389221191406,0.7725374698638916
1,1437358,1693,3, that,2.296875,1.0,0.0006178021430969238,0.7356162667274475
1,83598913,12928,1,The,16.0,1.0,0.0013630986213684082,0.573316216468811
1,83598913,12928,2, company,12.5,1.0,0.0008756518363952637,0.6619396209716797
1,83598913,12928,3, that,9.9375,1.0,0.0007200241088867188,0.7021774649620056
1,83598913,12928,4, makes,7.9375,1.0,0.0005786418914794922,0.7481173872947693
1,83598913,12928,6, Model,9.8125,1.0,0.0008729100227355957,0.6636854410171509
1,83598913,12928,7, S,10.4375,1.0,0.002530604600906372,0.47820866107940674
1,83598913,12928,8, was,10.5,1.0,0.0012214183807373047,0.5991864800453186
1,83598913,12928,9, founded,7.25,1.0,0.0010749101638793945,0.6195122003555298
1,83598913,12928,10, by,9.75,1.0,0.007858484983444214,0.34697121381759644
1,1354419079,52044,1,The,5.5625,1.0,0.0005214810371398926,0.7673878073692322
1,1354419079,52044,2, company,10.5,1.0,0.0006782412528991699,0.719599187374115
1,1354419079,52044,3, that,9.0,1.0,0.000570833683013916,0.7532683610916138
1,1354419079,52044,4, makes,14.3125,1.0,0.0010039806365966797,0.6329125165939331
1,1354419079,52044,5, the,9.0625,1.0,0.000441133975982666,0.7975872159004211
1,1354419079,52044,6, Model,11.1875,1.0,0.0009642243385314941,0.6427635550498962
1,1354419079,52044,7, S,10.5625,1.0,0.002192556858062744,0.506327211856842
1,1354419079,52044,8, was,10.0625,1.0,0.0009312033653259277,0.6503340005874634
1,1354419079,52044,9, founded,13.9375,1.0,0.002033233642578125,0.5125278830528259
1,1354419079,52044,10, by,10.0,1.0,0.007732182741165161,0.3547033965587616
1,1375055459,52439,6, Model,1.40625,1.0,0.0005710721015930176,0.7521265149116516
1,1670217704,57794,1,The,16.625,1.0,0.0013377666473388672,0.5786896347999573
1,1670217704,57794,2, company,13.1875,1.0,0.0011320114135742188,0.6085082292556763
1,1670217704,57794,3, that,11.5,1.0,0.0008783936500549316,0.6610639691352844
1,1670217704,57794,4, makes,11.0,1.0,0.000852048397064209,0.6714376211166382
1,1670217704,57794,5, the,9.875,1.0,0.0005527138710021973,0.7566449642181396
1,1670217704,57794,6, Model,11.3125,1.0,0.0010727643966674805,0.6205849647521973
1,1670217704,57794,7, S,10.625,1.0,0.0024170279502868652,0.49048513174057007
1,1670217704,57794,8, was,11.9375,1.0,0.0011495351791381836,0.6062273979187012
1,1670217704,57794,9, founded,10.125,1.0,0.001148819923400879,0.607376217842102
1,1670217704,57794,10, by,11.4375,1.0,0.009030163288116455,0.3391127288341522
1,1709458154,58469,9, founded,5.1875,1.0,0.0008938312530517578,0.6557685732841492
1,2136324293,65363,6, Model,2.59375,1.0,0.0004864335060119629,0.7804672122001648
1,2438847718,69838,10, by,2.09375,1.0,0.0015881657600402832,0.5513927340507507
1,2648209474,72774,2, company,9.25,1.0,0.0007143616676330566,0.7043283581733704
1,2648209474,72774,3, that,8.9375,1.0,0.0006335973739624023,0.7299971580505371
1,2648209474,72774,4, makes,15.0,1.0,0.001007080078125,0.6319085359573364
1,2648209474,72774,6, Model,11.8125,1.0,0.0009668469429016113,0.6408339142799377
1,2648209474,72774,7, S,10.6875,1.0,0.0024243593215942383,0.4880681037902832
1,2648209474,72774,8, was,10.1875,1.0,0.0011002421379089355,0.615178108215332
1,2648209474,72774,9, founded,13.1875,1.0,0.0012798309326171875,0.5891914963722229
1,2648209474,72774,10, by,9.875,1.0,0.0074491798877716064,0.3696097731590271
1,4358278201,93360,7, S,2.234375,1.0,0.0008526444435119629,0.670585572719574
2,-1,2,2, company,,1.0,0.0006791949272155762,0.7189209461212158
2,-1,2,3, that,,1.0,0.0004399418830871582,0.7980271577835083
2,-1,2,4, makes,,1.0,0.0005176067352294922,0.768425703048706
2,-1,2,6, Model,,1.0,0.0005118250846862793,0.7720277309417725
2,-1,2,7, S,,1.0,0.0018215775489807129,0.5293902158737183
2,-1,2,9, founded,,1.0,0.0005064010620117188,0.7735512852668762
2,-1,2,10, by,,1.0,0.0005854368209838867,0.7463748455047607
2,2898025,2404,7, S,3.046875,1.0,0.0007276535034179688,0.7007362246513367
2,10725393,4628,7, S,4.84375,1.0,0.0017988085746765137,0.5329890251159668
2,348810075,26409,7, S,4.34375,1.0,0.0013930201530456543,0.5678028464317322
2,622992048,35295,10, by,1.078125,1.0,0.0005992650985717773,0.7398670315742493
2,773758788,39335,10, by,2.6875,1.0,0.0022698938846588135,0.4996722936630249
2,904081500,42519,3, that,2.25,1.0,0.00047659873962402344,0.7848044037818909
2,1219513188,49383,9, founded,2.921875,1.0,0.0004659295082092285,0.7880849242210388
2,3138894525,79229,10, by,1.421875,1.0,0.0008378028869628906,0.6765047907829285
2,3192604275,79904,8, was,2.109375,1.0,0.0004811882972717285,0.7838495373725891
2,4529758968,95178,7, S,3.390625,1.0,0.0006388425827026367,0.7268170714378357
3,-1,3,4, makes,,1.0,0.0004494786262512207,0.7944836020469666
3,-1,3,7, S,,1.0,0.0045969486236572266,0.41968396306037903
3,-1,3,10, by,,1.0,0.0013211965560913086,0.5840011239051819
3,12678126,5031,7, S,2.4375,1.0,0.000895082950592041,0.6548747420310974
3,26495556,7275,7, S,4.75,1.0,0.0007110834121704102,0.7064630389213562
3,30369317,7789,10, by,0.515625,1.0,0.0005216598510742188,0.7668663263320923
3,75074127,12249,10, by,2.3125,1.0,0.0011205077171325684,0.6107584238052368
3,79588032,12612,7, S,4.3125,1.0,0.0012505054473876953,0.5955043435096741
3,111027347,14897,7, S,2.9375,1.0,0.0010582804679870605,0.6227148175239563
3,123865926,15735,7, S,1.6484375,1.0,0.0006116628646850586,0.7362279295921326
3,337883006,25991,10, by,2.53125,1.0,0.0013884305953979492,0.5691912770271301
3,411687161,28690,7, S,5.40625,1.0,0.0009048581123352051,0.6530749201774597
3,662279811,36390,10, by,2.109375,1.0,0.000673830509185791,0.7209492921829224
3,1403360727,52974,10, by,2.125,1.0,0.0013821125030517578,0.5705733895301819
3,1433720922,53544,7, S,5.71875,1.0,0.0016594529151916504,0.5416010022163391
