layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.056270018219947815,0.11905009299516678
-1,1,651,1,The,,1.0,0.026753172278404236,0.22979629039764404
-1,2,3277,2, company,,1.0,0.02413541078567505,0.2539317011833191
-1,3,674,3, that,,1.0,0.015441805124282837,0.29157301783561707
-1,4,3833,4, makes,,1.0,0.01264721155166626,0.3311651647090912
-1,5,40907,5, Nike,,1.0,0.05306968837976456,0.17211978137493134
-1,6,9378,6, shoes,,1.0,0.012976258993148804,0.3185179531574249
-1,7,729,7, was,,1.0,0.022199511528015137,0.27613121271133423
-1,8,18942,8, founded,,1.0,0.03092333674430847,0.2030431181192398
-1,9,731,9, by,,1.0,0.06278007477521896,0.06278007477521896
0,-1,0,2, company,,1.0,0.001774132251739502,0.5541887283325195
0,-1,0,3, that,,1.0,0.0006390810012817383,0.7340205311775208
0,-1,0,4, makes,,1.0,0.0009447932243347168,0.66231769323349
0,-1,0,5, Nike,,1.0,0.0016674995422363281,0.5714478492736816
0,-1,0,6, shoes,,1.0,0.0006865262985229492,0.7187544107437134
0,-1,0,7, was,,1.0,0.000482022762298584,0.7857337594032288
0,-1,0,8, founded,,1.0,0.0008494853973388672,0.6817229390144348
0,-1,0,9, by,,1.0,0.0007546544075012207,0.701448917388916
0,504509,1003,8, founded,1.7265625,1.0,0.0005275607109069824,0.7706013917922974
0,827540,1285,5, Nike,3.015625,1.0,0.0009846091270446777,0.6526455879211426
0,3649050,2700,8, founded,1.65625,1.0,0.0006030797958374023,0.747592031955719
0,10545527,4591,8, founded,1.703125,1.0,0.0005720257759094238,0.7552706003189087
0,11217215,4735,5, Nike,1.1953125,1.0,0.0008344650268554688,0.6833970546722412
0,13527800,5200,7, was,2.59375,1.0,0.0006768703460693359,0.7235224843025208
0,21763502,6596,8, founded,2.375,1.0,0.0007417201995849609,0.7059312462806702
0,75466754,12284,1,The,2.8125,1.0,0.0004603266716003418,0.7946754097938538
0,90511784,13453,7, was,2.015625,1.0,0.0006861090660095215,0.7194405198097229
0,112537502,15001,3, that,2.34375,1.0,0.0004897713661193848,0.7833062410354614
0,125682584,15853,5, Nike,1.828125,1.0,0.0009806156158447266,0.6536262035369873
0,171800915,18535,9, by,3.90625,1.0,0.013968676328659058,0.3055416941642761
0,175865634,18753,3, that,4.875,1.0,0.0011284947395324707,0.6326573491096497
0,175865634,18753,7, was,4.0,1.0,0.0006213188171386719,0.7396848797798157
0,175865634,18753,9, by,4.96875,1.0,0.005792289972305298,0.43926751613616943
0,184425614,19204,1,The,2.5,1.0,0.0005238056182861328,0.7721770405769348
0,203464877,20171,3, that,2.34375,1.0,0.001216113567352295,0.6199528574943542
0,252888804,22488,4, makes,1.46875,1.0,0.00046521425247192383,0.7923580408096313
0,342709289,26179,5, Nike,1.28125,1.0,0.0005133748054504395,0.7763255834579468
0,378468827,27511,5, Nike,0.86328125,1.0,0.0010072588920593262,0.7783510684967041
0,398480564,28229,2, company,1.484375,1.0,0.0005733370780944824,0.7546985745429993
0,404345702,28436,5, Nike,0.6640625,1.0,0.0004470348358154297,0.7983016967773438
0,503475777,31731,3, that,1.609375,1.0,0.0007705092430114746,0.6961147785186768
0,535741010,32732,4, makes,2.984375,1.0,0.000516355037689209,0.7752975225448608
0,535741010,32732,9, by,0.90625,1.0,0.0009955167770385742,0.650666356086731
0,622674404,35288,4, makes,4.625,1.0,0.0015433430671691895,0.5761845111846924
0,646075430,35945,1,The,2.71875,1.0,0.0008547306060791016,0.6800203323364258
0,663299252,36421,8, founded,1.5,1.0,0.0004652738571166992,0.7918928265571594
0,765324125,39122,3, that,3.796875,1.0,0.0006458163261413574,0.7320994138717651
0,765324125,39122,9, by,4.3125,1.0,0.0031565725803375244,0.4965200424194336
0,831565370,40780,3, that,8.75,1.0,0.0017997026443481445,0.55063796043396
0,831565370,40780,7, was,5.625,1.0,0.001021265983581543,0.6466401815414429
0,831565370,40780,9, by,6.90625,1.0,0.006911218166351318,0.4216085970401764
0,903783869,42514,4, makes,3.265625,1.0,0.0015064477920532227,0.5853360295295715
0,949629989,43579,3, that,1.671875,1.0,0.0004975199699401855,0.7803444266319275
0,977637870,44217,3, that,1.46875,1.0,0.0008705258369445801,0.6748636960983276
0,989702294,44489,1,The,2.59375,1.0,0.0007715821266174316,0.6953442692756653
0,996163929,44634,1,The,2.65625,1.0,0.0007345676422119141,0.7074015140533447
0,1068906965,46235,2, company,4.8125,1.0,0.0006750822067260742,0.7241975665092468
0,1080032525,46475,4, makes,3.125,1.0,0.0008396506309509277,0.6825625896453857
0,1146989459,47894,3, that,1.8125,1.0,0.0009747147560119629,0.6555777788162231
0,1228171140,49560,7, was,2.21875,1.0,0.000695645809173584,0.7166844010353088
0,1245429185,49907,5, Nike,1.78125,1.0,0.0010056495666503906,0.6496708393096924
0,1322805329,51434,1,The,2.71875,1.0,0.0008140206336975098,0.6866819262504578
0,1458621065,54010,5, Nike,0.890625,1.0,0.0004984736442565918,0.779349148273468
0,1468792899,54198,1,The,5.78125,1.0,0.0009059906005859375,0.666019856929779
0,1489133450,54572,1,The,2.578125,1.0,0.0005450844764709473,0.763634979724884
0,1535272577,55411,2, company,1.203125,1.0,0.0006781816482543945,0.7228456139564514
0,1600450175,56575,8, founded,1.671875,1.0,0.0006119608879089355,0.7421432137489319
0,1673803010,57857,7, was,2.25,1.0,0.0005892515182495117,0.7523667216300964
0,1713553610,58540,9, by,2.4375,1.0,0.004938066005706787,0.45528408885002136
0,1725575630,58745,5, Nike,1.515625,1.0,0.0007686614990234375,0.6968834400177002
0,1778256065,59635,5, Nike,8.0,1.0,0.00205916166305542,0.5294985175132751
0,1922837090,62012,2, company,1.75,1.0,0.0007195472717285156,0.7117504477500916
0,1953156249,62499,5, Nike,1.1484375,1.0,0.0006058216094970703,0.7445728182792664
0,1976538500,62872,1,The,2.6875,1.0,0.0005306601524353027,0.7695446014404297
0,2159723502,65721,8, founded,1.4765625,1.0,0.0006327629089355469,0.73592609167099
0,2305442655,67902,4, makes,1.8828125,1.0,0.0004977583885192871,0.7798469066619873
0,2417175684,69528,2, company,3.6875,1.0,0.001912832260131836,0.5413735508918762
0,2534043644,71189,4, makes,1.9921875,1.0,0.0005458593368530273,0.7625440359115601
0,2541025115,71287,8, founded,1.4375,1.0,0.0004544854164123535,0.7969539761543274
0,2590524209,71978,5, Nike,1.203125,1.0,0.0005595088005065918,0.7597957849502563
0,2889938324,76024,8, founded,2.0,1.0,0.0005312561988830566,0.7690139412879944
0,3052109384,78128,2, company,1.4765625,1.0,0.0007305741310119629,0.7081320881843567
0,3094523784,78669,8, founded,1.6875,1.0,0.0004817843437194824,0.7862155437469482
0,3104601800,78797,5, Nike,2.75,1.0,0.002079188823699951,0.5253611207008362
0,3145236327,79311,3, that,1.21875,1.0,0.0005563497543334961,0.7603521347045898
0,3164777460,79557,9, by,0.9453125,1.0,0.0014312267303466797,0.5941251516342163
0,3222399059,80278,9, by,0.408203125,1.0,0.00047856569290161133,0.7866941094398499
0,3275115710,80932,2, company,2.125,1.0,0.0007103085517883301,0.7131786942481995
0,3290673374,81124,1,The,3.96875,1.0,0.0008779168128967285,0.673115611076355
0,3433179815,82862,2, company,2.28125,1.0,0.0007218122482299805,0.710310161113739
0,3582430334,84644,5, Nike,1.359375,1.0,0.000976860523223877,0.6546030640602112
0,3708370259,86119,8, founded,4.375,1.0,0.001689612865447998,0.5681101083755493
0,3737622569,86458,9, by,2.8125,1.0,0.010664194822311401,0.35361939668655396
0,3841129775,87647,2, company,1.578125,1.0,0.0005666613578796387,0.7575448155403137
0,3882258785,88115,6, shoes,2.53125,1.0,0.000475466251373291,0.7890764474868774
0,4170447455,91327,2, company,1.578125,1.0,0.0004405975341796875,0.7996326684951782
0,4191113234,91553,1,The,1.21875,1.0,0.0004393458366394043,0.8000720143318176
0,4192669805,91570,1,The,3.640625,1.0,0.0006566643714904785,0.7281941771507263
0,4518059210,95057,7, was,4.40625,1.0,0.0007565021514892578,0.7006942629814148
0,4518059210,95057,9, by,3.5,1.0,0.003711521625518799,0.48014402389526367
0,4520435985,95082,3, that,4.71875,1.0,0.0025142431259155273,0.5071146488189697
0,4531662800,95200,8, founded,1.9609375,1.0,0.00044357776641845703,0.7991920709609985
0,4537757744,95264,1,The,3.953125,1.0,0.000899195671081543,0.6669190526008606
0,4557881025,95475,2, company,10.625,1.0,0.0009241700172424316,0.6651138663291931
0,4557881025,95475,5, Nike,7.34375,1.0,0.0020501017570495605,0.5336047410964966
0,4557881025,95475,6, shoes,9.1875,1.0,0.0006830096244812012,0.7208069562911987
0,4557881025,95475,8, founded,9.25,1.0,0.0015910863876342773,0.5746411681175232
0,4712117580,97077,7, was,4.9375,1.0,0.001904129981994629,0.5432776808738708
0,4746935765,97435,7, was,1.953125,1.0,0.0005490779876708984,0.7614506483078003
0,4816760324,98149,1,The,9.8125,1.0,0.0011129379272460938,0.6348910331726074
0,4816760324,98149,2, company,10.875,1.0,0.0013368725776672363,0.6022955775260925
0,4816760324,98149,5, Nike,1.6171875,1.0,0.0004773139953613281,0.7871714234352112
1,-1,1,2, company,,1.0,0.0005636215209960938,0.7586748003959656
1,-1,1,4, makes,,1.0,0.0005941987037658691,0.7505916953086853
1,-1,1,5, Nike,,1.0,0.0009579658508300781,0.6613729000091553
1,-1,1,6, shoes,,1.0,0.0005614757537841797,0.7592362761497498
1,-1,1,8, founded,,1.0,0.0005663633346557617,0.7581111788749695
1,-1,1,9, by,,1.0,0.0006820559501647949,0.7214890122413635
1,1437358,1693,3, that,2.296875,1.0,0.0007010102272033691,0.7145886421203613
1,33125728,8137,5, Nike,1.375,1.0,0.000602424144744873,0.7481944561004639
1,83598913,12928,1,The,16.0,1.0,0.0012630820274353027,0.6100482940673828
1,83598913,12928,2, company,12.5,1.0,0.0008668899536132812,0.6757305860519409
1,83598913,12928,3, that,9.9375,1.0,0.0007357001304626465,0.7066669464111328
1,83598913,12928,4, makes,7.9375,1.0,0.0008327960968017578,0.684229850769043
1,83598913,12928,5, Nike,12.125,1.0,0.003376990556716919,0.4835210144519806
1,83598913,12928,6, shoes,9.4375,1.0,0.0006061196327209473,0.7433610558509827
1,83598913,12928,7, was,11.4375,1.0,0.0012491941452026367,0.6138085126876831
1,83598913,12928,8, founded,8.1875,1.0,0.0011445283889770508,0.628125786781311
1,83598913,12928,9, by,9.9375,1.0,0.00997665524482727,0.3635960519313812
1,500845423,31647,5, Nike,1.4765625,1.0,0.00045120716094970703,0.7974051833152771
1,1354419079,52044,1,The,5.5625,1.0,0.0005249977111816406,0.7716532349586487
1,1354419079,52044,2, company,10.5,1.0,0.000699162483215332,0.7159887552261353
1,1354419079,52044,3, that,9.0,1.0,0.0007668137550354004,0.6984183192253113
1,1354419079,52044,4, makes,14.3125,1.0,0.0015385746955871582,0.5777230858802795
1,1354419079,52044,5, Nike,9.1875,1.0,0.0019434690475463867,0.5394607186317444
1,1354419079,52044,6, shoes,11.9375,1.0,0.0008870959281921387,0.6704773902893066
1,1354419079,52044,7, was,9.25,1.0,0.0010694265365600586,0.6414186954498291
1,1354419079,52044,8, founded,13.375,1.0,0.001845717430114746,0.5470160841941833
1,1354419079,52044,9, by,9.9375,1.0,0.007910549640655518,0.40748775005340576
1,1670217704,57794,1,The,16.625,1.0,0.0015202760696411133,0.5838295817375183
1,1670217704,57794,2, company,13.1875,1.0,0.001270294189453125,0.6087852120399475
1,1670217704,57794,3, that,11.5,1.0,0.0010957121849060059,0.6381879448890686
1,1670217704,57794,4, makes,11.0,1.0,0.0011633634567260742,0.6258339881896973
1,1670217704,57794,5, Nike,11.875,1.0,0.003318578004837036,0.4901716113090515
1,1670217704,57794,6, shoes,9.375,1.0,0.0007418990135192871,0.7051895260810852
1,1670217704,57794,7, was,12.4375,1.0,0.0015305876731872559,0.5807883739471436
1,1670217704,57794,8, founded,10.25,1.0,0.0017449259757995605,0.5629701018333435
1,1670217704,57794,9, by,11.3125,1.0,0.009409725666046143,0.3827756941318512
1,1709458154,58469,8, founded,4.59375,1.0,0.000853121280670166,0.680873453617096
1,2240448328,66937,5, Nike,2.796875,1.0,0.0013645291328430176,0.5982730984687805
1,2438847718,69838,9, by,2.109375,1.0,0.0017473697662353516,0.561225175857544
1,2648209474,72774,2, company,9.25,1.0,0.0006494522094726562,0.7314535975456238
1,2648209474,72774,3, that,8.9375,1.0,0.0006501674652099609,0.7308041453361511
1,2648209474,72774,4, makes,15.0,1.0,0.0012333393096923828,0.6162840723991394
1,2648209474,72774,5, Nike,9.0625,1.0,0.0019597411155700684,0.5355644822120667
1,2648209474,72774,6, shoes,11.1875,1.0,0.0005937814712524414,0.7511854767799377
1,2648209474,72774,7, was,9.0625,1.0,0.0008633136749267578,0.6765938997268677
1,2648209474,72774,8, founded,12.6875,1.0,0.001345992088317871,0.5996190905570984
1,2648209474,72774,9, by,9.5625,1.0,0.008669137954711914,0.3914448320865631
1,2754192869,74216,5, Nike,1.09375,1.0,0.000953972339630127,0.7881253957748413
1,3610587751,84975,5, Nike,1.3125,1.0,0.00045478343963623047,0.796499490737915
1,3657134524,85521,9, by,0.90625,1.0,0.0006242990493774414,0.7384420037269592
2,-1,2,2, company,,1.0,0.0006669759750366211,0.726213276386261
2,-1,2,4, makes,,1.0,0.0005442500114440918,0.7641792297363281
2,-1,2,5, Nike,,1.0,0.0006059408187866211,0.7439669966697693
2,-1,2,8, founded,,1.0,0.0005403757095336914,0.7652603983879089
2,-1,2,9, by,,1.0,0.000611722469329834,0.7427549362182617
2,622992048,35295,9, by,0.90234375,1.0,0.0006038546562194824,0.746385931968689
2,773758788,39335,9, by,3.0,1.0,0.0029789209365844727,0.49949896335601807
2,904081500,42519,3, that,2.25,1.0,0.00048744678497314453,0.784281849861145
2,1219513188,49383,8, founded,2.984375,1.0,0.0005890130996704102,0.7529557347297668
2,1271415948,50423,2, company,3.15625,1.0,0.0004578232765197754,0.7951332330703735
2,3138894525,79229,9, by,1.421875,1.0,0.000969231128692627,0.658490002155304
2,3192604275,79904,7, was,2.265625,1.0,0.0005407929420471191,0.7647200226783752
3,-1,3,4, makes,,1.0,0.0006620287895202637,0.7275375127792358
3,-1,3,5, Nike,,1.0,0.00048273801803588867,0.7852517366409302
3,-1,3,9, by,,1.0,0.00125962495803833,0.6113079190254211
3,30369317,7789,9, by,0.5078125,1.0,0.0004673600196838379,0.7909606099128723
3,75074127,12249,9, by,2.5,1.0,0.001085817813873291,0.6392737627029419
3,337883006,25991,9, by,2.640625,1.0,0.0015209317207336426,0.5823093056678772
3,585623972,34219,9, by,1.4609375,1.0,0.0004959702491760254,0.7813366055488586
3,662279811,36390,9, by,2.390625,1.0,0.0008094310760498047,0.6874913573265076
3,1403360727,52974,9, by,2.109375,1.0,0.0012513995170593262,0.6125593185424805
3,1873179024,61203,9, by,0.6875,1.0,0.0004996061325073242,0.7788506746292114
3,2218013102,66599,5, Nike,12.9375,1.0,0.0007880926132202148,0.6914517283439636
3,2992168757,77354,4, makes,4.9375,1.0,0.0004921555519104004,0.782816469669342
3,3639026012,85307,9, by,1.5390625,1.0,0.00047397613525390625,0.7900246977806091
3,4023000146,89695,9, by,1.5078125,1.0,0.0005713105201721191,0.7558419108390808
3,4291501686,92640,9, by,1.1953125,1.0,0.0007805824279785156,0.693013072013855
4,-1,4,3, that,,1.0,0.00046694278717041016,0.7914275527000427
4,-1,4,4, makes,,1.0,0.000540316104888916,0.7658007144927979
4,-1,4,5, Nike,,1.0,0.0012317895889282227,0.6175158619880676
4,-1,4,7, was,,1.0,0.0006524920463562012,0.7301539778709412
4,-1,4,9, by,,1.0,0.0007461309432983398,0.7044476270675659
4,324882790,25485,4, makes,6.71875,1.0,0.0008817911148071289,0.6713591814041138
4,1269802810,50389,9, by,1.8125,1.0,0.0008785128593444824,0.6722376942634583
4,1449830471,53843,9, by,2.09375,1.0,0.001203775405883789,0.621156632900238
4,1584816845,56294,5, Nike,2.75,1.0,0.00112074613571167,0.6337780952453613
4,1896694840,61585,9, by,6.03125,1.0,0.0040946900844573975,0.4726721942424774
4,2176515248,65972,9, by,1.609375,1.0,0.0006380081176757812,0.7346585392951965
4,3497866615,83635,5, Nike,18.5,1.0,0.0013262033462524414,0.603621780872345
4,3904142425,88359,5, Nike,7.625,1.0,0.0011342167854309082,0.6303954124450684
5,-1,5,4, makes,,1.0,0.0009603500366210938,0.6604149341583252
5,-1,5,5, Nike,,1.0,0.0011640191078186035,0.6235066056251526
5,-1,5,7, was,,1.0,0.0005818605422973633,0.7541252374649048
5,-1,5,8, founded,,1.0,0.0005184412002563477,0.7747811675071716
5,-1,5,9, by,,1.0,0.0007089376449584961,0.713887631893158
5,1212897,1551,1,The,7.75,1.0,0.0006743669509887695,0.7248719334602356
5,5479699,3304,5, Nike,2.984375,1.0,0.0012208819389343262,0.618736743927002
5,894666144,42294,9, by,0.703125,1.0,0.0006530284881591797,0.729501485824585
5,1472589309,54263,9, by,1.6875,1.0,0.0014744997024536133,0.5883042216300964
5,2471572272,70301,5, Nike,4.1875,1.0,0.0010083913803100586,0.648665189743042
5,3355238397,81911,9, by,1.0390625,1.0,0.00045496225357055664,0.7960447072982788
5,4574126475,95640,1,The,4.25,1.0,0.00046515464782714844,0.7928231954574585
6,-1,6,3, that,,1.0,0.0004494786262512207,0.7978546619415283
6,-1,6,4, makes,,1.0,0.0008919835090637207,0.6678110361099243
6,-1,6,5, Nike,,1.0,0.001493692398071289,0.5868297219276428
6,-1,6,7, was,,1.0,0.0005919933319091797,0.7517774701118469
6,-1,6,8, founded,,1.0,0.0004881620407104492,0.7837944030761719
6,-1,6,9, by,,1.0,0.0008881092071533203,0.6695902943611145
6,17931059,5981,9, by,0.56640625,1.0,0.0008151531219482422,0.6858679056167603
6,35435564,8411,9, by,1.3359375,1.0,0.0006289482116699219,0.7378177046775818
6,136893324,16539,9, by,1.0625,1.0,0.0005230307579040527,0.7727000713348389
6,245322318,22143,5, Nike,15.875,1.0,0.0007535219192504883,0.7022024393081665
6,245322318,22143,9, by,3.140625,1.0,0.0006160736083984375,0.7409176826477051
6,996521039,44636,5, Nike,2.359375,1.0,0.0005377531051635742,0.7668773531913757
6,1987998033,63048,5, Nike,3.65625,1.0,0.0008911490440368652,0.6687021851539612
6,2231754638,66802,5, Nike,2.0,1.0,0.0008588433265686035,0.6774527430534363
7,-1,7,5, Nike,,1.0,0.0009398460388183594,0.6632575392723083
7,-1,7,7, was,,1.0,0.000822901725769043,0.685052752494812
7,-1,7,8, founded,,1.0,0.0007290244102478027,0.7088611125946045
7,-1,7,9, by,,1.0,0.0010973811149597168,0.6370922327041626
7,2178820,2079,9, by,2.71875,1.0,0.0007805228233337402,0.6937935948371887
7,7934128,3975,9, by,3.0625,1.0,0.0017478466033935547,0.5594778060913086
7,22475152,6696,9, by,1.3203125,1.0,0.0005186200141906738,0.7742627263069153
7,70585013,11873,9, by,1.5078125,1.0,0.0007680654525756836,0.6976515054702759
7,111609262,14932,9, by,1.84375,1.0,0.0006325840950012207,0.7365586757659912
7,137555983,16578,9, by,1.9609375,1.0,0.0016022324562072754,0.5730500817298889
7,200069998,19995,9, by,0.765625,1.0,0.0006003379821777344,0.7499974966049194
7,562482562,33532,9, by,3.203125,1.0,0.0017718076705932617,0.5559605360031128
7,2235096362,66851,5, Nike,9.5625,1.0,0.000508725643157959,0.7773438096046448
7,2235096362,66851,9, by,7.25,1.0,0.0008038878440856934,0.6882952451705933
7,3573463522,84531,5, Nike,9.625,1.0,0.0014170408248901367,0.5955421924591064
7,4427734348,94095,9, by,1.25,1.0,0.0005227923393249512,0.7732228636741638
8,-1,8,5, Nike,,1.0,0.0010589957237243652,0.6435385346412659
8,-1,8,6, shoes,,1.0,0.00046384334564208984,0.7942150831222534
8,-1,8,8, founded,,1.0,0.0005675554275512695,0.7569781541824341
8,-1,8,9, by,,1.0,0.0007807612419128418,0.6922324895858765
8,104105226,14420,9, by,0.7734375,1.0,0.0007009506225585938,0.7152895927429199
8,367625161,27106,9, by,1.5546875,1.0,0.000496208667755127,0.7808406352996826
8,382828276,27661,9, by,1.921875,1.0,0.0007892251014709473,0.6906636357307434
8,710663841,37691,5, Nike,19.75,1.0,0.0007790923118591309,0.6945726871490479
9,-1,9,4, makes,,1.0,0.0004685521125793457,0.7904932498931885
9,-1,9,5, Nike,,1.0,0.0006415843963623047,0.7327409982681274
9,-1,9,9, by,,1.0,0.001027524471282959,0.6456189155578613
9,674050676,36706,9, by,2.234375,1.0,0.0014647841453552246,0.5912419557571411
10,-1,10,5, Nike,,1.0,0.0008564591407775879,0.6783092021942139
10,-1,10,7, was,,1.0,0.0004755854606628418,0.7886009812355042
10,-1,10,9, by,,1.0,0.001892685890197754,0.5451703667640686
10,1065118924,46143,9, by,0.86328125,1.0,0.0006023049354553223,0.7487967610359192
10,1739703580,58975,9, by,1.5546875,1.0,0.0005371570587158203,0.7674145102500916
10,4094174794,90478,9, by,1.625,1.0,0.0005494356155395508,0.7609015703201294
11,-1,11,5, Nike,,1.0,0.0006622076034545898,0.7268754839897156
11,-1,11,7, was,,1.0,0.0004641413688659668,0.7932873368263245
11,-1,11,8, founded,,1.0,0.0007498860359191895,0.7029523253440857
11,-1,11,9, by,,1.0,0.0011640191078186035,0.6246706247329712
11,45950479,9574,9, by,1.5,1.0,0.0011472702026367188,0.626981258392334
11,1257185284,50131,9, by,9.3125,1.0,0.000568687915802002,0.7564105987548828
12,-1,12,5, Nike,,1.0,0.0007207393646240234,0.711030900478363
12,-1,12,9, by,,1.0,0.0013396143913269043,0.6009587049484253
12,17567615,5914,9, by,1.5,1.0,0.001103818416595459,0.6359948515892029
12,2262256467,67251,9, by,1.484375,1.0,0.0004956722259521484,0.7818322777748108
12,3870460140,87969,9, by,1.125,1.0,0.0004565119743347168,0.7955897450447083
13,-1,13,5, Nike,,1.0,0.0006784200668334961,0.722167432308197
13,-1,13,8, founded,,1.0,0.0004920363426208496,0.7823243141174316
13,-1,13,9, by,,1.0,0.0011859536170959473,0.622342586517334
13,38241871,8731,9, by,1.875,1.0,0.0006404519081115723,0.733381450176239
13,1184214097,48652,9, by,0.640625,1.0,0.0008563995361328125,0.6791656017303467
13,1282888517,50639,9, by,1.28125,1.0,0.0006300806999206543,0.7371887564659119
13,1322959627,51424,9, by,2.390625,1.0,0.000603020191192627,0.7469889521598816
14,-1,14,5, Nike,,1.0,0.001275777816772461,0.6075149178504944
14,-1,14,8, founded,,1.0,0.0007491707801818848,0.7037014961242676
14,-1,14,9, by,,1.0,0.00217360258102417,0.5189805030822754
14,26926776,7323,9, by,0.703125,1.0,0.0005458593368530273,0.7630898952484131
14,76069930,12319,9, by,0.59375,1.0,0.000521242618560791,0.7737441062927246
14,195199146,19743,9, by,1.1484375,1.0,0.0008775591850280762,0.6739931702613831
14,235087071,21668,9, by,1.5234375,1.0,0.0004467964172363281,0.7987484931945801
14,622744971,35276,9, by,0.9609375,1.0,0.0006743669509887695,0.7255463004112244
14,1176537271,48493,9, by,0.30078125,1.0,0.000533759593963623,0.7684826850891113
14,3491262126,83546,9, by,1.6796875,1.0,0.001135408878326416,0.6292611956596375
15,-1,15,5, Nike,,1.0,0.0009728670120239258,0.6565506458282471
15,-1,15,9, by,,1.0,0.002302408218383789,0.5168069005012512
15,3360512,2576,9, by,2.421875,1.0,0.0006923675537109375,0.7173767685890198
15,29249760,7632,9, by,0.88671875,1.0,0.0010528564453125,0.6445913910865784
15,56036975,10570,9, by,1.4296875,1.0,0.0017766356468200684,0.55241459608078
15,1845433112,60736,9, by,0.78515625,1.0,0.0004742741584777832,0.7895507216453552
15,2349311315,68530,9, by,3.96875,1.0,0.004154592752456665,0.46857750415802
15,4134905375,90922,9, by,1.703125,1.0,0.0013663768768310547,0.5969085693359375
16,-1,16,5, Nike,,1.0,0.0007565021514892578,0.6999377608299255
16,-1,16,9, by,,1.0,0.002056121826171875,0.531554639339447
16,7767694,3924,9, by,1.421875,1.0,0.0006834268569946289,0.7201239466667175
16,20707813,6418,9, by,1.890625,1.0,0.000514686107635498,0.7758122086524963
16,243619684,22056,9, by,5.4375,1.0,0.0007894039154052734,0.6898744106292725
16,500560603,31623,9, by,0.9921875,1.0,0.00046390295028686523,0.7937512397766113
16,1122218983,47358,9, by,0.9296875,1.0,0.0009946227073669434,0.6516609787940979
16,1786854073,59763,9, by,1.9375,1.0,0.0021572113037109375,0.5211377143859863
16,2785751386,74625,9, by,2.625,1.0,0.0006911158561706543,0.7180678844451904
16,3509083408,83757,9, by,2.046875,1.0,0.0010755062103271484,0.640349268913269
