layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.056704357266426086,0.12430573999881744
-1,1,651,1,The,,1.0,0.02501770853996277,0.27252039313316345
-1,2,3277,2, company,,1.0,0.022014856338500977,0.29453524947166443
-1,3,674,3, that,,1.0,0.01309695839881897,0.33611610531806946
-1,4,3833,4, makes,,1.0,0.010677367448806763,0.3467934727668762
-1,5,573,5, the,,1.0,0.008754640817642212,0.3757449686527252
-1,6,135230,6, Oculus,,1.0,0.039022400975227356,0.1633281409740448
-1,7,100397,7, Rift,,1.0,0.026939287781715393,0.22139881551265717
-1,8,729,8, was,,1.0,0.026103869080543518,0.24750268459320068
-1,9,18942,9, founded,,1.0,0.031131386756896973,0.19445952773094177
-1,10,731,10, by,,1.0,0.06760138273239136,0.06760138273239136
0,-1,0,2, company,,1.0,0.0017796158790588379,0.5363391637802124
0,-1,0,3, that,,1.0,0.0005554556846618652,0.7360992431640625
0,-1,0,4, makes,,1.0,0.0007711648941040039,0.6759139895439148
0,-1,0,6, Oculus,,1.0,0.0028477907180786133,0.48809462785720825
0,-1,0,7, Rift,,1.0,0.001238107681274414,0.582097053527832
0,-1,0,8, was,,1.0,0.0006168484687805176,0.7208585739135742
0,-1,0,9, founded,,1.0,0.0011692643165588379,0.598973274230957
0,-1,0,10, by,,1.0,0.0005226731300354004,0.7457326054573059
0,504509,1003,9, founded,1.6953125,1.0,0.00045377016067504883,0.7732715010643005
0,827540,1285,6, Oculus,3.421875,1.0,0.0009153485298156738,0.6361724138259888
0,1853774,1924,7, Rift,2.078125,1.0,0.0004169344902038574,0.787047266960144
0,3365714,2593,6, Oculus,1.4453125,1.0,0.0006884932518005371,0.6968680024147034
0,3365714,2593,7, Rift,2.34375,1.0,0.0004900097846984863,0.7562715411186218
0,3649050,2700,9, founded,1.65625,1.0,0.00044292211532592773,0.7759604454040527
0,3890654,2788,7, Rift,3.34375,1.0,0.0006491541862487793,0.7088761925697327
