layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.0532277449965477,0.16057497262954712
-1,1,651,1,The,,1.0,0.02574622631072998,0.21645447611808777
-1,2,3277,2, company,,1.0,0.023253709077835083,0.23970818519592285
-1,3,674,3, that,,1.0,0.014537453651428223,0.2985976040363312
-1,4,3833,4, makes,,1.0,0.012622743844985962,0.3250133693218231
-1,5,42371,5, Oracle,,1.0,0.05397516489028931,0.05397516489028931
-1,6,14162,6, Database,,1.0,0.02194538712501526,0.28406015038490295
-1,7,729,7, was,,1.0,0.022406578063964844,0.2621147632598877
-1,8,18942,8, founded,,1.0,0.03013327717781067,0.1907082498073578
-1,9,731,9, by,,1.0,0.053372062742710114,0.10734722763299942
0,-1,0,2, company,,1.0,0.0016725659370422363,0.5523916482925415
0,-1,0,3, that,,1.0,0.0006848573684692383,0.707007884979248
0,-1,0,4, makes,,1.0,0.0009584426879882812,0.6455442905426025
0,-1,0,5, Oracle,,1.0,0.0019575953483581543,0.522124171257019
0,-1,0,6, Database,,1.0,0.00089263916015625,0.658344566822052
0,-1,0,7, was,,1.0,0.0005342960357666016,0.7611778974533081
0,-1,0,8, founded,,1.0,0.0010845065116882324,0.6271241903305054
0,-1,0,9, by,,1.0,0.0009323954582214355,0.6483570337295532
0,504509,1003,8, founded,1.6328125,1.0,0.0005728006362915039,0.7490879893302917
0,3649050,2700,8, founded,1.6875,1.0,0.0005511641502380371,0.7546874284744263
0,10545527,4591,8, founded,1.734375,1.0,0.0005875229835510254,0.7432831525802612
0,13527800,5200,7, was,2.65625,1.0,0.0008322000503540039,0.6729515194892883
0,16585919,5758,5, Oracle,1.2421875,1.0,0.0006010532379150391,0.7385419011116028
0,21763502,6596,8, founded,2.15625,1.0,0.0006011128425598145,0.7379408478736877
0,79235165,12587,6, Database,1.90625,1.0,0.000742793083190918,0.695704460144043
0,90511784,13453,7, was,2.1875,1.0,0.0007846951484680176,0.6850839257240295
0,92391620,13592,8, founded,1.8203125,1.0,0.0004843473434448242,0.7760452628135681
0,112537502,15001,3, that,2.34375,1.0,0.0004482865333557129,0.7908244729042053
0,122876325,15675,5, Oracle,1.703125,1.0,0.0008447170257568359,0.6687676906585693
0,171800915,18535,9, by,3.65625,1.0,0.011044412851333618,0.33605778217315674
0,175865634,18753,3, that,4.875,1.0,0.001050710678100586,0.6356492042541504
0,175865634,18753,7, was,3.9375,1.0,0.0008815526962280273,0.660111665725708
0,175865634,18753,9, by,5.0625,1.0,0.0051718950271606445,0.41330036520957947
0,184425614,19204,1,The,2.5,1.0,0.0005612373352050781,0.7519188523292542
0,201352277,20066,4, makes,1.359375,1.0,0.00045168399810791016,0.7885735034942627
