layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05990774184465408,0.1276818811893463
-1,1,651,1,The,,1.0,0.030704393982887268,0.23488201200962067
-1,2,3277,2, company,,1.0,0.025911062955856323,0.2890021800994873
-1,3,674,3, that,,1.0,0.017019957304000854,0.30602213740348816
-1,4,3833,4, makes,,1.0,0.01629239320755005,0.3223145306110382
-1,5,7643,5, Twitter,,1.0,0.04313379526138306,0.17081567645072937
-1,6,729,6, was,,1.0,0.028209105134010315,0.263091117143631
-1,7,18942,7, founded,,1.0,0.03336194157600403,0.2041776180267334
-1,8,731,8, by,,1.0,0.06777413934469223,0.06777413934469223
0,-1,0,2, company,,1.0,0.0023154020309448242,0.5096998810768127
0,-1,0,3, that,,1.0,0.0006499290466308594,0.7629122138023376
0,-1,0,4, makes,,1.0,0.0011540055274963379,0.6442338824272156
0,-1,0,5, Twitter,,1.0,0.001945793628692627,0.5311077833175659
0,-1,0,6, was,,1.0,0.0006660819053649902,0.7589545845985413
0,-1,0,7, founded,,1.0,0.0009011030197143555,0.6912720203399658
0,-1,0,8, by,,1.0,0.0006723403930664062,0.7542750835418701
0,504509,1003,7, founded,1.7578125,1.0,0.0005546808242797852,0.7896090149879456
0,3649050,2700,7, founded,1.671875,1.0,0.0005891323089599609,0.784450352191925
0,10545527,4591,7, founded,1.734375,1.0,0.0006461739540100098,0.7635583877563477
0,13527800,5200,6, was,2.34375,1.0,0.0008808374404907227,0.701980710029602
0,21763502,6596,7, founded,2.21875,1.0,0.0008366107940673828,0.7105386257171631
0,66868829,11563,5, Twitter,1.0,1.0,0.0006189346313476562,0.7735899686813354
0,90511784,13453,6, was,2.078125,1.0,0.0007860660552978516,0.7194175124168396
0,132364584,16269,5, Twitter,1.0625,1.0,0.0005832314491271973,0.7862014770507812
0,171800915,18535,8, by,3.8125,1.0,0.014773637056350708,0.3370881676673889
0,175865634,18753,3, that,4.875,1.0,0.0010840892791748047,0.6530870199203491
0,175865634,18753,6, was,3.75,1.0,0.0008906722068786621,0.6984448432922363
0,175865634,18753,8, by,4.875,1.0,0.006899416446685791,0.4229285717010498
0,184425614,19204,1,The,2.5,1.0,0.0005395412445068359,0.7950834035873413
0,203464877,20171,3, that,2.34375,1.0,0.0013027191162109375,0.6176109313964844
0,252888804,22488,4, makes,1.46875,1.0,0.0006196498870849609,0.7723516821861267
0,321907250,25372,5, Twitter,1.3828125,1.0,0.0007662177085876465,0.7279267907142639
0,327616002,25596,5, Twitter,1.1875,1.0,0.0006761550903320312,0.7529290318489075
0,348466799,26398,5, Twitter,1.359375,1.0,0.0009258389472961426,0.6839767098426819
0,398480564,28229,2, company,1.484375,1.0,0.0006673932075500488,0.7576221227645874
0,503475777,31731,3, that,1.609375,1.0,0.0008074045181274414,0.7154473662376404
0,535741010,32732,4, makes,2.984375,1.0,0.0006133317947387695,0.7760486006736755
0,535741010,32732,7, founded,1.8203125,1.0,0.0005543231964111328,0.7901633381843567
0,535741010,32732,8, by,1.015625,1.0,0.0010581612586975098,0.6573671698570251
0,603416429,34738,5, Twitter,1.5625,1.0,0.001052558422088623,0.6594775319099426
0,622674404,35288,4, makes,4.625,1.0,0.0019390583038330078,0.5330468416213989
0,643454000,35872,2, company,1.3984375,1.0,0.0005353689193725586,0.7977665662765503
0,646075430,35945,1,The,2.71875,1.0,0.0010331273078918457,0.6636370420455933
0,765324125,39122,3, that,3.796875,1.0,0.0007763504981994629,0.7233082056045532
0,765324125,39122,8, by,3.953125,1.0,0.002647697925567627,0.49470749497413635
0,831565370,40780,3, that,8.75,1.0,0.0018230080604553223,0.548222005367279
0,831565370,40780,6, was,5.875,1.0,0.0013715624809265137,0.6070186495780945
0,831565370,40780,8, by,7.0,1.0,0.006782829761505127,0.42971140146255493
0,903783869,42514,4, makes,3.265625,1.0,0.0016074180603027344,0.5718972086906433
0,949542830,43577,5, Twitter,1.75,1.0,0.000896155834197998,0.695766806602478
0,949629989,43579,3, that,1.671875,1.0,0.0005998015403747559,0.7814837694168091
0,977637870,44217,3, that,1.46875,1.0,0.0009301304817199707,0.6830508708953857
0,989702294,44489,1,The,2.59375,1.0,0.0009422898292541504,0.6811875700950623
0,996163929,44634,1,The,2.65625,1.0,0.0008397102355957031,0.7097020149230957
0,1068906965,46235,2, company,4.8125,1.0,0.0007880926132202148,0.7186314463615417
0,1069600625,46250,5, Twitter,1.59375,1.0,0.0008146762847900391,0.7138282656669617
0,1080032525,46475,4, makes,3.125,1.0,0.0011799931526184082,0.6384215950965881
0,1138957127,47726,5, Twitter,1.234375,1.0,0.000644385814666748,0.7642027735710144
0,1146989459,47894,3, that,1.8125,1.0,0.0010424256324768066,0.6615684032440186
0,1228171140,49560,6, was,2.015625,1.0,0.000718533992767334,0.7411237359046936
0,1322805329,51434,1,The,2.71875,1.0,0.0008620023727416992,0.7045880556106567
0,1468792899,54198,1,The,5.78125,1.0,0.0008810758590698242,0.7010998725891113
0,1489133450,54572,1,The,2.578125,1.0,0.0005649328231811523,0.7884944081306458
0,1535272577,55411,2, company,1.203125,1.0,0.0009001493453979492,0.693973183631897
0,1554282134,55753,5, Twitter,1.171875,1.0,0.0005312561988830566,0.7988321781158447
0,1600450175,56575,7, founded,1.546875,1.0,0.0006009936332702637,0.7802835702896118
0,1625497652,57016,5, Twitter,1.078125,1.0,0.0006577968597412109,0.7622622847557068
0,1673803010,57857,6, was,2.40625,1.0,0.0006737112998962402,0.7536027431488037
0,1713553610,58540,8, by,2.46875,1.0,0.005464613437652588,0.45395997166633606
0,1832939330,60545,5, Twitter,1.1328125,1.0,0.0005525946617126465,0.7912688851356506
0,1922837090,62012,2, company,1.75,1.0,0.0007074475288391113,0.7425468564033508
0,1947036002,62401,5, Twitter,1.140625,1.0,0.0005963444709777832,0.782677948474884
0,1976538500,62872,1,The,2.6875,1.0,0.0005843639373779297,0.785034716129303
0,2145288752,65501,4, makes,2.15625,1.0,0.0006029009819030762,0.7796825766563416
0,2159723502,65721,7, founded,1.625,1.0,0.0007782578468322754,0.7209765911102295
0,2365584935,68782,5, Twitter,2.890625,1.0,0.0017074346542358398,0.5569549798965454
0,2417175684,69528,2, company,3.6875,1.0,0.002018868923187256,0.5291619896888733
0,2534043644,71189,4, makes,1.9921875,1.0,0.000619351863861084,0.7729710340499878
0,2699618459,73478,5, Twitter,1.3359375,1.0,0.0008935928344726562,0.6975541710853577
0,3052109384,78128,2, company,1.4765625,1.0,0.0008116960525512695,0.7146399617195129
0,3104601800,78797,5, Twitter,1.34375,1.0,0.0006094574928283691,0.7772693634033203
0,3145236327,79311,3, that,1.21875,1.0,0.0005898475646972656,0.7838612198829651
0,3164777460,79557,8, by,1.203125,1.0,0.0011121034622192383,0.6487441062927246
0,3222399059,80278,8, by,0.96875,1.0,0.001139998435974121,0.6465162634849548
0,3223201904,80288,5, Twitter,1.28125,1.0,0.0007265806198120117,0.7360647320747375
0,3275115710,80932,2, company,2.125,1.0,0.00084686279296875,0.7080155611038208
0,3283862360,81040,7, founded,1.546875,1.0,0.000597834587097168,0.7820816040039062
0,3290673374,81124,1,The,3.96875,1.0,0.0009582638740539551,0.6755024790763855
0,3433179815,82862,2, company,2.28125,1.0,0.0006810426712036133,0.7508950233459473
0,3578537699,84598,5, Twitter,0.9921875,1.0,0.0006797313690185547,0.7515747547149658
0,3635188010,85265,5, Twitter,1.25,1.0,0.0007732510566711426,0.7240814566612244
0,3708370259,86119,7, founded,4.34375,1.0,0.0018931031227111816,0.5445170402526855
