domain,run,variant,from_slug,to_slug,n_ablate,n_amplify,sum_ni_ablate,sum_ni_amplify,missing_ablate,missing_amplify
books,fullscale_books_labeled,canonical,atticus_finch,captain_ahab,166,177,0.18784549832344055,0.19286039471626282,0,0
books,fullscale_books_labeled,canonical,atticus_finch,dracula,166,180,0.18784549832344055,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,atticus_finch,ebenezer_scrooge,166,136,0.18784549832344055,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,atticus_finch,edmond_dantes,166,177,0.18784549832344055,0.17302048206329346,0,0
books,fullscale_books_labeled,canonical,atticus_finch,elizabeth_bennet,166,124,0.18784549832344055,0.19158998131752014,0,0
books,fullscale_books_labeled,canonical,atticus_finch,emma_bovary,166,403,0.18784549832344055,0.37268880009651184,0,0
books,fullscale_books_labeled,canonical,atticus_finch,frodo_baggins,166,110,0.18784549832344055,0.15437233448028564,0,0
books,fullscale_books_labeled,canonical,atticus_finch,gregor_samsa,166,189,0.18784549832344055,0.153411865234375,0,0
books,fullscale_books_labeled,canonical,atticus_finch,huckleberry_finn,166,305,0.18784549832344055,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,atticus_finch,jay_gatsby,166,197,0.18784549832344055,0.295410692691803,0,0
books,fullscale_books_labeled,canonical,atticus_finch,jean_valjean,166,165,0.18784549832344055,0.16934317350387573,0,0
books,fullscale_books_labeled,canonical,atticus_finch,katniss_everdeen,166,118,0.18784549832344055,0.15041694045066833,0,0
books,fullscale_books_labeled,canonical,atticus_finch,raskolnikov,166,117,0.18784549832344055,0.11325234174728394,0,0
books,fullscale_books_labeled,canonical,atticus_finch,winston_smith,166,122,0.18784549832344055,0.17756420373916626,0,0
books,fullscale_books_labeled,canonical,captain_ahab,atticus_finch,177,166,0.19286039471626282,0.18784549832344055,0,0
books,fullscale_books_labeled,canonical,captain_ahab,dracula,177,180,0.19286039471626282,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,captain_ahab,ebenezer_scrooge,177,136,0.19286039471626282,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,captain_ahab,edmond_dantes,177,177,0.19286039471626282,0.17302048206329346,0,0
