domain,run,variant,from_slug,to_slug,n_ablate,n_amplify,sum_ni_ablate,sum_ni_amplify,missing_ablate,missing_amplify
products,fullscale_products_labeled,canonical,alibaba,dell_xps,116,177,0.15000736713409424,0.16233539581298828,0,0
products,fullscale_products_labeled,canonical,alibaba,dyson,116,374,0.15000736713409424,0.30151069164276123,0,0
products,fullscale_products_labeled,canonical,alibaba,ebay_platform,116,164,0.15000736713409424,0.17995381355285645,0,0
products,fullscale_products_labeled,canonical,alibaba,facebook,116,67,0.15000736713409424,0.1144733726978302,0,0
products,fullscale_products_labeled,canonical,alibaba,ford_cars,116,188,0.15000736713409424,0.3075796067714691,0,0
products,fullscale_products_labeled,canonical,alibaba,iphone,116,95,0.15000736713409424,0.13815438747406006,0,0
products,fullscale_products_labeled,canonical,alibaba,model_s,116,77,0.15000736713409424,0.10994410514831543,0,0
products,fullscale_products_labeled,canonical,alibaba,nike_shoes,116,134,0.15000736713409424,0.18147659301757812,0,0
products,fullscale_products_labeled,canonical,alibaba,oculus,116,145,0.15000736713409424,0.15702784061431885,0,0
products,fullscale_products_labeled,canonical,alibaba,oracle_db,116,179,0.15000736713409424,0.19656014442443848,0,0
products,fullscale_products_labeled,canonical,alibaba,twitter,116,76,0.15000736713409424,0.10489204525947571,0,0
products,fullscale_products_labeled,canonical,alibaba,windows,116,92,0.15000736713409424,0.13993430137634277,0,0
products,fullscale_products_labeled,canonical,alibaba,wordpress,116,106,0.15000736713409424,0.14093327522277832,0,0
products,fullscale_products_labeled,canonical,dell_xps,alibaba,177,116,0.16233539581298828,0.15000736713409424,0,0
products,fullscale_products_labeled,canonical,dell_xps,dyson,177,374,0.16233539581298828,0.30151069164276123,0,0
products,fullscale_products_labeled,canonical,dell_xps,ebay_platform,177,164,0.16233539581298828,0.17995381355285645,0,0
products,fullscale_products_labeled,canonical,dell_xps,facebook,177,67,0.16233539581298828,0.1144733726978302,0,0
products,fullscale_products_labeled,canonical,dell_xps,ford_cars,177,188,0.16233539581298828,0.3075796067714691,0,0
products,fullscale_products_labeled,canonical,dell_xps,iphone,177,95,0.16233539581298828,0.13815438747406006,0,0
products,fullscale_products_labeled,canonical,dell_xps,model_s,177,77,0.16233539581298828,0.10994410514831543,0,0
products,fullscale_products_labeled,canonical,dell_xps,nike_shoes,177,134,0.16233539581298828,0.18147659301757812,0,0
products,fullscale_products_labeled,canonical,dell_xps,oculus,177,145,0.16233539581298828,0.15702784061431885,0,0
products,fullscale_products_labeled,canonical,dell_xps,oracle_db,177,179,0.16233539581298828,0.19656014442443848,0,0
products,fullscale_products_labeled,canonical,dell_xps,twitter,177,76,0.16233539581298828,0.10489204525947571,0,0
products,fullscale_products_labeled,canonical,dell_xps,windows,177,92,0.16233539581298828,0.13993430137634277,0,0
products,fullscale_products_labeled,canonical,dell_xps,wordpress,177,106,0.16233539581298828,0.14093327522277832,0,0
products,fullscale_products_labeled,canonical,dyson,alibaba,374,116,0.30151069164276123,0.15000736713409424,0,0
products,fullscale_products_labeled,canonical,dyson,dell_xps,374,177,0.30151069164276123,0.16233539581298828,0,0
products,fullscale_products_labeled,canonical,dyson,ebay_platform,374,164,0.30151069164276123,0.17995381355285645,0,0
products,fullscale_products_labeled,canonical,dyson,facebook,374,67,0.30151069164276123,0.1144733726978302,0,0
products,fullscale_products_labeled,canonical,dyson,ford_cars,374,188,0.30151069164276123,0.3075796067714691,0,0
products,fullscale_products_labeled,canonical,dyson,iphone,374,95,0.30151069164276123,0.13815438747406006,0,0
products,fullscale_products_labeled,canonical,dyson,model_s,374,77,0.30151069164276123,0.10994410514831543,0,0
products,fullscale_products_labeled,canonical,dyson,nike_shoes,374,134,0.30151069164276123,0.18147659301757812,0,0
products,fullscale_products_labeled,canonical,dyson,oculus,374,145,0.30151069164276123,0.15702784061431885,0,0
products,fullscale_products_labeled,canonical,dyson,oracle_db,374,179,0.30151069164276123,0.19656014442443848,0,0
products,fullscale_products_labeled,canonical,dyson,twitter,374,76,0.30151069164276123,0.10489204525947571,0,0
products,fullscale_products_labeled,canonical,dyson,windows,374,92,0.30151069164276123,0.13993430137634277,0,0
products,fullscale_products_labeled,canonical,dyson,wordpress,374,106,0.30151069164276123,0.14093327522277832,0,0
products,fullscale_products_labeled,canonical,ebay_platform,alibaba,164,116,0.17995381355285645,0.15000736713409424,0,0
products,fullscale_products_labeled,canonical,ebay_platform,dell_xps,164,177,0.17995381355285645,0.16233539581298828,0,0
products,fullscale_products_labeled,canonical,ebay_platform,dyson,164,374,0.17995381355285645,0.30151069164276123,0,0
products,fullscale_products_labeled,canonical,ebay_platform,facebook,164,67,0.17995381355285645,0.1144733726978302,0,0
products,fullscale_products_labeled,canonical,ebay_platform,ford_cars,164,188,0.17995381355285645,0.3075796067714691,0,0
products,fullscale_products_labeled,canonical,ebay_platform,iphone,164,95,0.17995381355285645,0.13815438747406006,0,0
products,fullscale_products_labeled,canonical,ebay_platform,model_s,164,77,0.17995381355285645,0.10994410514831543,0,0
products,fullscale_products_labeled,canonical,ebay_platform,oculus,164,145,0.17995381355285645,0.15702784061431885,0,0
products,fullscale_products_labeled,canonical,ebay_platform,oracle_db,164,179,0.17995381355285645,0.19656014442443848,0,0
products,fullscale_products_labeled,canonical,ebay_platform,windows,164,92,0.17995381355285645,0.13993430137634277,0,0
products,fullscale_products_labeled,canonical,ebay_platform,wordpress,164,106,0.17995381355285645,0.14093327522277832,0,0
products,fullscale_products_labeled,canonical,facebook,alibaba,67,116,0.1144733726978302,0.15000736713409424,0,0
products,fullscale_products_labeled,canonical,facebook,dell_xps,67,177,0.1144733726978302,0.16233539581298828,0,0
products,fullscale_products_labeled,canonical,facebook,dyson,67,374,0.1144733726978302,0.30151069164276123,0,0
products,fullscale_products_labeled,canonical,facebook,ebay_platform,67,164,0.1144733726978302,0.17995381355285645,0,0
products,fullscale_products_labeled,canonical,facebook,ford_cars,67,188,0.1144733726978302,0.3075796067714691,0,0
products,fullscale_products_labeled,canonical,facebook,iphone,67,95,0.1144733726978302,0.13815438747406006,0,0
products,fullscale_products_labeled,canonical,facebook,model_s,67,77,0.1144733726978302,0.10994410514831543,0,0
products,fullscale_products_labeled,canonical,facebook,nike_shoes,67,134,0.1144733726978302,0.18147659301757812,0,0
products,fullscale_products_labeled,canonical,facebook,oculus,67,145,0.1144733726978302,0.15702784061431885,0,0
products,fullscale_products_labeled,canonical,facebook,oracle_db,67,179,0.1144733726978302,0.19656014442443848,0,0
products,fullscale_products_labeled,canonical,facebook,twitter,67,76,0.1144733726978302,0.10489204525947571,0,0
products,fullscale_products_labeled,canonical,facebook,windows,67,92,0.1144733726978302,0.13993430137634277,0,0
