dataset,slug_a,slug_b,n_features_a,n_features_b,n_shared,n_union,jaccard_overlap,directional_overlap_a,directional_overlap_b,activation_stability,peak_token_agreement,peak_type_agreement,same_supernode_rate,entity_regrouped_rate,inconsistent_rate,influence_weighted_jaccard,n_supernodes_a,n_supernodes_b,n_shared_supernodes,overlap_early,overlap_mid,overlap_late
products_founders_batch,alibaba,dell_xps,195,257,126,326,0.38650306748466257,0.6461538461538462,0.490272373540856,0.9145118216387785,0.9365079365079365,0.9841269841269841,0.7698412698412699,0.19047619047619047,0.03968253968253968,0.34876479917781494,25,25,19,0.5136612021857924,0.23529411764705882,0.21739130434782608
products_founders_batch,alibaba,dyson,195,285,113,367,0.3079019073569482,0.5794871794871795,0.39649122807017545,0.9319551386283607,0.9292035398230089,1.0,0.37168141592920356,0.17699115044247787,0.45132743362831856,0.2770724711598397,25,26,18,0.3936651583710407,0.25,0.13333333333333333
products_founders_batch,alibaba,ebay_platform,195,235,124,306,0.40522875816993464,0.6358974358974359,0.5276595744680851,0.9059130605530477,0.9193548387096774,0.9919354838709677,0.7096774193548387,0.24193548387096775,0.04838709677419355,0.36408071079695153,25,26,19,0.4860335195530726,0.26,0.3116883116883117
products_founders_batch,alibaba,facebook,195,194,117,272,0.43014705882352944,0.6,0.6030927835051546,0.8991760154145955,0.9572649572649573,1.0,0.7521367521367521,0.1623931623931624,0.08547008547008547,0.38296606985013626,25,26,18,0.5743243243243243,0.28888888888888886,0.24050632911392406
products_founders_batch,alibaba,ford_cars,195,224,106,313,0.33865814696485624,0.5435897435897435,0.4732142857142857,0.950302384630599,0.9433962264150944,0.9905660377358491,0.7735849056603774,0.16981132075471697,0.05660377358490566,0.3134154526530462,25,27,19,0.5279503105590062,0.20833333333333334,0.10576923076923077
products_founders_batch,alibaba,iphone,195,228,117,306,0.38235294117647056,0.6,0.5131578947368421,0.9100583166353102,0.9487179487179487,0.9914529914529915,0.7521367521367521,0.15384615384615385,0.09401709401709402,0.33934212550022613,25,26,19,0.5121951219512195,0.27450980392156865,0.2087912087912088
products_founders_batch,alibaba,model_s,195,256,118,333,0.35435435435435436,0.6051282051282051,0.4609375,0.896006233647185,0.9152542372881356,0.9322033898305084,0.7457627118644068,0.1694915254237288,0.0847457627118644,0.3203805930400082,25,26,17,0.47282608695652173,0.2777777777777778,0.16842105263157894
products_founders_batch,alibaba,nike_shoes,195,231,125,301,0.4152823920265781,0.6410256410256411,0.5411255411255411,0.9208623817845053,0.928,0.992,0.768,0.184,0.048,0.37281340638136856,25,27,19,0.5886075949367089,0.3076923076923077,0.17582417582417584
products_founders_batch,alibaba,oculus,195,256,125,326,0.3834355828220859,0.6410256410256411,0.48828125,0.906588049323781,0.912,0.992,0.76,0.2,0.04,0.34837066559414426,25,27,19,0.521978021978022,0.27586206896551724,0.16279069767441862
products_founders_batch,alibaba,oracle_db,195,251,118,328,0.3597560975609756,0.6051282051282051,0.4701195219123506,0.8904786221604607,0.940677966101695,1.0,0.7457627118644068,0.211864406779661,0.0423728813559322,0.3221204492784039,25,26,18,0.5084745762711864,0.24,0.15841584158415842
