dataset,slug_a,slug_b,n_features_a,n_features_b,n_shared,n_union,jaccard_overlap,directional_overlap_a,directional_overlap_b,activation_stability,peak_token_agreement,peak_type_agreement,same_supernode_rate,entity_regrouped_rate,inconsistent_rate,influence_weighted_jaccard,n_supernodes_a,n_supernodes_b,n_shared_supernodes,overlap_early,overlap_mid,overlap_late
sounds_colors_batch,bark,buzz,336,335,274,397,0.690176322418136,0.8154761904761905,0.817910447761194,0.9323381119247851,0.9817518248175182,1.0,0.8686131386861314,0.0948905109489051,0.0364963503649635,0.6114876932165354,31,33,28,0.7728937728937729,0.5833333333333334,0.4605263157894737
sounds_colors_batch,bark,hiss,336,397,272,461,0.5900216919739696,0.8095238095238095,0.6851385390428212,0.9469514765391359,0.9889705882352942,0.9926470588235294,0.8529411764705882,0.07720588235294118,0.06985294117647059,0.5166647718949665,31,37,26,0.6295180722891566,0.5740740740740741,0.4266666666666667
sounds_colors_batch,bark,meow,336,315,276,375,0.736,0.8214285714285714,0.8761904761904762,0.9580854137767254,0.9746376811594203,0.9963768115942029,0.8405797101449275,0.13043478260869565,0.028985507246376812,0.6509843660433199,31,29,23,0.80078125,0.6808510638297872,0.5416666666666666
sounds_colors_batch,bark,oink,336,396,279,453,0.6158940397350994,0.8303571428571429,0.7045454545454546,0.9528008315906641,0.982078853046595,0.982078853046595,0.8673835125448028,0.1003584229390681,0.03225806451612903,0.5360892051687738,31,33,27,0.6419753086419753,0.5789473684210527,0.5277777777777778
sounds_colors_batch,bark,whinny,336,402,288,450,0.64,0.8571428571428571,0.7164179104477612,0.9499496204036313,0.9826388888888888,0.9861111111111112,0.8541666666666666,0.10416666666666667,0.041666666666666664,0.5626425761761631,31,35,26,0.7062706270627063,0.5645161290322581,0.4588235294117647
sounds_colors_batch,buzz,hiss,335,397,289,443,0.6523702031602708,0.8626865671641791,0.7279596977329975,0.9422715270726809,0.9896193771626297,0.9896193771626297,0.8546712802768166,0.06920415224913495,0.07612456747404844,0.5726404974581025,33,37,27,0.6811145510835913,0.6530612244897959,0.5211267605633803
sounds_colors_batch,buzz,meow,335,315,262,388,0.6752577319587629,0.7820895522388059,0.8317460317460318,0.9365675609493621,0.9847328244274809,1.0,0.8664122137404581,0.07633587786259542,0.05725190839694656,0.6011920890818856,33,29,24,0.80859375,0.5,0.36585365853658536
sounds_colors_batch,buzz,oink,335,396,267,464,0.5754310344827587,0.7970149253731343,0.6742424242424242,0.9402857548804084,0.9887640449438202,0.9887640449438202,0.8913857677902621,0.06741573033707865,0.04119850187265917,0.5014376350501479,33,33,28,0.6430769230769231,0.43333333333333335,0.4050632911392405
sounds_colors_batch,buzz,whinny,335,402,279,458,0.6091703056768559,0.8328358208955224,0.6940298507462687,0.927061486414315,0.978494623655914,0.985663082437276,0.8637992831541219,0.07168458781362007,0.06451612903225806,0.5363008680823362,33,35,27,0.7128712871287128,0.47619047619047616,0.358695652173913
sounds_colors_batch,hiss,meow,397,315,266,446,0.5964125560538116,0.6700251889168766,0.8444444444444444,0.9601639083914199,0.9924812030075187,0.9924812030075187,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.5266066998266377,37,29,23,0.6613418530351438,0.5272727272727272,0.38461538461538464
sounds_colors_batch,hiss,oink,397,396,277,516,0.5368217054263565,0.6977329974811083,0.6994949494949495,0.9499272827141307,0.9747292418772563,0.9927797833935018,0.8483754512635379,0.07220216606498195,0.07942238267148015,0.4785849957114308,37,33,26,0.5676392572944297,0.484375,0.4266666666666667
sounds_colors_batch,hiss,whinny,397,402,286,513,0.557504873294347,0.7204030226700252,0.7114427860696517,0.9237370591282449,0.9685314685314685,0.986013986013986,0.8391608391608392,0.09090909090909091,0.06993006993006994,0.4976045934849343,37,35,25,0.6179775280898876,0.4782608695652174,0.375
sounds_colors_batch,meow,oink,315,396,275,436,0.6307339449541285,0.873015873015873,0.6944444444444444,0.954689168780792,0.9818181818181818,0.9818181818181818,0.8581818181818182,0.10181818181818182,0.04,0.5509775349322524,29,33,23,0.6699346405228758,0.6181818181818182,0.48
sounds_colors_batch,meow,whinny,315,402,277,440,0.6295454545454545,0.8793650793650793,0.6890547263681592,0.9399607619289678,0.9891696750902527,0.9891696750902527,0.8375451263537906,0.10108303249097472,0.061371841155234655,0.5497671911885068,29,35,24,0.7162629757785467,0.5483870967741935,0.4044943820224719
sounds_colors_batch,oink,whinny,396,402,292,506,0.5770750988142292,0.7373737373737373,0.7263681592039801,0.9415540412476023,0.9657534246575342,0.9863013698630136,0.8356164383561644,0.09931506849315068,0.06506849315068493,0.5038472399067956,33,35,27,0.6293103448275862,0.4657534246575342,0.4588235294117647
