role,dataset,entity,layer,feature,main_peak_token,peak_consistency_main,n_distinct_peaks,K_sem_distinct,func_vs_sem_pct,conf_F,conf_S,sparsity_median,n_active_prompts,n_prompts,pred_label,subtype,score,feature_id,dump_path,png_name
Relationship,book_characters_authors_batch,huckleberry_finn,1,12928,entity:,0.0,0,4,-100.0,0.0,1.0,0.2050140719780417,5,5,Relationship,,3.189971856043917,1-clt-hp:12928,output/book_characters_authors_batch/huckleberry_finn/01 Prompt Probing/activations_dump.json,Relationship__book_characters_authors_batch__huckleberry_finn__L01_F12928.png
Relationship,book_characters_authors_batch,jean_valjean,1,52044,character,1.0,4,5,-100.0,0.0,1.0,0.2235785249697773,5,5,Relationship,,3.1528429500604456,1-clt-hp:52044,output/book_characters_authors_batch/jean_valjean/01 Prompt Probing/activations_dump.json,Relationship__book_characters_authors_batch__jean_valjean__L01_F52044.png
Relationship,book_characters_authors_batch,don_quixote,1,57794,don,0.0,0,3,-100.0,0.0,1.0,0.261487529457064,5,5,Relationship,,3.077024941085872,1-clt-hp:57794,output/book_characters_authors_batch/don_quixote/01 Prompt Probing/activations_dump.json,Relationship__book_characters_authors_batch__don_quixote__L01_F57794.png
Relationship,paintings_painters_batch,starry_night,1,12928,the,0.3333333333333333,2,4,-9.56590466274459,0.2,0.8,0.2106251729172341,5,5,Relationship,,3.178749654165532,1-clt-hp:12928,output/paintings_painters_batch/starry_night/01 Prompt Probing/activations_dump.json,Relationship__paintings_painters_batch__starry_night__L01_F12928.png
Relationship,paintings_painters_batch,nighthawks,1,52044,famous,1.0,3,3,-100.0,0.0,1.0,0.2346131899901786,5,5,Relationship,,3.1307736200196428,1-clt-hp:52044,output/paintings_painters_batch/nighthawks/01 Prompt Probing/activations_dump.json,Relationship__paintings_painters_batch__nighthawks__L01_F52044.png
Relationship,paintings_painters_batch,starry_night,1,57794,vincent,0.3333333333333333,1,4,-100.0,0.0,1.0,0.23828879829756,5,5,Relationship,,3.1234224034048803,1-clt-hp:57794,output/paintings_painters_batch/starry_night/01 Prompt Probing/activations_dump.json,Relationship__paintings_painters_batch__starry_night__L01_F57794.png
Relationship,products_founders_batch,dyson,1,52044,product,1.0,5,5,-100.0,0.0,1.0,0.2152326933708387,5,5,Relationship,,3.1695346132583224,1-clt-hp:52044,output/products_founders_batch/dyson/01 Prompt Probing/activations_dump.json,Relationship__products_founders_batch__dyson__L01_F52044.png
Relationship,products_founders_batch,model_s,7,66851,the,0.4,3,2,-0.3928151916087403,0.6,0.4,0.2218718122885747,5,5,Relationship,,3.1562563754228505,7-clt-hp:66851,output/products_founders_batch/model_s/01 Prompt Probing/activations_dump.json,Relationship__products_founders_batch__model_s__L07_F66851.png
Relationship,products_founders_batch,ford_cars,1,12928,ford,0.0,0,3,-100.0,0.0,1.0,0.2490617180532038,5,5,Relationship,,3.1018765638935926,1-clt-hp:12928,output/products_founders_batch/ford_cars/01 Prompt Probing/activations_dump.json,Relationship__products_founders_batch__ford_cars__L01_F12928.png
Relationship,usa_states_batch,north_carolina_charlotte,1,12928,major,0.0,0,3,-100.0,0.0,1.0,0.2377568438599276,5,5,Relationship,,3.124486312280145,1-clt-hp:12928,output/usa_states_batch/north_carolina_charlotte/01 Prompt Probing/activations_dump.json,Relationship__usa_states_batch__north_carolina_charlotte__L01_F12928.png
Relationship,usa_states_batch,texas_Dallas,1,57794,major,0.0,0,3,-100.0,0.0,1.0,0.283392229104494,5,5,Relationship,,3.033215541791012,1-clt-hp:57794,output/usa_states_batch/texas_Dallas/01 Prompt Probing/activations_dump.json,Relationship__usa_states_batch__texas_Dallas__L01_F57794.png
Relationship,usa_states_batch,delaware_Wilmington,7,66851,major,1.0,4,4,-17.017117588949986,0.2,0.8,0.2898312320737051,5,5,Relationship,,3.02033753585259,7-clt-hp:66851,output/usa_states_batch/delaware_Wilmington/01 Prompt Probing/activations_dump.json,Relationship__usa_states_batch__delaware_Wilmington__L07_F66851.png
Say-X,book_characters_authors_batch,don_quixote,14,14070,is,0.8,2,0,100.0,1.0,0.0,0.875,5,5,"Say ""X""",,5.12,14-clt-hp:14070,output/book_characters_authors_batch/don_quixote/01 Prompt Probing/activations_dump.json,Say-X__book_characters_authors_batch__don_quixote__L14_F14070.png
Say-X,book_characters_authors_batch,jay_gatsby,19,13946,is,0.6,3,0,100.0,1.0,0.0,0.888888888888889,5,5,"Say ""X""",,4.84,19-clt-hp:13946,output/book_characters_authors_batch/jay_gatsby/01 Prompt Probing/activations_dump.json,Say-X__book_characters_authors_batch__jay_gatsby__L19_F13946.png
Say-X,book_characters_authors_batch,gregor_samsa,12,87969,the,0.3333333333333333,4,0,100.0,1.0,0.0,0.888888888888889,5,5,"Say ""X""",,4.466666666666667,12-clt-hp:87969,output/book_characters_authors_batch/gregor_samsa/01 Prompt Probing/activations_dump.json,Say-X__book_characters_authors_batch__gregor_samsa__L12_F87969.png
Say-X,paintings_painters_batch,american_gothic,19,13946,is,0.8,2,0,100.0,1.0,0.0,0.875,5,5,"Say ""X""",,5.12,19-clt-hp:13946,output/paintings_painters_batch/american_gothic/01 Prompt Probing/activations_dump.json,Say-X__paintings_painters_batch__american_gothic__L19_F13946.png
Say-X,paintings_painters_batch,blue_boy,7,5523,the,0.6666666666666666,3,0,100.0,1.0,0.0,0.8581278801142708,5,5,"Say ""X""",,4.533333333333333,7-clt-hp:5523,output/paintings_painters_batch/blue_boy/01 Prompt Probing/activations_dump.json,Say-X__paintings_painters_batch__blue_boy__L07_F5523.png
Say-X,paintings_painters_batch,starry_night,24,79427,van,1.0,3,0,100.0,1.0,0.0,0.7861403547908781,5,5,"Say ""X""",,4.4,24-clt-hp:79427,output/paintings_painters_batch/starry_night/01 Prompt Probing/activations_dump.json,Say-X__paintings_painters_batch__starry_night__L24_F79427.png
Say-X,products_founders_batch,wordpress,24,79427,is,0.8,2,0,100.0,1.0,0.0,0.8216106029855759,5,5,"Say ""X""",,5.12,24-clt-hp:79427,output/products_founders_batch/wordpress/01 Prompt Probing/activations_dump.json,Say-X__products_founders_batch__wordpress__L24_F79427.png
Say-X,products_founders_batch,dyson,16,22056,the,0.75,2,0,100.0,1.0,0.0,0.4742263150034915,5,5,"Say ""X""",,5.05,16-clt-hp:22056,output/products_founders_batch/dyson/01 Prompt Probing/activations_dump.json,Say-X__products_founders_batch__dyson__L16_F22056.png
Say-X,products_founders_batch,oracle_db,11,9574,is,0.6,1,1,100.0,1.0,0.0,0.9090909090909092,3,5,"Say ""X""",,4.36,11-clt-hp:9574,output/products_founders_batch/oracle_db/01 Prompt Probing/activations_dump.json,Say-X__products_founders_batch__oracle_db__L11_F9574.png
Say-X,usa_states_batch,vermont_Burlington,12,1425,is,0.6666666666666666,2,0,100.0,1.0,0.0,0.6435748545075978,5,5,"Say ""X""",,4.933333333333334,12-clt-hp:1425,output/usa_states_batch/vermont_Burlington/01 Prompt Probing/activations_dump.json,Say-X__usa_states_batch__vermont_Burlington__L12_F1425.png
Say-X,usa_states_batch,maryland_Baltimore,14,66317,is,0.6666666666666666,1,1,100.0,1.0,0.0,0.9045454545454544,4,5,"Say ""X""",,4.693333333333333,14-clt-hp:66317,output/usa_states_batch/maryland_Baltimore/01 Prompt Probing/activations_dump.json,Say-X__usa_states_batch__maryland_Baltimore__L14_F66317.png
Say-X,usa_states_batch,south_carolina_charleston,15,70752,in,0.6666666666666666,3,1,100.0,1.0,0.0,0.8868271930522894,4,5,"Say ""X""",,4.693333333333333,15-clt-hp:70752,output/usa_states_batch/south_carolina_charleston/01 Prompt Probing/activations_dump.json,Say-X__usa_states_batch__south_carolina_charleston__L15_F70752.png
SemConc,book_characters_authors_batch,jay_gatsby,4,83635,gatsby,1.0,2,3,-100.0,0.0,1.0,0.7343517325474096,5,5,Semantic,Concept,4.8,4-clt-hp:83635,output/book_characters_authors_batch/jay_gatsby/01 Prompt Probing/activations_dump.json,SemConc__book_characters_authors_batch__jay_gatsby__L04_F83635.png
SemConc,book_characters_authors_batch,jay_gatsby,5,1551,entity:,0.0,0,3,-100.0,0.0,1.0,0.9166666666666669,5,5,Semantic,Concept,4.8,5-clt-hp:1551,output/book_characters_authors_batch/jay_gatsby/01 Prompt Probing/activations_dump.json,SemConc__book_characters_authors_batch__jay_gatsby__L05_F1551.png
SemConc,book_characters_authors_batch,jay_gatsby,6,22143,gatsby,1.0,2,3,-100.0,0.0,1.0,0.5346006773217066,5,5,Semantic,Concept,4.8,6-clt-hp:22143,output/book_characters_authors_batch/jay_gatsby/01 Prompt Probing/activations_dump.json,SemConc__book_characters_authors_batch__jay_gatsby__L06_F22143.png
SemConc,paintings_painters_batch,water_lilies,7,31656,painting,0.0,0,3,-100.0,0.0,1.0,0.9,5,5,Semantic,Concept,4.8,7-clt-hp:31656,output/paintings_painters_batch/water_lilies/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__water_lilies__L07_F31656.png
SemConc,paintings_painters_batch,water_lilies,8,37691,monet,1.0,4,3,-49.93615517246766,0.2,0.8,0.4882208289660705,5,5,Semantic,Concept,4.8,8-clt-hp:37691,output/paintings_painters_batch/water_lilies/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__water_lilies__L08_F37691.png
SemConc,paintings_painters_batch,water_lilies,8,55466,painter,0.6666666666666666,4,4,-100.0,0.0,1.0,0.8877932651572716,5,5,Semantic,Concept,4.8,8-clt-hp:55466,output/paintings_painters_batch/water_lilies/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__water_lilies__L08_F55466.png
SemConc,products_founders_batch,oracle_db,4,83635,oracle,0.6666666666666666,3,4,-100.0,0.0,1.0,0.6461234146636038,5,5,Semantic,Concept,4.8,4-clt-hp:83635,output/products_founders_batch/oracle_db/01 Prompt Probing/activations_dump.json,SemConc__products_founders_batch__oracle_db__L04_F83635.png
SemConc,products_founders_batch,oracle_db,5,1551,entity:,0.0,0,3,-100.0,0.0,1.0,0.888888888888889,5,5,Semantic,Concept,4.8,5-clt-hp:1551,output/products_founders_batch/oracle_db/01 Prompt Probing/activations_dump.json,SemConc__products_founders_batch__oracle_db__L05_F1551.png
SemConc,products_founders_batch,twitter,8,37691,twitter,0.6666666666666666,3,3,-100.0,0.0,1.0,0.4575109547057777,5,5,Semantic,Concept,4.8,8-clt-hp:37691,output/products_founders_batch/twitter/01 Prompt Probing/activations_dump.json,SemConc__products_founders_batch__twitter__L08_F37691.png
SemConc,usa_states_batch,texas_Dallas,5,1551,major,0.0,0,3,-100.0,0.0,1.0,0.9090909090909092,5,5,Semantic,Concept,4.8,5-clt-hp:1551,output/usa_states_batch/texas_Dallas/01 Prompt Probing/activations_dump.json,SemConc__usa_states_batch__texas_Dallas__L05_F1551.png
SemConc,usa_states_batch,new_jersey_newark,5,95640,major,0.0,0,3,-100.0,0.0,1.0,0.9166666666666669,5,5,Semantic,Concept,4.8,5-clt-hp:95640,output/usa_states_batch/new_jersey_newark/01 Prompt Probing/activations_dump.json,SemConc__usa_states_batch__new_jersey_newark__L05_F95640.png
SemConc,usa_states_batch,texas_Dallas,4,3920,major,0.0,0,3,-100.0,0.0,1.0,0.8991399121871569,5,5,Semantic,Concept,4.8,4-clt-hp:3920,output/usa_states_batch/texas_Dallas/01 Prompt Probing/activations_dump.json,SemConc__usa_states_batch__texas_Dallas__L04_F3920.png
SemDict-fallback,book_characters_authors_batch,huckleberry_finn,0,95475,literary,1.0,3,3,-100.0,0.0,1.0,0.6449103138566826,5,5,Semantic,Dictionary (fallback),4.1000000000000005,0-clt-hp:95475,output/book_characters_authors_batch/huckleberry_finn/01 Prompt Probing/activations_dump.json,SemDict-fallback__book_characters_authors_batch__huckleberry_finn__L00_F95475.png
SemDict-fallback,book_characters_authors_batch,huckleberry_finn,0,76024,literary,1.0,4,4,-100.0,0.0,1.0,0.783747197847376,5,5,Semantic,Dictionary (fallback),4.1000000000000005,0-clt-hp:76024,output/book_characters_authors_batch/huckleberry_finn/01 Prompt Probing/activations_dump.json,SemDict-fallback__book_characters_authors_batch__huckleberry_finn__L00_F76024.png
SemDict-fallback,book_characters_authors_batch,oliver_twist,3,66599,twist,1.0,2,3,-100.0,0.0,1.0,0.5969904814611011,5,5,Semantic,Dictionary (fallback),4.1000000000000005,3-clt-hp:66599,output/book_characters_authors_batch/oliver_twist/01 Prompt Probing/activations_dump.json,SemDict-fallback__book_characters_authors_batch__oliver_twist__L03_F66599.png
SemDict-fallback,paintings_painters_batch,birth_of_venus,3,66599,birth,1.0,2,4,-100.0,0.0,1.0,0.6066879317340478,5,5,Semantic,Dictionary (fallback),4.1000000000000005,3-clt-hp:66599,output/paintings_painters_batch/birth_of_venus/01 Prompt Probing/activations_dump.json,SemDict-fallback__paintings_painters_batch__birth_of_venus__L03_F66599.png
SemDict-fallback,paintings_painters_batch,birth_of_venus,0,32732,famous,1.0,4,4,-100.0,0.0,1.0,0.8265991447879641,5,5,Semantic,Dictionary (fallback),4.1000000000000005,0-clt-hp:32732,output/paintings_painters_batch/birth_of_venus/01 Prompt Probing/activations_dump.json,SemDict-fallback__paintings_painters_batch__birth_of_venus__L00_F32732.png
SemDict-fallback,paintings_painters_batch,grande_jatte,0,76024,painter,0.6666666666666666,4,4,-100.0,0.0,1.0,0.8649443992546648,5,5,Semantic,Dictionary (fallback),3.8666666666666663,0-clt-hp:76024,output/paintings_painters_batch/grande_jatte/01 Prompt Probing/activations_dump.json,SemDict-fallback__paintings_painters_batch__grande_jatte__L00_F76024.png
SemDict-fallback,products_founders_batch,dyson,0,32732,famous,1.0,5,5,-100.0,0.0,1.0,0.7704327303641704,5,5,Semantic,Dictionary (fallback),4.1000000000000005,0-clt-hp:32732,output/products_founders_batch/dyson/01 Prompt Probing/activations_dump.json,SemDict-fallback__products_founders_batch__dyson__L00_F32732.png
SemDict-fallback,products_founders_batch,model_s,3,66599,tesla,1.0,3,3,26.27632889817801,0.2,0.8,0.6706565312823446,5,5,Semantic,Dictionary (fallback),4.1000000000000005,3-clt-hp:66599,output/products_founders_batch/model_s/01 Prompt Probing/activations_dump.json,SemDict-fallback__products_founders_batch__model_s__L03_F66599.png
SemDict-fallback,products_founders_batch,nike_shoes,0,95475,founder,1.0,3,3,-100.0,0.0,1.0,0.6236074199177484,5,5,Semantic,Dictionary (fallback),4.1000000000000005,0-clt-hp:95475,output/products_founders_batch/nike_shoes/01 Prompt Probing/activations_dump.json,SemDict-fallback__products_founders_batch__nike_shoes__L00_F95475.png
SemDict-fallback,usa_states_batch,colorado_colorado_springs,3,66599,springs,1.0,4,5,-100.0,0.0,1.0,0.6446154468746285,5,5,Semantic,Dictionary (fallback),4.1000000000000005,3-clt-hp:66599,output/usa_states_batch/colorado_colorado_springs/01 Prompt Probing/activations_dump.json,SemDict-fallback__usa_states_batch__colorado_colorado_springs__L03_F66599.png
SemDict-fallback,usa_states_batch,rhode_island_warwick,3,81381,island,1.0,3,2,16.69723716484037,0.2,0.8,0.8795229527096707,5,5,Semantic,Dictionary (fallback),4.1000000000000005,3-clt-hp:81381,output/usa_states_batch/rhode_island_warwick/01 Prompt Probing/activations_dump.json,SemDict-fallback__usa_states_batch__rhode_island_warwick__L03_F81381.png
SemDict-fallback,usa_states_batch,massachusetts_Worcester,0,95475,massachusetts,0.6666666666666666,4,4,-100.0,0.0,1.0,0.6299787301174619,5,5,Semantic,Dictionary (fallback),3.8666666666666663,0-clt-hp:95475,output/usa_states_batch/massachusetts_Worcester/01 Prompt Probing/activations_dump.json,SemDict-fallback__usa_states_batch__massachusetts_Worcester__L00_F95475.png
SemDict-strict,book_characters_authors_batch,huckleberry_finn,0,62698,finn,1.0,1,3,-100.0,0.0,1.0,0.9128787878787878,4,5,Semantic,Dictionary,4.62,0-clt-hp:62698,output/book_characters_authors_batch/huckleberry_finn/01 Prompt Probing/activations_dump.json,SemDict-strict__book_characters_authors_batch__huckleberry_finn__L00_F62698.png
SemDict-strict,book_characters_authors_batch,don_quixote,0,85997,don,1.0,1,2,99.57696485654438,0.75,0.25,0.898989898989899,4,5,Semantic,Dictionary,4.62,0-clt-hp:85997,output/book_characters_authors_batch/don_quixote/01 Prompt Probing/activations_dump.json,SemDict-strict__book_characters_authors_batch__don_quixote__L00_F85997.png
SemDict-strict,book_characters_authors_batch,ebenezer_scrooge,15,65574,scrooge,1.0,1,4,-100.0,0.0,1.0,0.6515591921474782,5,5,Semantic,Dictionary,4.5,15-clt-hp:65574,output/book_characters_authors_batch/ebenezer_scrooge/01 Prompt Probing/activations_dump.json,SemDict-strict__book_characters_authors_batch__ebenezer_scrooge__L15_F65574.png
SemDict-strict,paintings_painters_batch,american_gothic,1,12928,american,1.0,1,4,-100.0,0.0,1.0,0.2176978950148466,5,5,Semantic,Dictionary,4.9,1-clt-hp:12928,output/paintings_painters_batch/american_gothic/01 Prompt Probing/activations_dump.json,SemDict-strict__paintings_painters_batch__american_gothic__L01_F12928.png
