role,dataset,entity,layer,feature,main_peak_token,peak_consistency_main,K_sem_distinct,sparsity_median,n_active_prompts,score,feature_id,dump_path,png_name,rendered
SemConc,paintings_painters_batch,american_gothic,4,83635,grant,0.6666666666666666,4,0.6264039944263763,5,4.8,4-clt-hp:83635,output/paintings_painters_batch/american_gothic/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__american_gothic__L04_F83635.png,True
SemConc,paintings_painters_batch,american_gothic,8,37691,wood,1.0,4,0.4882208289660705,5,4.8,8-clt-hp:37691,output/paintings_painters_batch/american_gothic/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__american_gothic__L08_F37691.png,True
SemConc,paintings_painters_batch,birth_of_venus,7,18225,venus,1.0,4,0.8031697138689017,5,4.8,7-clt-hp:18225,output/paintings_painters_batch/birth_of_venus/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__birth_of_venus__L07_F18225.png,True
SemConc,paintings_painters_batch,birth_of_venus,8,55466,painter,0.6666666666666666,4,0.8877932651572716,5,4.8,8-clt-hp:55466,output/paintings_painters_batch/birth_of_venus/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__birth_of_venus__L08_F55466.png,True
SemConc,paintings_painters_batch,blue_boy,4,83635,boy,1.0,4,0.6248865358020239,5,4.8,4-clt-hp:83635,output/paintings_painters_batch/blue_boy/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__blue_boy__L04_F83635.png,True
SemConc,paintings_painters_batch,blue_boy,8,55466,painting,1.0,4,0.8531496523997929,5,4.8,8-clt-hp:55466,output/paintings_painters_batch/blue_boy/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__blue_boy__L08_F55466.png,True
SemConc,paintings_painters_batch,campbells_soup,4,3920,painting,0.0,3,0.8991399047257781,5,4.8,4-clt-hp:3920,output/paintings_painters_batch/campbells_soup/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__campbells_soup__L04_F3920.png,True
SemConc,paintings_painters_batch,campbells_soup,4,83635,warhol,1.0,4,0.6443461881822301,5,4.8,4-clt-hp:83635,output/paintings_painters_batch/campbells_soup/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__campbells_soup__L04_F83635.png,True
SemConc,paintings_painters_batch,girl_pearl_earring,10,75793,painter,0.6666666666666666,4,0.5463110251257564,5,4.8,10-clt-hp:75793,output/paintings_painters_batch/girl_pearl_earring/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__girl_pearl_earring__L10_F75793.png,True
SemConc,paintings_painters_batch,girl_pearl_earring,11,50131,painter,0.6666666666666666,4,0.5213880687446223,5,4.8,11-clt-hp:50131,output/paintings_painters_batch/girl_pearl_earring/01 Prompt Probing/activations_dump.json,SemConc__paintings_painters_batch__girl_pearl_earring__L11_F50131.png,True
