frame,algorithm,k,n_clustered,ari,nmi,silhouette
all_rows,kmeans,3,5000,0.3229343178858348,0.4033068496401858,0.5157395202686456
all_rows,kmeans,4,5000,0.4269544673706964,0.5221532075064429,0.45734615233869774
all_rows,kmeans,5,5000,0.4668415827278931,0.5357748139133758,0.46093103659603896
all_rows,kmeans,6,5000,0.4833484503986573,0.5575865216003685,0.4673282939531226
all_rows,gmm,3,5000,0.31665114920184506,0.39565691024254446,0.5088092387785526
all_rows,gmm,4,5000,0.4200245595620592,0.5319488069429587,0.44627543126467123
all_rows,gmm,5,5000,0.4178609764606708,0.5296552640633346,0.4022698768198832
all_rows,gmm,6,5000,0.5081968214936085,0.5899256662522686,0.4228121129224901
deduped,kmeans,3,5000,0.44622028252895307,0.44699402958944545,0.5576423316904342
deduped,kmeans,4,5000,0.5124857273862711,0.49189243786816195,0.5381847682830757
deduped,kmeans,5,5000,0.5652725181370186,0.5696794783513442,0.6085446968106079
deduped,kmeans,6,5000,0.586686188214924,0.6026375473421146,0.669956075061651
deduped,gmm,3,5000,0.4387594537318052,0.4413450141890925,0.5443785539577282
deduped,gmm,4,5000,0.5055984845508166,0.4902313900948189,0.5226131106897179
deduped,gmm,5,5000,0.5555333764363451,0.5668303724022576,0.5970259896904548
deduped,gmm,6,5000,0.5967811780848712,0.6126229043262346,0.6391877574385297
