dataset,entity,G_Repl,S_Repl,G_Comp,S_Comp,n_nodes,n_features,n_error_nodes,n_embed_nodes,n_logit_nodes,n_features_pinned,n_features_total,pinned_fraction
usa_states_batch,alabama_Birmingham,0.7516681538802983,0.7313575536380661,0.9094308831091483,0.8993024859421046,353,265,69,9,10,253,265,0.9547169811320755
usa_states_batch,alaska_Anchorage,0.7536809775104248,0.7304196288166566,0.9136248643298441,0.9024574341465463,350,259,72,9,10,247,259,0.9536679536679536
usa_states_batch,arizona_Tucson,0.7350403327342544,0.6770848651783635,0.9062890093846593,0.8760155489097203,347,257,71,9,10,246,257,0.9571984435797666
usa_states_batch,arkansas_Fayetteville,0.6945835100587472,0.6837007954604786,0.8923197665974654,0.8867078053777189,370,274,77,9,10,263,274,0.9598540145985401
usa_states_batch,california_Oakland,0.7029814891200762,0.6822849433442785,0.8961626669801384,0.8855578765697918,348,254,75,9,10,244,254,0.9606299212598425
usa_states_batch,colorado_colorado_springs,0.7458823340017133,0.7275303804903679,0.9134670585215585,0.9048773628772498,410,312,78,10,10,300,312,0.9615384615384616
usa_states_batch,connecticut_Bridgeport,0.6940316556306753,0.6777410159054227,0.8912567777991717,0.8827139811049556,362,269,74,9,10,260,269,0.966542750929368
usa_states_batch,delaware_Wilmington,0.681295622125498,0.6518364846773119,0.8876594371459924,0.8717289180394888,378,283,76,9,10,272,283,0.9611307420494699
usa_states_batch,florida_Miami,0.7105091448534139,0.6958477820664175,0.8980525844999142,0.8906326262078645,333,244,70,9,10,235,244,0.9631147540983607
usa_states_batch,georgia_Savannah,0.7202372526145481,0.7065236441011626,0.901983683282251,0.8951832976474937,354,259,76,9,10,250,259,0.9652509652509652
usa_states_batch,hawaii_Hilo,0.7202917892121703,0.7049019273446521,0.8998231857394611,0.8920038830523566,348,257,72,9,10,246,257,0.9571984435797666
usa_states_batch,idaho_idaho_falls,0.7147003139515082,0.6976229367268577,0.9007959832439366,0.8922840465703391,428,327,81,10,10,314,327,0.9602446483180428
usa_states_batch,illinois_Chicago,0.7080581133724354,0.6935738424852343,0.8955626955649615,0.8880919632319688,344,254,71,9,10,245,254,0.9645669291338582
usa_states_batch,indiana_fort_wayne,0.7069391062203739,0.6944288181148656,0.9024414213930922,0.8964442401994366,472,374,78,10,10,364,374,0.9732620320855615
usa_states_batch,iowa_cedar_rapids,0.6819316096569153,0.6723346333669696,0.8927709167058272,0.8879587460469908,454,359,75,10,10,350,359,0.9749303621169917
usa_states_batch,kansas_Wichita,0.7359393346876267,0.7222577374081893,0.9057509153271034,0.898989804924324,351,262,70,9,10,253,262,0.9656488549618321
usa_states_batch,kentucky_Louisville,0.713747351677515,0.7030635019783141,0.8998245683311072,0.8945066100516669,366,273,74,9,10,265,273,0.9706959706959707
usa_states_batch,louisiana_new_orleans,0.7274209627859006,0.7170361669273864,0.9068154138673089,0.9018642359877966,390,293,77,10,10,284,293,0.9692832764505119
usa_states_batch,maine_Portland,0.7234613842739961,0.6980398891661111,0.9035136840759018,0.8908070422595696,358,263,76,9,10,248,263,0.9429657794676806
usa_states_batch,maryland_Baltimore,0.7203993709200275,0.7020796289304911,0.90139356230213,0.8921911835033676,340,246,75,9,10,236,246,0.959349593495935
