condition,source,target,variant,hit_default,hit_msearch,hit_any,suppressed,n_ablate,n_amplify,n_total_features,m_tuned,msearch_phase,msearch_steps,duration_ms
human,alabama_birmingham,texas_dallas,add_capital,0,0,0,1,94,0,94,,,,
human,alabama_birmingham,texas_dallas,add_capital_city,0,0,0,1,165,0,165,,,,
human,alabama_birmingham,texas_dallas,add_city,0,0,0,0,71,0,71,,,,
human,alabama_birmingham,texas_dallas,add_state,0,0,0,1,49,6,55,,,,
human,alabama_birmingham,texas_dallas,add_state_capital,0,0,0,1,143,6,149,,,,
human,alabama_birmingham,texas_dallas,add_state_capital_city,0,0,0,1,214,6,220,,,,
human,alabama_birmingham,texas_dallas,add_state_city,0,0,0,1,120,6,126,,,,
human,alaska_anchorage,texas_dallas,add_state,1,0,1,1,67,6,73,,,,
human,arizona_tucson,texas_dallas,add_state,1,0,1,1,59,6,65,,,,
human,arkansas_fayetteville,texas_dallas,add_capital,0,0,0,1,120,0,120,,,,
human,arkansas_fayetteville,texas_dallas,add_city,0,0,0,1,93,0,93,,,,
human,arkansas_fayetteville,texas_dallas,add_state,0,0,0,1,52,6,58,,,,
human,arkansas_fayetteville,texas_dallas,add_state_capital,0,0,0,1,172,6,178,,,,
human,arkansas_fayetteville,texas_dallas,add_state_city,1,0,1,1,145,6,151,,,,
human,california_oakland,texas_dallas,add_state,1,0,1,1,50,6,56,,,,
human,colorado_colorado_springs,texas_dallas,add_capital,0,0,0,1,83,0,83,,,,
human,colorado_colorado_springs,texas_dallas,add_capital_city,0,0,0,1,406,0,406,,,,
human,colorado_colorado_springs,texas_dallas,add_city,0,0,0,1,323,0,323,,,,
human,colorado_colorado_springs,texas_dallas,add_state,0,0,0,1,113,6,119,,,,
human,colorado_colorado_springs,texas_dallas,add_state_capital,0,0,0,1,196,6,202,,,,
human,colorado_colorado_springs,texas_dallas,add_state_capital_city,0,0,0,1,519,6,525,,,,
human,colorado_colorado_springs,texas_dallas,add_state_city,0,0,0,1,436,6,442,,,,
human,connecticut_bridgeport,texas_dallas,add_capital,0,0,0,1,88,0,88,,,,
human,connecticut_bridgeport,texas_dallas,add_capital_city,0,0,0,1,188,0,188,,,,
human,connecticut_bridgeport,texas_dallas,add_city,0,0,0,0,100,0,100,,,,
human,connecticut_bridgeport,texas_dallas,add_state,0,0,0,1,62,6,68,,,,
human,connecticut_bridgeport,texas_dallas,add_state_capital,0,0,0,1,150,6,156,,,,
human,connecticut_bridgeport,texas_dallas,add_state_capital_city,0,0,0,1,250,6,256,,,,
human,connecticut_bridgeport,texas_dallas,add_state_city,0,0,0,1,162,6,168,,,,
human,delaware_wilmington,texas_dallas,add_state,0,1,1,1,54,6,60,6.931448,1,5,
human,florida_miami,texas_dallas,add_state,0,1,1,1,59,6,65,2.402249,1,4,
human,georgia_savannah,texas_dallas,add_state,1,0,1,1,56,6,62,,,,
human,hawaii_hilo,texas_dallas,add_capital,0,0,0,1,84,0,84,,,,
human,hawaii_hilo,texas_dallas,add_city,0,0,0,1,116,0,116,,,,
human,hawaii_hilo,texas_dallas,add_state,0,0,0,1,73,6,79,,,,
human,hawaii_hilo,texas_dallas,add_state_capital,0,0,0,1,157,6,163,,,,
human,hawaii_hilo,texas_dallas,add_state_city,1,0,1,1,189,6,195,,,,
human,idaho_idaho_falls,texas_dallas,add_capital,0,0,0,1,102,0,102,,,,
human,idaho_idaho_falls,texas_dallas,add_capital_city,0,0,0,1,432,0,432,,,,
human,idaho_idaho_falls,texas_dallas,add_city,0,0,0,0,330,0,330,,,,
human,idaho_idaho_falls,texas_dallas,add_state,0,0,0,1,102,6,108,,,,
human,idaho_idaho_falls,texas_dallas,add_state_capital,0,0,0,0,204,6,210,,,,
human,idaho_idaho_falls,texas_dallas,add_state_capital_city,0,0,0,1,534,6,540,,,,
human,idaho_idaho_falls,texas_dallas,add_state_city,0,0,0,1,432,6,438,,,,
human,illinois_chicago,texas_dallas,add_capital,0,0,0,1,94,0,94,,,,
human,illinois_chicago,texas_dallas,add_city,0,0,0,1,82,0,82,,,,
human,illinois_chicago,texas_dallas,add_state,0,0,0,1,72,6,78,,,,
human,illinois_chicago,texas_dallas,add_state_capital,0,0,0,1,166,6,172,,,,
human,illinois_chicago,texas_dallas,add_state_city,1,0,1,1,154,6,160,,,,
human,indiana_fort_wayne,texas_dallas,add_capital,0,0,0,0,87,0,87,,,,
human,indiana_fort_wayne,texas_dallas,add_capital_city,0,0,0,1,413,0,413,,,,
human,indiana_fort_wayne,texas_dallas,add_city,0,0,0,1,326,0,326,,,,
human,indiana_fort_wayne,texas_dallas,add_state,0,0,0,1,129,6,135,,,,
human,indiana_fort_wayne,texas_dallas,add_state_capital,0,0,0,1,216,6,222,,,,
human,indiana_fort_wayne,texas_dallas,add_state_capital_city,0,0,0,1,542,6,548,,,,
human,indiana_fort_wayne,texas_dallas,add_state_city,0,0,0,1,455,6,461,,,,
human,iowa_cedar_rapids,texas_dallas,add_state,1,0,1,1,48,6,54,,,,
human,kansas_wichita,texas_dallas,add_state,1,0,1,1,61,6,67,,,,
human,kentucky_louisville,texas_dallas,add_state,0,1,1,0,64,6,70,2.402249,1,4,
human,louisiana_new_orleans,texas_dallas,add_state,1,0,1,1,64,6,70,,,,
human,maine_portland,texas_dallas,add_state,0,1,1,1,47,6,53,2.402249,1,4,
human,maryland_baltimore,texas_dallas,add_capital,0,0,0,1,105,0,105,,,,
human,maryland_baltimore,texas_dallas,add_capital_city,0,0,0,1,173,0,173,,,,
human,maryland_baltimore,texas_dallas,add_city,0,0,0,1,68,0,68,,,,
human,maryland_baltimore,texas_dallas,add_state,0,0,0,1,62,6,68,,,,
human,maryland_baltimore,texas_dallas,add_state_capital,0,0,0,1,167,6,173,,,,
