condition,source,target,variant,hit_default,hit_msearch,hit_any,suppressed,n_ablate,n_amplify,n_total_features,achieved_sum_src,achieved_sum_tgt,m_tuned,msearch_phase,msearch_steps,duration_ms
auto_top10,alabama_birmingham,texas_dallas,single_bag,0,0,0,1,1291,10,1301,,,,,,
auto_top10,alaska_anchorage,texas_dallas,single_bag,0,0,0,0,1191,10,1201,,,,,,
auto_top10,arizona_tucson,texas_dallas,single_bag,0,0,0,1,1224,10,1234,,,,,,
auto_top10,arkansas_fayetteville,texas_dallas,single_bag,0,0,0,1,1265,10,1275,,,,,,
auto_top10,california_oakland,texas_dallas,single_bag,0,0,0,1,1225,10,1235,,,,,,
auto_top10,colorado_colorado_springs,texas_dallas,single_bag,0,0,0,1,1286,10,1296,,,,,,
auto_top10,connecticut_bridgeport,texas_dallas,single_bag,0,0,0,0,1235,10,1245,,,,,,
auto_top10,delaware_wilmington,texas_dallas,single_bag,0,0,0,1,1248,10,1258,,,,,,
auto_top10,florida_miami,texas_dallas,single_bag,0,0,0,1,1192,10,1202,,,,,,
auto_top10,georgia_savannah,texas_dallas,single_bag,0,0,0,1,1249,10,1259,,,,,,
auto_top10,hawaii_hilo,texas_dallas,single_bag,0,0,0,1,1206,10,1216,,,,,,
auto_top10,idaho_idaho_falls,texas_dallas,single_bag,0,0,0,1,1282,10,1292,,,,,,
auto_top10,illinois_chicago,texas_dallas,single_bag,0,0,0,1,1267,10,1277,,,,,,
auto_top10,indiana_fort_wayne,texas_dallas,single_bag,0,0,0,0,1324,10,1334,,,,,,
auto_top10,iowa_cedar_rapids,texas_dallas,single_bag,1,0,1,1,1340,10,1350,,,,,,
auto_top10,kansas_wichita,texas_dallas,single_bag,0,0,0,1,1223,10,1233,,,,,,
auto_top10,kentucky_louisville,texas_dallas,single_bag,1,0,1,1,1249,10,1259,,,,,,
auto_top10,louisiana_new_orleans,texas_dallas,single_bag,0,0,0,1,1260,10,1270,,,,,,
auto_top10,maine_portland,texas_dallas,single_bag,0,0,0,1,1265,10,1275,,,,,,
auto_top10,maryland_baltimore,texas_dallas,single_bag,0,0,0,1,1220,10,1230,,,,,,
auto_top10,massachusetts_worcester,texas_dallas,single_bag,0,0,0,1,1264,10,1274,,,,,,
auto_top10,michigan_detroit,texas_dallas,single_bag,0,0,0,1,1185,10,1195,,,,,,
auto_top10,minnesota_minneapolis,texas_dallas,single_bag,0,0,0,1,1267,10,1277,,,,,,
auto_top10,mississippi_gulfport,texas_dallas,single_bag,0,0,0,1,1387,10,1397,,,,,,
auto_top10,missouri_kansas_city,texas_dallas,single_bag,0,0,0,1,1270,10,1280,,,,,,
auto_top10,montana_billings,texas_dallas,single_bag,0,0,0,1,1254,10,1264,,,,,,
auto_top10,nebraska_omaha,texas_dallas,single_bag,1,0,1,1,1219,10,1229,,,,,,
auto_top10,nevada_las_vegas,texas_dallas,single_bag,0,0,0,1,1291,10,1301,,,,,,
auto_top10,new_hampshire_manchester,texas_dallas,single_bag,0,0,0,1,1253,10,1263,,,,,,
auto_top10,new_jersey_newark,texas_dallas,single_bag,0,0,0,0,1220,10,1230,,,,,,
auto_top10,new_mexico_albuquerque,texas_dallas,single_bag,0,0,0,1,1259,10,1269,,,,,,
auto_top10,new_york_new_york_city,texas_dallas,single_bag,0,0,0,1,1220,10,1230,,,,,,
auto_top10,north_carolina_charlotte,texas_dallas,single_bag,0,0,0,0,1245,10,1255,,,,,,
auto_top10,north_dakota_fargo,texas_dallas,single_bag,0,0,0,1,1234,10,1244,,,,,,
auto_top10,ohio_cleveland,texas_dallas,single_bag,0,0,0,1,1244,10,1254,,,,,,
auto_top10,oklahoma_tulsa,texas_dallas,single_bag,0,0,0,1,1226,10,1236,,,,,,
auto_top10,oregon_portland,texas_dallas,single_bag,0,0,0,1,1265,10,1275,,,,,,
auto_top10,pennsylvania_philadelphia,texas_dallas,single_bag,0,0,0,1,1233,10,1243,,,,,,
auto_top10,rhode_island_warwick,texas_dallas,single_bag,0,0,0,1,1265,10,1275,,,,,,
auto_top10,south_carolina_charleston,texas_dallas,single_bag,0,0,0,1,1259,10,1269,,,,,,
auto_top10,south_dakota_sioux_falls,texas_dallas,single_bag,0,0,0,1,1311,10,1321,,,,,,
auto_top10,tennessee_memphis,texas_dallas,single_bag,0,0,0,1,1258,10,1268,,,,,,
auto_top10,utah_provo,texas_dallas,single_bag,0,0,0,0,1233,10,1243,,,,,,
auto_top10,vermont_burlington,texas_dallas,single_bag,0,0,0,1,1263,10,1273,,,,,,
auto_top10,virginia_virginia_beach,texas_dallas,single_bag,0,0,0,1,1308,10,1318,,,,,,
auto_top10,washington_seattle,texas_dallas,single_bag,0,0,0,1,1178,10,1188,,,,,,
auto_top10,west_virginia_huntington,texas_dallas,single_bag,0,0,0,0,1277,10,1287,,,,,,
auto_top10,wisconsin_milwaukee,texas_dallas,single_bag,0,0,0,0,1239,10,1249,,,,,,
auto_top10,wyoming_casper,texas_dallas,single_bag,0,0,0,0,1246,10,1256,,,,,,
auto_top21,alabama_birmingham,texas_dallas,single_bag,0,1,1,1,1291,21,1312,,,6.931448,1,5,
auto_top21,alaska_anchorage,texas_dallas,single_bag,0,0,0,1,1191,21,1212,,,,,,
auto_top21,arizona_tucson,texas_dallas,single_bag,0,0,0,1,1224,21,1245,,,,,,
auto_top21,arkansas_fayetteville,texas_dallas,single_bag,0,0,0,1,1265,21,1286,,,,,,
auto_top21,california_oakland,texas_dallas,single_bag,0,0,0,1,1225,21,1246,,,,,,
auto_top21,colorado_colorado_springs,texas_dallas,single_bag,0,0,0,1,1286,21,1307,,,,,,
auto_top21,connecticut_bridgeport,texas_dallas,single_bag,0,0,0,1,1235,21,1256,,,,,,
auto_top21,delaware_wilmington,texas_dallas,single_bag,0,0,0,1,1248,21,1269,,,,,,
auto_top21,florida_miami,texas_dallas,single_bag,0,0,0,1,1192,21,1213,,,,,,
