from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
atticus_finch,captain_ahab,0,-2.25,585,5,0,0,D,r0,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_captain_ahab__r0.json
atticus_finch,dracula,0,-1.75,1145,2,1,1,A,r0,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_dracula__r0.json
atticus_finch,elizabeth_bennet,0,-0.625,66,2,0,1,C,r0,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_elizabeth_bennet__r0.json
atticus_finch,frodo_baggins,0,2.5,83,1,0,1,D,r1,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_frodo_baggins__r1.json
atticus_finch,huckleberry_finn,0,1.625,53,1,1,1,D,r1,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_huckleberry_finn__r1.json
atticus_finch,jay_gatsby,0,2.0,149,1,1,1,D,r0,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_jay_gatsby__r0.json
atticus_finch,katniss_everdeen,0,-1.25,1048,2,1,0,,r1,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_katniss_everdeen__r1.json
atticus_finch,raskolnikov,0,0.2813,2171,1,0,0,,r1,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_raskolnikov__r1.json
atticus_finch,winston_smith,0,1.125,2222,1,1,1,A,r2,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/atticus_finch/to_winston_smith__r2.json
captain_ahab,atticus_finch,0,0.0,532,1,1,1,A,r1,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/captain_ahab/to_atticus_finch__r1.json
captain_ahab,dracula,0,-0.75,717,2,1,1,A,r2,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/captain_ahab/to_dracula__r2.json
captain_ahab,elizabeth_bennet,0,-0.1875,366,2,1,1,E,r1,default,20,output/book_characters_authors_batch/_swaps/runs/fullscale_books_random/by_source/captain_ahab/to_elizabeth_bennet__r1.json
