from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
birth_of_venus,campbells_soup,0,-0.25,588,2,1,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_campbells_soup__r0.json
birth_of_venus,girl_pearl_earring,0,5.5,162,1,1,1,,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_girl_pearl_earring__r1.json
birth_of_venus,grande_jatte,0,1.5,89,1,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_grande_jatte__r1.json
birth_of_venus,guernica,0,-0.3125,162,2,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_guernica__r1.json
birth_of_venus,nighthawks,0,-0.75,934,2,0,1,E,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_nighthawks__r0.json
birth_of_venus,persistence_of_memory,0,-0.0937,264,2,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_persistence_of_memory__r0.json
birth_of_venus,starry_night,0,0.5,751,1,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_starry_night__r1.json
birth_of_venus,the_scream,0,2.75,1475,1,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_the_scream__r0.json
birth_of_venus,water_lilies,0,1.9375,99,1,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/birth_of_venus/to_water_lilies__r0.json
campbells_soup,birth_of_venus,0,1.25,14895,1,1,1,A,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_birth_of_venus__r2.json
campbells_soup,girl_pearl_earring,0,1.0,1207,1,1,1,A,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_girl_pearl_earring__r1.json
campbells_soup,grande_jatte,0,0.0625,547,1,1,1,E,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_grande_jatte__r2.json
campbells_soup,guernica,0,4.25,44,1,0,0,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_guernica__r1.json
campbells_soup,nighthawks,0,0.9531,15,1,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_nighthawks__r0.json
campbells_soup,persistence_of_memory,0,1.9375,121,1,1,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_persistence_of_memory__r0.json
campbells_soup,starry_night,0,3.1563,131,1,1,1,D,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_starry_night__r2.json
campbells_soup,the_scream,0,-0.0625,221,2,1,1,E,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_the_scream__r2.json
campbells_soup,water_lilies,0,-0.5,339,2,1,1,A,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/campbells_soup/to_water_lilies__r0.json
girl_pearl_earring,birth_of_venus,0,3.625,2282,1,1,1,A,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_birth_of_venus__r2.json
girl_pearl_earring,campbells_soup,0,-1.6875,3645,3,1,1,,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_campbells_soup__r2.json
girl_pearl_earring,grande_jatte,0,0.5625,96,1,1,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_grande_jatte__r1.json
girl_pearl_earring,guernica,0,-0.75,1382,2,0,1,,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/girl_pearl_earring/to_guernica__r1.json
