from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
alibaba,dell_xps,0,3.25,131,1,1,1,C,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_dell_xps__r1.json
alibaba,dyson,0,-0.5625,495,2,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_dyson__r2.json
alibaba,facebook,0,0.5625,260,1,1,1,A,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_facebook__r1.json
alibaba,iphone,0,1.75,167,1,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_iphone__r1.json
alibaba,model_s,0,6.0625,1380,1,1,1,A,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_model_s__r1.json
alibaba,nike_shoes,0,-1.375,3438,4,1,1,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_nike_shoes__r2.json
alibaba,oculus,0,-2.625,13707,5,0,1,A,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_oculus__r1.json
alibaba,oracle_db,0,-2.125,659,3,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_oracle_db__r0.json
alibaba,twitter,0,15.2969,1,1,1,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_twitter__r0.json
alibaba,windows,0,2.25,730,1,0,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_windows__r0.json
alibaba,wordpress,0,-0.25,385,2,1,1,A,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/alibaba/to_wordpress__r1.json
dell_xps,alibaba,0,0.0,46,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_alibaba__r0.json
dell_xps,dyson,0,0.0,74,1,1,1,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_dyson__r2.json
dell_xps,facebook,0,2.75,23,1,1,0,B,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_facebook__r1.json
dell_xps,iphone,0,3.5625,153,1,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_iphone__r2.json
dell_xps,model_s,0,6.625,758,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_model_s__r0.json
dell_xps,nike_shoes,0,-1.8125,346,2,1,0,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_nike_shoes__r1.json
dell_xps,oculus,0,-4.0,3758,5,1,1,B,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_oculus__r2.json
dell_xps,oracle_db,0,-1.8836,702,3,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_oracle_db__r2.json
dell_xps,twitter,0,1.4063,46,1,1,1,B,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_twitter__r0.json
dell_xps,windows,1,,,,1,0,,r2,m_tuned,2.402249,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_windows__r2__m_tuned.json
dell_xps,wordpress,0,2.4141,1238,1,0,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dell_xps/to_wordpress__r0.json
dyson,alibaba,0,0.875,204,1,0,0,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_alibaba__r0.json
dyson,dell_xps,0,1.25,296,1,1,1,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_dell_xps__r2.json
dyson,facebook,0,1.0625,1543,1,0,0,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_facebook__r1.json
dyson,iphone,0,4.75,4178,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_iphone__r0.json
dyson,model_s,1,8.0625,3336,1,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_model_s__r2.json
dyson,nike_shoes,0,0.5,3023,1,0,0,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_nike_shoes__r0.json
dyson,oculus,0,-0.3125,15101,2,1,1,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_oculus__r0.json
dyson,oracle_db,0,-2.25,9464,3,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_oracle_db__r0.json
dyson,twitter,0,0.1875,204,1,0,0,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_twitter__r2.json
dyson,windows,0,1.375,3115,1,0,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_windows__r2.json
dyson,wordpress,0,1.625,410,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/dyson/to_wordpress__r0.json
facebook,alibaba,0,0.75,197,1,1,1,C,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_alibaba__r1.json
