from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
alabama_birmingham,alaska_anchorage,0,1.75,613,1,1,1,A,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_alaska_anchorage__r0.json
alabama_birmingham,arizona_tucson,0,-0.75,106,3,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_arizona_tucson__r0.json
alabama_birmingham,arkansas_fayetteville,0,-1.9375,121,6,1,1,D,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_arkansas_fayetteville__r2.json
alabama_birmingham,california_oakland,0,-1.25,82,3,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_california_oakland__r1.json
alabama_birmingham,colorado_colorado_springs,0,-2.1875,68,2,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_colorado_colorado_springs__r2.json
alabama_birmingham,connecticut_bridgeport,0,-2.1875,121,8,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_connecticut_bridgeport__r0.json
alabama_birmingham,delaware_wilmington,0,-5.0,530,24,1,0,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_delaware_wilmington__r0.json
alabama_birmingham,florida_miami,0,-1.0,68,5,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_florida_miami__r0.json
alabama_birmingham,georgia_savannah,0,3.1875,11,1,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_georgia_savannah__r0.json
alabama_birmingham,hawaii_hilo,0,-3.25,892,20,1,1,A,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_hawaii_hilo__r1.json
alabama_birmingham,idaho_idaho_falls,0,-2.375,258,11,1,1,A,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_idaho_idaho_falls__r2.json
alabama_birmingham,illinois_chicago,0,-1.25,172,3,1,1,E,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_illinois_chicago__r0.json
alabama_birmingham,indiana_fort_wayne,0,-2.0,89,7,1,1,A,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_indiana_fort_wayne__r1.json
alabama_birmingham,iowa_cedar_rapids,0,-1.75,433,9,1,0,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_iowa_cedar_rapids__r1.json
alabama_birmingham,kansas_wichita,0,-0.25,121,3,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_kansas_wichita__r1.json
alabama_birmingham,kentucky_louisville,0,0.125,74,1,1,1,A,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_kentucky_louisville__r1.json
alabama_birmingham,louisiana_new_orleans,0,-2.125,158,8,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_louisiana_new_orleans__r0.json
alabama_birmingham,maine_portland,0,-0.375,43,3,1,1,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_maine_portland__r0.json
alabama_birmingham,maryland_baltimore,0,-0.1875,172,2,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_maryland_baltimore__r2.json
alabama_birmingham,massachusetts_worcester,0,1.75,172,1,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_massachusetts_worcester__r0.json
alabama_birmingham,michigan_detroit,0,-1.875,18,4,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_michigan_detroit__r1.json
alabama_birmingham,minnesota_minneapolis,0,-0.375,294,3,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_minnesota_minneapolis__r2.json
alabama_birmingham,mississippi_gulfport,0,0.8437,158,1,1,1,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_mississippi_gulfport__r0.json
alabama_birmingham,missouri_kansas_city,0,4.625,32,1,1,1,C,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_missouri_kansas_city__r1.json
alabama_birmingham,montana_billings,0,0.0,61,1,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_montana_billings__r1.json
alabama_birmingham,nebraska_omaha,0,1.125,172,1,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_nebraska_omaha__r0.json
alabama_birmingham,nevada_las_vegas,0,-6.4219,613,31,1,1,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_nevada_las_vegas__r1.json
alabama_birmingham,new_hampshire_manchester,0,-2.75,690,15,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_hampshire_manchester__r2.json
alabama_birmingham,new_jersey_newark,0,-3.75,68,29,1,1,C,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_jersey_newark__r1.json
alabama_birmingham,new_mexico_albuquerque,0,-2.1562,304,7,1,1,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_mexico_albuquerque__r0.json
alabama_birmingham,new_york_new_york_city,0,0.625,31,1,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_york_new_york_city__r1.json
