condition,variant,n,suppressed_rate,target_hit_rate,target_hit_fuzzy_rate,target_first_token_rate,mean_to_topk_prob,mean_from_topk_prob,mean_ablate,mean_amplify
auto_dallas,add_capital,5,1.0,0.0,0.0,0.0,0.0,0.0,85.0,90.8
auto_dallas,add_capital_city,5,0.8,0.0,0.0,0.0,0.0,0.0,156.0,171.8
auto_dallas,add_city,5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,81.0
auto_dallas,add_state,5,0.4,0.2,0.2,0.0,0.0,0.0,55.0,71.2
auto_dallas,add_state_capital,5,1.0,0.0,0.2,0.2,0.00634765625,0.0,140.0,162.0
auto_dallas,add_state_capital_city,5,1.0,0.0,0.2,0.2,0.0,0.0,211.0,220.0
auto_dallas,add_state_city,5,0.8,0.4,0.4,0.0,0.0,0.0,126.0,129.2
auto_top21_dallas,add_capital,5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,90.8
auto_top21_dallas,add_capital_city,5,0.6,0.0,0.0,0.0,0.0,0.0,5.0,171.8
auto_top21_dallas,add_city,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0
auto_top21_dallas,add_state,5,0.4,0.2,0.2,0.0,0.0,0.0,9.0,71.2
auto_top21_dallas,add_state_capital,5,1.0,0.0,0.2,0.2,0.00791015625,0.0,12.0,162.0
auto_top21_dallas,add_state_capital_city,5,1.0,0.0,0.2,0.2,0.0,0.0,14.0,220.0
auto_top21_dallas,add_state_city,5,0.8,0.4,0.4,0.0,0.0,0.0,11.0,129.2
human_dallas,add_capital,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8
human_dallas,add_capital_city,5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,171.8
human_dallas,add_city,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
human_dallas,add_state,5,0.6,0.2,0.2,0.0,0.0,0.0,6.0,71.2
human_dallas,add_state_capital,5,1.0,0.0,0.2,0.2,0.00810546875,0.0,6.0,162.0
human_dallas,add_state_capital_city,5,1.0,0.0,0.2,0.2,0.0,0.0,6.0,220.0
human_dallas,add_state_city,5,0.8,0.4,0.4,0.0,0.0,0.0,6.0,129.2
shuffled_labels_dallas,add_capital,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8
shuffled_labels_dallas,add_capital_city,5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,171.8
shuffled_labels_dallas,add_city,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
shuffled_labels_dallas,add_state,5,0.4,0.2,0.2,0.0,0.0,0.0,6.0,71.2
shuffled_labels_dallas,add_state_capital,5,1.0,0.0,0.2,0.2,0.007275390625,0.0,6.0,162.0
shuffled_labels_dallas,add_state_capital_city,5,1.0,0.0,0.2,0.2,0.0,0.0,6.0,220.0
shuffled_labels_dallas,add_state_city,5,0.8,0.4,0.4,0.0,0.0,0.0,6.0,129.2
