from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
atticus_finch,atticus_finch,add_author,0,1,0.000000,45,0,45,0,0.053369,0.000000,0.402358,0.402358
atticus_finch,captain_ahab,add_book_author,0,1,22.250000,68,58,68,58,0.108991,0.103688,0.402358,0.399964
atticus_finch,dracula,add_character_author,1,1,20.062500,0,257,143,114,0.132223,0.163783,0.402358,0.392970
atticus_finch,ebenezer_scrooge,add_book_author,0,0,28.312500,68,71,68,71,0.108991,0.149134,0.402358,0.414550
atticus_finch,edmond_dantes,add_book_author,0,1,23.031200,68,67,68,67,0.108991,0.089070,0.402358,0.410286
atticus_finch,elizabeth_bennet,add_book_author,0,1,26.593800,68,51,68,51,0.108991,0.089048,0.402358,0.401960
atticus_finch,emma_bovary,add_author,0,1,23.140600,45,51,45,51,0.053369,0.066259,0.402358,0.412386
atticus_finch,frodo_baggins,add_book,0,0,17.062500,23,34,23,34,0.055622,0.080611,0.402358,0.413307
atticus_finch,gregor_samsa,add_book,0,1,28.500000,23,20,23,20,0.055622,0.027791,0.402358,0.395718
atticus_finch,huckleberry_finn,add_character_book_author,0,0,16.046900,166,305,166,305,0.187845,0.303928,0.402358,0.385867
atticus_finch,jay_gatsby,add_character_author,0,1,26.250000,143,122,143,122,0.132223,0.182899,0.402358,0.413165
atticus_finch,jean_valjean,add_book_author,0,1,22.050800,68,65,68,65,0.108991,0.083439,0.402358,0.385766
atticus_finch,katniss_everdeen,add_book_author,0,1,34.875000,68,63,68,63,0.108991,0.104807,0.402358,0.397431
atticus_finch,raskolnikov,add_character_book_author,0,0,22.750000,166,117,166,117,0.187845,0.113252,0.402358,0.374571
atticus_finch,winston_smith,add_book_author,0,1,22.312500,68,52,68,52,0.108991,0.108922,0.402358,0.402036
captain_ahab,atticus_finch,add_book_author,0,1,27.187500,58,68,58,68,0.103688,0.108991,0.399964,0.402358
captain_ahab,captain_ahab,add_character,0,1,0.000000,119,0,119,0,0.089172,0.000000,0.399964,0.399964
captain_ahab,dracula,add_character_book_author,0,0,9.156300,177,180,177,180,0.192860,0.252736,0.399964,0.392970
captain_ahab,ebenezer_scrooge,add_book_author,0,0,19.601600,58,71,58,71,0.103688,0.149134,0.399964,0.414550
captain_ahab,edmond_dantes,add_book_author,0,0,17.203100,58,67,58,67,0.103688,0.089070,0.399964,0.410286
captain_ahab,elizabeth_bennet,add_book,0,1,19.906200,29,20,29,20,0.066373,0.043584,0.399964,0.401960
captain_ahab,emma_bovary,add_author,0,1,10.750000,29,51,29,51,0.037315,0.066259,0.399964,0.412386
captain_ahab,frodo_baggins,add_book,0,1,21.468800,29,34,29,34,0.066373,0.080611,0.399964,0.413307
captain_ahab,gregor_samsa,add_book,0,0,12.656200,29,20,29,20,0.066373,0.027791,0.399964,0.395718
captain_ahab,huckleberry_finn,add_character_book_author,0,0,23.750000,177,305,177,305,0.192860,0.303928,0.399964,0.385867
captain_ahab,jay_gatsby,add_character_book_author,0,1,21.453100,177,197,177,197,0.192860,0.295411,0.399964,0.413165
captain_ahab,jean_valjean,add_book,0,1,13.187500,29,26,29,26,0.066373,0.047902,0.399964,0.385766
captain_ahab,katniss_everdeen,add_book_author,0,1,28.875000,58,63,58,63,0.103688,0.104807,0.399964,0.397431
captain_ahab,raskolnikov,add_book_author,0,0,13.250000,58,38,58,38,0.103688,0.062480,0.399964,0.374571
captain_ahab,winston_smith,add_book,0,1,19.656200,29,19,29,19,0.066373,0.066463,0.399964,0.402036
dracula,atticus_finch,add_book_author,0,1,23.875000,104,68,104,68,0.148681,0.108991,0.392970,0.402358
dracula,captain_ahab,add_book,0,1,19.625000,66,29,66,29,0.088953,0.066373,0.392970,0.399964
dracula,dracula,add_author,0,1,0.000000,38,0,38,0,0.059728,0.000000,0.392970,0.392970
dracula,ebenezer_scrooge,add_book_author,0,0,14.718800,104,71,104,71,0.148681,0.149134,0.392970,0.414550
dracula,edmond_dantes,add_book_author,0,0,18.859400,104,67,104,67,0.148681,0.089070,0.392970,0.410286
