from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
alibaba,alibaba,add_company,0,1,0.000000,48,0,48,0,0.060332,0.000000,0.374503,0.374503
alibaba,dell_xps,add_company,0,0,7.687500,48,35,48,35,0.060332,0.026100,0.374503,0.380786
alibaba,dyson,add_company_founder,0,0,7.937500,81,260,81,260,0.106080,0.216890,0.374503,0.397321
alibaba,ebay_platform,add_company_founder,0,0,3.125000,81,102,81,102,0.106080,0.120871,0.374503,0.396009
alibaba,facebook,add_product_company_founder,0,1,11.500000,116,67,116,67,0.150007,0.114473,0.374503,0.393494
alibaba,ford_cars,add_product_founder,0,0,17.661100,68,119,68,119,0.089675,0.180719,0.374503,0.412520
alibaba,iphone,add_company_founder,0,1,9.375000,81,56,81,56,0.106080,0.097382,0.374503,0.408430
alibaba,model_s,add_company_founder,0,1,16.375000,81,62,81,62,0.106080,0.099756,0.374503,0.398275
alibaba,nike_shoes,add_company_founder,0,0,2.875000,81,91,81,91,0.106080,0.129942,0.374503,0.394898
alibaba,oculus,add_founder,0,1,10.187500,33,40,33,40,0.045747,0.044431,0.374503,0.373133
alibaba,oracle_db,add_product,0,0,10.265600,35,71,35,71,0.043928,0.068652,0.374503,0.395625
alibaba,twitter,add_company,0,0,0.000000,48,43,48,43,0.060332,0.058402,0.374503,0.384570
alibaba,windows,add_company,0,1,11.562500,48,16,48,16,0.060332,0.031072,0.374503,0.404110
alibaba,wordpress,add_product_company,0,0,16.031200,83,61,83,61,0.104260,0.071574,0.374503,0.399778
dell_xps,alibaba,add_company,0,0,4.437500,35,48,35,48,0.026100,0.060332,0.380786,0.374503
dell_xps,dell_xps,add_company,0,1,0.000000,35,0,35,0,0.026100,0.000000,0.380786,0.380786
dell_xps,dyson,add_company,0,0,9.273400,35,106,35,106,0.026100,0.078035,0.380786,0.397321
dell_xps,ebay_platform,add_company_founder,0,0,2.437500,117,102,117,102,0.115243,0.120871,0.380786,0.396009
dell_xps,facebook,add_product_company,0,0,16.781200,95,37,95,37,0.073192,0.070250,0.380786,0.393494
dell_xps,ford_cars,add_product_founder,0,0,15.515600,142,119,142,119,0.136235,0.180719,0.380786,0.412520
dell_xps,iphone,add_company_founder,0,1,9.125000,117,56,117,56,0.115243,0.097382,0.380786,0.408430
dell_xps,model_s,add_product_company_founder,0,1,14.906200,177,77,177,77,0.162335,0.109944,0.380786,0.398275
dell_xps,nike_shoes,add_company_founder,0,0,5.687500,117,91,117,91,0.115243,0.129942,0.380786,0.394898
dell_xps,oculus,add_founder,0,1,7.187500,82,40,82,40,0.089143,0.044431,0.380786,0.373133
dell_xps,oracle_db,add_product_company_founder,0,0,3.687500,177,179,177,179,0.162335,0.196560,0.380786,0.395625
dell_xps,twitter,add_product_company,0,0,8.218700,95,43,95,43,0.073192,0.058402,0.380786,0.384570
dell_xps,windows,add_company,0,1,10.000000,35,16,35,16,0.026100,0.031072,0.380786,0.404110
dell_xps,wordpress,add_product_company,0,0,13.812500,95,61,95,61,0.073192,0.071574,0.380786,0.399778
dyson,alibaba,add_product_company,0,0,5.562500,220,83,220,83,0.162656,0.104260,0.397321,0.374503
dyson,dell_xps,add_company,0,0,9.328100,106,35,106,35,0.078035,0.026100,0.397321,0.380786
dyson,dyson,add_company_founder,0,1,0.000000,260,0,260,0,0.216890,0.000000,0.397321,0.397321
dyson,ebay_platform,add_founder,0,0,3.375000,154,46,154,46,0.138855,0.065455,0.397321,0.396009
dyson,facebook,add_company_founder,0,1,19.500000,260,35,260,35,0.216890,0.053711,0.397321,0.393494
dyson,ford_cars,add_product_founder,0,0,6.062500,268,119,268,119,0.223476,0.180719,0.397321,0.412520
dyson,iphone,add_company_founder,0,1,13.031200,260,56,260,56,0.216890,0.097382,0.397321,0.408430
dyson,model_s,add_product_company_founder,0,1,13.406200,374,77,374,77,0.301511,0.109944,0.397321,0.398275
dyson,nike_shoes,add_company_founder,0,0,3.500000,260,91,260,91,0.216890,0.129942,0.397321,0.394898
dyson,oculus,add_product_company,0,0,10.437500,220,105,220,105,0.162656,0.112597,0.397321,0.373133
dyson,oracle_db,add_product_company,0,0,8.148400,220,120,220,120,0.162656,0.107396,0.397321,0.395625
dyson,twitter,add_company,0,0,5.125000,106,43,106,43,0.078035,0.058402,0.397321,0.384570
dyson,windows,add_company,0,0,17.593800,106,16,106,16,0.078035,0.031072,0.397321,0.404110
dyson,wordpress,add_product_company,0,0,10.406300,220,61,220,61,0.162656,0.071574,0.397321,0.399778
ebay_platform,alibaba,add_company_founder,0,0,9.437500,102,81,102,81,0.120871,0.106080,0.396009,0.374503
ebay_platform,dell_xps,add_company,0,0,10.062500,56,35,56,35,0.055416,0.026100,0.396009,0.380786
ebay_platform,dyson,add_company,0,0,11.156300,56,106,56,106,0.055416,0.078035,0.396009,0.397321
ebay_platform,ebay_platform,add_company,0,1,0.000000,56,0,56,0,0.055416,0.000000,0.396009,0.396009
ebay_platform,facebook,add_product_company_founder,0,1,13.375000,164,67,164,67,0.179954,0.114473,0.396009,0.393494
ebay_platform,ford_cars,add_company,0,0,18.062500,56,69,56,69,0.055416,0.126861,0.396009,0.412520
ebay_platform,iphone,add_product_company,0,0,21.125000,118,53,118,53,0.114499,0.076141,0.396009,0.408430
ebay_platform,model_s,add_product_company,0,1,17.656200,118,38,118,38,0.114499,0.054802,0.396009,0.398275
ebay_platform,oculus,add_company_founder,0,0,10.531200,102,82,102,82,0.120871,0.091468,0.396009,0.373133
ebay_platform,oracle_db,add_company,0,0,10.625000,56,49,56,49,0.055416,0.038744,0.396009,0.395625
ebay_platform,windows,add_product_company_founder,1,1,13.000000,0,256,164,92,0.179954,0.139934,0.396009,0.404110
ebay_platform,wordpress,add_product_company,0,0,18.625000,118,61,118,61,0.114499,0.071574,0.396009,0.399778
facebook,alibaba,add_product_company,0,0,6.375000,37,83,37,83,0.070250,0.104260,0.393494,0.374503
facebook,dell_xps,add_company,0,0,1.906300,5,35,5,35,0.009488,0.026100,0.393494,0.380786
facebook,dyson,add_product_company_founder,0,0,4.500000,67,374,67,374,0.114473,0.301511,0.393494,0.397321
facebook,ebay_platform,add_founder,0,0,-0.250000,30,46,30,46,0.044223,0.065455,0.393494,0.396009
facebook,facebook,add_company,0,1,0.000000,5,0,5,0,0.009488,0.000000,0.393494,0.393494
facebook,ford_cars,add_product_founder,0,0,11.875000,62,119,62,119,0.104986,0.180719,0.393494,0.412520
