from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
alabama_birmingham,alabama_birmingham,add_city,0,1,0.000000,26,0,26,0,0.021526,0.000000,0.353255,0.353255
alabama_birmingham,alaska_anchorage,add_state,0,0,9.234400,10,17,10,17,0.015212,0.038122,0.353255,0.365723
alabama_birmingham,arizona_tucson,add_state_city,0,1,14.500000,36,52,36,52,0.036738,0.076868,0.353255,0.365156
alabama_birmingham,arkansas_fayetteville,add_capital_city,0,1,9.000000,52,60,52,60,0.050107,0.079819,0.353255,0.373812
alabama_birmingham,california_oakland,add_state_capital,0,1,14.062500,36,37,36,37,0.043793,0.069181,0.353255,0.373302
alabama_birmingham,colorado_colorado_springs,add_state_capital,0,1,21.678700,36,74,36,74,0.043793,0.113505,0.353255,0.374099
alabama_birmingham,connecticut_bridgeport,add_state_capital,0,1,18.500000,36,44,36,44,0.043793,0.075791,0.353255,0.364609
alabama_birmingham,delaware_wilmington,add_state,0,0,21.281300,10,11,10,11,0.015212,0.011477,0.353255,0.379447
alabama_birmingham,florida_miami,add_state_capital_city,0,1,21.851600,62,66,62,66,0.065319,0.113740,0.353255,0.367858
alabama_birmingham,georgia_savannah,add_state_capital,0,1,19.914100,36,41,36,41,0.043793,0.076556,0.353255,0.370304
alabama_birmingham,hawaii_hilo,add_state_capital_city,0,1,14.554700,62,85,62,85,0.065319,0.128488,0.353255,0.357737
alabama_birmingham,idaho_idaho_falls,add_state,0,1,11.187500,10,37,10,37,0.015212,0.065915,0.353255,0.379189
alabama_birmingham,illinois_chicago,add_state,0,1,14.125000,10,14,10,14,0.015212,0.029039,0.353255,0.367203
alabama_birmingham,indiana_fort_wayne,add_state_capital,0,0,13.500000,36,74,36,74,0.043793,0.093249,0.353255,0.391159
alabama_birmingham,iowa_cedar_rapids,add_state,0,1,16.968800,10,10,10,10,0.015212,0.022024,0.353255,0.394939
alabama_birmingham,kansas_wichita,add_state_capital,0,0,15.593700,36,63,36,63,0.043793,0.086975,0.353255,0.358014
alabama_birmingham,kentucky_louisville,add_capital,0,1,7.750000,26,37,26,37,0.028581,0.062804,0.353255,0.370874
alabama_birmingham,louisiana_new_orleans,add_state_capital,0,1,15.984400,36,49,36,49,0.043793,0.089234,0.353255,0.374783
alabama_birmingham,maine_portland,add_state,0,0,10.839800,10,10,10,10,0.015212,0.013432,0.353255,0.372282
alabama_birmingham,maryland_baltimore,add_capital_city,1,1,1.000000,0,122,52,70,0.050107,0.102851,0.353255,0.368646
alabama_birmingham,massachusetts_worcester,add_state,0,1,13.406200,10,13,10,13,0.015212,0.020158,0.353255,0.352601
alabama_birmingham,michigan_detroit,add_state,0,1,8.937500,10,12,10,12,0.015212,0.037074,0.353255,0.386487
alabama_birmingham,minnesota_minneapolis,add_state_capital,0,1,14.125000,36,55,36,55,0.043793,0.096128,0.353255,0.370028
alabama_birmingham,mississippi_gulfport,add_state_capital,0,1,14.625000,36,36,36,36,0.043793,0.042389,0.353255,0.384483
alabama_birmingham,missouri_kansas_city,add_state_capital,0,0,6.062500,36,46,36,46,0.043793,0.062751,0.353255,0.369270
alabama_birmingham,montana_billings,add_state_capital,0,1,10.250000,36,53,36,53,0.043793,0.082644,0.353255,0.383869
alabama_birmingham,nebraska_omaha,add_state_capital_city,0,1,22.359400,62,95,62,95,0.065319,0.129439,0.353255,0.370031
alabama_birmingham,nevada_las_vegas,add_state_city,0,0,16.625000,36,63,36,63,0.036738,0.068532,0.353255,0.366517
alabama_birmingham,new_hampshire_manchester,add_city,0,0,8.289100,26,27,26,27,0.021526,0.026777,0.353255,0.352572
alabama_birmingham,new_jersey_newark,add_state_capital,1,1,7.500000,0,100,36,64,0.043793,0.093547,0.353255,0.369477
alabama_birmingham,new_mexico_albuquerque,add_capital,0,1,9.000000,26,38,26,38,0.028581,0.067149,0.353255,0.379016
alabama_birmingham,new_york_new_york_city,add_capital_city,0,1,12.980500,52,68,52,68,0.050107,0.078929,0.353255,0.365365
alabama_birmingham,north_carolina_charlotte,add_state_capital,0,0,8.312500,36,52,36,52,0.043793,0.095282,0.353255,0.382753
alabama_birmingham,north_dakota_fargo,add_state_capital_city,0,1,10.906300,62,92,62,92,0.065319,0.119191,0.353255,0.361384
alabama_birmingham,ohio_cleveland,add_state,0,1,9.125000,10,11,10,11,0.015212,0.024335,0.353255,0.364836
alabama_birmingham,oklahoma_tulsa,add_state_capital_city,0,0,22.343800,62,73,62,73,0.065319,0.117384,0.353255,0.361343
alabama_birmingham,oregon_portland,add_state_capital,0,1,13.062500,36,42,36,42,0.043793,0.068109,0.353255,0.372729
alabama_birmingham,pennsylvania_philadelphia,add_state,0,1,6.500000,10,13,10,13,0.015212,0.022468,0.353255,0.376081
alabama_birmingham,rhode_island_warwick,add_state,0,1,14.562500,10,14,10,14,0.015212,0.014348,0.353255,0.355691
alabama_birmingham,south_carolina_charleston,add_state_capital_city,0,1,12.734400,62,71,62,71,0.065319,0.097522,0.353255,0.377861
alabama_birmingham,south_dakota_sioux_falls,add_capital,1,1,4.625000,0,69,26,43,0.028581,0.041289,0.353255,0.375499
alabama_birmingham,tennessee_memphis,add_state_capital_city,0,0,6.312500,62,82,62,82,0.065319,0.094088,0.353255,0.355138
alabama_birmingham,texas_dallas,add_state_capital,0,1,8.960900,36,49,36,49,0.043793,0.088835,0.353255,0.363766
alabama_birmingham,utah_provo,add_state_capital,0,1,23.734400,36,48,36,48,0.043793,0.088992,0.353255,0.354970
alabama_birmingham,vermont_burlington,add_state,0,0,5.976600,10,8,10,8,0.015212,0.008588,0.353255,0.370668
alabama_birmingham,virginia_virginia_beach,add_state_capital,0,0,13.515600,36,75,36,75,0.043793,0.106594,0.353255,0.381697
