domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
books,atticus_finch,atticus_finch,1,7,0,0.053369,0.0,0.05622637271881059,0.0,7,0,0,,0,0,,,1,0.0,0.0,2.8282,5.3125,add_author,0,1,0.0,45,0,0.053369,0.0
books,atticus_finch,captain_ahab,0,19,20,0.108991,0.103688,0.11148107051849247,0.10613948106765658,19,20,0,,0,0,,,1,6.1563,0.0,-3.1875,-2.5208,add_book_author,0,1,22.25,68,58,0.108991,0.103688
books,atticus_finch,dracula,0,27,39,0.132223,0.163783,0.13443234562873657,0.1642215251922587,27,39,0,,0,0,,,1,14.7031,0.0,2.9375,3.4792,add_character_author,1,1,20.0625,0,257,0.132223,0.163783
books,atticus_finch,ebenezer_scrooge,0,19,24,0.108991,0.149134,0.11148107051849247,0.1502445340156546,19,24,0,,0,0,,,1,10.5938,0.0,1.5,2.125,add_book_author,0,0,28.3125,68,71,0.108991,0.149134
books,atticus_finch,edmond_dantes,0,19,15,0.108991,0.08907,0.11148107051849247,0.08945497870445172,19,15,0,,0,0,,,1,6.5,0.0,-3.6875,-2.625,add_book_author,0,1,23.0312,68,67,0.108991,0.08907
books,atticus_finch,elizabeth_bennet,0,19,12,0.108991,0.089048,0.11148107051849247,0.09336459636688169,19,12,0,,0,0,,,1,17.4297,0.0,1.25,3.375,add_book_author,0,1,26.5938,68,51,0.108991,0.089048
books,atticus_finch,emma_bovary,0,7,12,0.053369,0.066259,0.05622637271881059,0.0681196451187128,7,12,0,,0,0,,,1,2.8125,0.0,-3.5,-2.4375,add_author,0,1,23.1406,45,51,0.053369,0.066259
books,atticus_finch,frodo_baggins,0,7,11,0.055622,0.080611,0.05622637271881059,0.0837748646736137,7,11,0,,0,0,,,1,7.4062,0.7187000000000001,1.4375,2.125,add_book,0,0,17.0625,23,34,0.055622,0.080611
books,atticus_finch,gregor_samsa,0,7,4,0.055622,0.027791,0.05622637271881059,0.032445430755615005,7,4,0,,0,0,,,1,5.3125,0.0,-4.125,-2.5625,add_book,0,1,28.5,23,20,0.055622,0.027791
books,atticus_finch,huckleberry_finn,0,59,234,0.187845,0.303928,0.18839189410209312,0.3040604293346292,59,234,0,,0,0,,,1,6.0,5.625,0.75,1.3125,add_character_book_author,0,0,16.0469,166,305,0.187845,0.303928
books,atticus_finch,jay_gatsby,0,27,35,0.132223,0.182899,0.13443234562873657,0.18355441093444644,27,35,0,,0,0,,,1,19.625,0.0,4.75,6.3333,add_character_author,0,1,26.25,143,122,0.132223,0.182899
books,atticus_finch,jean_valjean,0,19,13,0.108991,0.083439,0.11148107051849247,0.08397570252418449,19,13,0,,0,0,,,1,9.125,0.0,-0.8125,-0.3542,add_book_author,0,1,22.0508,68,65,0.108991,0.083439
books,atticus_finch,katniss_everdeen,0,19,16,0.108991,0.104807,0.11148107051849247,0.10726243257522512,19,16,0,,0,0,,,1,17.9688,0.0,5.1875,5.5,add_book_author,0,1,34.875,68,63,0.108991,0.104807
books,atticus_finch,raskolnikov,0,59,22,0.187845,0.113252,0.18839189410209312,0.1149391829967488,59,22,0,,0,0,,,1,11.6836,0.0,-3.25,-1.9167,add_character_book_author,0,0,22.75,166,117,0.187845,0.113252
books,atticus_finch,winston_smith,0,19,14,0.108991,0.108922,0.11148107051849247,0.108959257602691,19,14,0,,0,0,,,1,16.0,0.0,6.375,6.875,add_book_author,0,1,22.3125,68,52,0.108991,0.108922
books,captain_ahab,atticus_finch,0,20,19,0.103688,0.108991,0.10613948106765658,0.11148107051849247,20,19,0,,0,0,,,1,13.1406,0.0,-0.6875,0.4167,add_book_author,0,1,27.1875,58,68,0.103688,0.108991
books,captain_ahab,captain_ahab,1,15,0,0.089172,0.0,0.09021171927452029,0.0,15,0,0,,0,0,,,1,0.0,0.0,0.5,1.0417,add_character,0,1,0.0,119,0,0.089172,0.0
books,captain_ahab,dracula,0,76,116,0.19286,0.252736,0.1933827102184259,0.25345534086226884,76,116,0,,0,0,,,1,12.0938,0.0,2.8125,3.0833,add_character_book_author,0,0,9.1563,177,180,0.19286,0.252736
books,captain_ahab,ebenezer_scrooge,0,20,24,0.103688,0.149134,0.10613948106765658,0.1502445340156546,20,24,0,,0,0,,,1,7.4062,0.0,1.375,1.7292,add_book_author,0,0,19.6016,58,71,0.103688,0.149134
books,captain_ahab,edmond_dantes,0,20,15,0.103688,0.08907,0.10613948106765658,0.08945497870445172,20,15,0,,0,0,,,1,8.7813,0.0,0.375,1.0,add_book_author,0,0,17.2031,58,67,0.103688,0.08907
books,captain_ahab,elizabeth_bennet,0,10,5,0.066373,0.043584,0.06663975119590729,0.048579156398772895,10,5,0,,0,0,,,1,19.0625,0.0,5.125,7.625,add_book,0,1,19.9062,29,20,0.066373,0.043584
books,captain_ahab,emma_bovary,0,5,12,0.037315,0.066259,0.0397730171680449,0.0681196451187128,5,12,0,,0,0,,,1,4.0,0.0,-1.625,-1.125,add_author,0,1,10.75,29,51,0.037315,0.066259
books,captain_ahab,frodo_baggins,0,10,11,0.066373,0.080611,0.06663975119590729,0.0837748646736137,10,11,0,,0,0,,,1,9.9375,0.0,0.875,1.5208,add_book,0,1,21.4688,29,34,0.066373,0.080611
books,captain_ahab,gregor_samsa,0,10,4,0.066373,0.027791,0.06663975119590729,0.032445430755615005,10,4,0,,0,0,,,1,7.4141,0.0,-3.4687,-2.5937,add_book,0,0,12.6562,29,20,0.066373,0.027791
books,captain_ahab,huckleberry_finn,0,76,234,0.19286,0.303928,0.1933827102184259,0.3040604293346292,76,234,0,,0,0,,,1,7.3125,2.4297000000000004,1.125,1.5833,add_character_book_author,0,0,23.75,177,305,0.19286,0.303928
books,captain_ahab,jay_gatsby,0,76,141,0.19286,0.295411,0.1933827102184259,0.29557293653487404,76,141,0,,0,0,,,1,7.5469,0.0,2.125,2.8333,add_character_book_author,0,1,21.4531,177,197,0.19286,0.295411
