domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
paintings,american_gothic,american_gothic,1,7,0,0.036103,0.0,0.0389910936355586,0.0,7,0,0,,0,0,,,1,0.0,0.0,1.0,1.6667,add_first_name,0,1,0.0,21,0,0.036103,0.0
paintings,american_gothic,birth_of_venus,0,9,6,0.043017,0.035058,0.046032965183257404,0.040511757135391,9,6,0,,0,0,,,0,12.2187,0.0,-0.25,0.7083,add_painter,0,0,13.6094,31,40,0.043017,0.035058
paintings,american_gothic,blue_boy,0,7,13,0.036103,0.073951,0.0389910936355586,0.0762240290641779,7,13,0,,0,0,,,0,3.3125,2.0312,5.9375,6.2917,add_first_name,0,1,17.875,21,46,0.036103,0.073951
paintings,american_gothic,campbells_soup,0,7,6,0.036103,0.036394,0.0389910936355586,0.0369060635566709,7,6,0,,0,0,,,0,2.1875,0.0,-2.6875,-1.875,add_first_name,0,0,2.25,21,31,0.036103,0.036394
paintings,american_gothic,girl_pearl_earring,0,35,40,0.100471,0.117292,0.1014258265495284,0.11790814995765461,35,40,0,,0,0,,,0,11.7812,0.0,-1.5,2.1667,add_painting,0,0,9.5078,102,174,0.100471,0.117292
paintings,american_gothic,guernica,0,7,13,0.036103,0.061962,0.0389910936355586,0.0638553798198694,7,13,0,,0,0,,,1,7.75,0.1875,-0.1875,0.625,add_first_name,0,0,5.3125,21,45,0.036103,0.061962
paintings,american_gothic,nighthawks,0,108,179,0.179591,0.235598,0.1798380017280525,0.23565647006033924,108,179,0,,0,0,,,0,-0.375,0.36329999999999996,1.5625,4.108,add_painting_painter_first_name,0,0,5.4062,154,211,0.179591,0.235598
paintings,american_gothic,persistence_of_memory,0,108,117,0.179591,0.190512,0.1798380017280525,0.190775841474527,108,117,0,,0,0,,,0,-1.75,2.0,-0.5,-0.25,add_painting_painter_first_name,0,0,8.7812,154,241,0.179591,0.190512
paintings,american_gothic,starry_night,0,35,18,0.100471,0.083371,0.1014258265495284,0.08543321490287668,35,18,0,,0,0,,,1,13.25,0.7187000000000001,5.625,7.5104,add_painting,1,1,8.8906,0,202,0.100471,0.083371
paintings,american_gothic,water_lilies,0,7,11,0.036103,0.06205,0.0389910936355586,0.06486871838569591,7,11,0,,0,0,,,0,8.4375,0.0,0.625,0.8958,add_first_name,0,0,7.3125,21,32,0.036103,0.06205
