layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06188114359974861,0.06188114359974861
-1,1,18143,1,Fact,,1.0,0.03740636259317398,0.14379185438156128
-1,2,235292,2,:,,1.0,0.020115241408348083,0.19351008534431458
-1,3,714,3, The,,1.0,0.014398574829101562,0.27681976556777954
-1,4,1546,4, most,,1.0,0.01609233021736145,0.262421190738678
-1,5,3818,5, common,,1.0,0.016323283314704895,0.24632886052131653
-1,6,2881,6, color,,1.0,0.04450434818863869,0.1063854917883873
-1,7,576,7, of,,1.0,0.010170608758926392,0.2979373633861542
-1,8,573,8, the,,1.0,0.008826762437820435,0.3158765733242035
-1,9,8205,9, animal,,1.0,0.016889214515686035,0.23000557720661163
-1,10,674,10, that,,1.0,0.008815765380859375,0.32469233870506287
-1,11,6128,11, goes,,1.0,0.009112447500228882,0.30704981088638306
-1,12,777,12, ',,1.0,0.010946989059448242,0.2877667546272278
-1,13,91884,13,bark,,1.0,0.019606277346611023,0.2131163626909256
-1,14,235303,14,',,1.0,0.008394330739974976,0.33308666944503784
-1,15,603,15, is,,1.0,0.029602989554405212,0.1733948439359665
0,-1,0,1,Fact,,1.0,0.0010014176368713379,0.5799392461776733
0,-1,0,2,:,,1.0,0.0008648037910461426,0.6081308126449585
0,-1,0,3, The,,1.0,0.0004908442497253418,0.7015147805213928
0,-1,0,4, most,,1.0,0.0003057718276977539,0.790974497795105
0,-1,0,5, common,,1.0,0.0006789565086364746,0.6491118669509888
0,-1,0,6, color,,1.0,0.001236259937286377,0.5321906208992004
0,-1,0,7, of,,1.0,0.00044912099838256836,0.7206859588623047
0,-1,0,9, animal,,1.0,0.0007215142250061035,0.635897696018219
0,-1,0,11, goes,,1.0,0.0005307793617248535,0.6892708539962769
0,-1,0,13,bark,,1.0,0.0008037686347961426,0.6214984655380249
0,-1,0,15, is,,1.0,0.0003345608711242676,0.7746908068656921
0,26795,230,15, is,3.25,1.0,0.002593427896499634,0.42554375529289246
0,61424,349,9, animal,1.2734375,1.0,0.00043702125549316406,0.72907555103302
0,827540,1285,1,Fact,2.046875,1.0,0.00034737586975097656,0.7675891518592834
0,2338202,2161,2,:,5.28125,1.0,0.0017304420471191406,0.47964397072792053
0,2338202,2161,7, of,2.296875,1.0,0.0004888176918029785,0.7029849886894226
0,2338202,2161,14,',4.875,1.0,0.0005823373794555664,0.6689512133598328
0,2727279,2334,1,Fact,1.1796875,1.0,0.00031769275665283203,0.783507764339447
0,4337984,2944,6, color,2.921875,1.0,0.00039267539978027344,0.747972846031189
0,4337984,2944,9, animal,5.15625,1.0,0.0003687739372253418,0.7593982219696045
0,5522825,3322,2,:,1.21875,1.0,0.0007315278053283691,0.6330031156539917
0,7336364,3829,14,',3.40625,1.0,0.0003566145896911621,0.7630292177200317
0,8058104,4013,5, common,1.0703125,1.0,0.0004374384880065918,0.7282012701034546
0,9285894,4308,6, color,1.40625,1.0,0.001033186912536621,0.5718010067939758
0,11359760,4765,14,',3.0625,1.0,0.0004210472106933594,0.7333365082740784
0,13527800,5200,15, is,2.8125,1.0,0.004118531942367554,0.3848934769630432
0,16447979,5734,5, common,1.2265625,1.0,0.0005449652671813965,0.6812266111373901
0,17538002,5921,5, common,1.1640625,1.0,0.0003452897071838379,0.7679344415664673
0,24482502,6996,5, common,1.484375,1.0,0.0005865097045898438,0.6677826642990112
0,26780220,7317,4, most,1.46875,1.0,0.0003781318664550781,0.7552883625030518
0,28474830,7545,14,',2.078125,1.0,0.0002962946891784668,0.7942859530448914
0,28557902,7556,6, color,1.109375,1.0,0.00048094987869262695,0.7068495154380798
0,42832139,9254,9, animal,1.4140625,1.0,0.0002868175506591797,0.798377513885498
0,44363489,9418,1,Fact,2.6875,1.0,0.0007172226905822754,0.6366149187088013
0,57122015,10687,13,bark,1.328125,1.0,0.00044536590576171875,0.7224737405776978
0,74011860,12165,12, ',3.4375,1.0,0.0006206035614013672,0.6581456661224365
0,75208979,12263,9, animal,1.375,1.0,0.0003178715705871582,0.7831900715827942
0,80981900,12725,5, common,1.328125,1.0,0.000383913516998291,0.7522458434104919
0,81721719,12783,5, common,0.94921875,1.0,0.00031810998916625977,0.782872200012207
0,87285077,13211,6, color,1.3125,1.0,0.0005452632904052734,0.6806816458702087
0,91226277,13506,8, the,3.265625,1.0,0.00042438507080078125,0.7316471934318542
0,97238484,13944,13,bark,9.4375,1.0,0.0016046464443206787,0.48974162340164185
0,125112470,15817,1,Fact,2.53125,1.0,0.00044465065002441406,0.7229183912277222
0,129387740,16085,4, most,1.4296875,1.0,0.00033724308013916016,0.7720034718513489
0,133456952,16336,1,Fact,0.88671875,1.0,0.00033038854598999023,0.777355968952179
0,157380410,17740,4, most,2.296875,1.0,0.0005668997764587402,0.6723825931549072
0,174219110,18665,14,',3.03125,1.0,0.000322878360748291,0.7812747359275818
0,175865634,18753,2,:,7.96875,1.0,0.0021178722381591797,0.4643702805042267
0,175865634,18753,7, of,6.90625,1.0,0.001037299633026123,0.5707678198814392
0,175865634,18753,8, the,6.75,1.0,0.0005976557731628418,0.6642211675643921
0,175865634,18753,10, that,4.28125,1.0,0.0005303025245666504,0.6903316378593445
0,175865634,18753,12, ',5.25,1.0,0.0005943179130554199,0.6660091876983643
0,175865634,18753,14,',6.53125,1.0,0.0006804466247558594,0.6484329104423523
0,175865634,18753,15, is,5.5,1.0,0.0019739866256713867,0.47045260667800903
0,203464877,20171,10, that,2.53125,1.0,0.000779271125793457,0.6254320740699768
0,247297679,22238,9, animal,2.40625,1.0,0.00102919340133667,0.5728302001953125
0,264603509,23003,2,:,2.375,1.0,0.0011950135231018066,0.5406376123428345
0,266516327,23086,1,Fact,1.328125,1.0,0.00041878223419189453,0.7350142598152161
0,312112619,24983,3, The,1.7421875,1.0,0.00045925378799438477,0.7148050665855408
0,332574944,25789,2,:,0.73828125,1.0,0.00037038326263427734,0.7590294480323792
0,337623104,25984,8, the,2.9375,1.0,0.000526130199432373,0.6913852691650391
0,357687630,26745,9, animal,1.515625,1.0,0.0005353093147277832,0.6855414509773254
0,380811002,27596,5, common,1.875,1.0,0.0008384585380554199,0.6149120330810547
0,398141870,28217,14,',3.546875,1.0,0.0004379153251647949,0.727763831615448
0,408279599,28574,5, common,3.09375,1.0,0.0011189579963684082,0.5567574501037598
