layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.0591951347887516,0.0591951347887516
-1,1,18143,1,Fact,,1.0,0.03802971541881561,0.13956768810749054
-1,2,235292,2,:,,1.0,0.019225850701332092,0.21204936504364014
-1,3,714,3, The,,1.0,0.01428067684173584,0.2412014752626419
-1,4,1546,4, most,,1.0,0.01487143337726593,0.22692079842090607
-1,5,3818,5, common,,1.0,0.013924956321716309,0.26928064227104187
-1,6,2881,6, color,,1.0,0.042342837899923325,0.10153797268867493
-1,7,576,7, of,,1.0,0.010173439979553223,0.30147746205329895
-1,8,573,8, the,,1.0,0.008574724197387695,0.31005218625068665
-1,9,8205,9, animal,,1.0,0.014154210686683655,0.25535568594932556
-1,10,674,10, that,,1.0,0.008004456758499146,0.3349406123161316
-1,11,6128,11, goes,,1.0,0.008556634187698364,0.318608820438385
-1,12,777,12, ',,1.0,0.010592937469482422,0.2913040220737457
-1,13,235259,13,h,,1.0,0.011430442333221436,0.2807110846042633
-1,14,1433,14,iss,,1.0,0.020035728812217712,0.19282351434230804
-1,15,235303,15,',,1.0,0.008327335119247437,0.32693615555763245
-1,16,603,16, is,,1.0,0.03322009742259979,0.17278778553009033
0,-1,0,1,Fact,,1.0,0.0010573863983154297,0.5340684652328491
0,-1,0,2,:,,1.0,0.0008777976036071777,0.5714913010597229
0,-1,0,3, The,,1.0,0.00043332576751708984,0.7041310667991638
0,-1,0,4, most,,1.0,0.00034159421920776367,0.7506727576255798
0,-1,0,5, common,,1.0,0.0006922483444213867,0.610526442527771
0,-1,0,6, color,,1.0,0.0012392401695251465,0.5066226124763489
0,-1,0,7, of,,1.0,0.0003381967544555664,0.7527075409889221
0,-1,0,9, animal,,1.0,0.0006428956985473633,0.6250805258750916
0,-1,0,11, goes,,1.0,0.0003515481948852539,0.7451290488243103
0,-1,0,13,h,,1.0,0.00033360719680786133,0.7560645341873169
0,-1,0,14,iss,,1.0,0.0007990002632141113,0.5881879329681396
0,-1,0,16, is,,1.0,0.00031810998916625977,0.7700836658477783
0,3320,80,14,iss,1.078125,1.0,0.0003317594528198242,0.7590574026107788
0,26795,230,16, is,3.21875,1.0,0.002501755952835083,0.4121236801147461
0,61424,349,9, animal,1.2734375,1.0,0.00039649009704589844,0.7211808562278748
0,827540,1285,1,Fact,2.046875,1.0,0.0003503561019897461,0.7454794049263
0,2338202,2161,2,:,5.28125,1.0,0.0016349852085113525,0.4716610908508301
0,2338202,2161,7, of,2.296875,1.0,0.0004443526268005371,0.698853611946106
0,2338202,2161,15,',4.84375,1.0,0.0005707144737243652,0.6455745697021484
0,2727279,2334,1,Fact,1.1796875,1.0,0.0003184676170349121,0.7688107490539551
0,4337984,2944,6, color,2.921875,1.0,0.00033289194107055664,0.7567309141159058
0,4337984,2944,9, animal,5.15625,1.0,0.000310361385345459,0.7750971913337708
0,4997540,3160,13,h,2.75,1.0,0.001021742820739746,0.5413445234298706
0,5318690,3260,11, goes,1.3125,1.0,0.0002606511116027832,0.800163984298706
0,5522825,3322,2,:,1.21875,1.0,0.0008417367935180664,0.5792204141616821
0,7336364,3829,15,',3.515625,1.0,0.0004360079765319824,0.7028281092643738
0,8058104,4013,5, common,1.0703125,1.0,0.0004493594169616699,0.695729672908783
0,9285894,4308,6, color,1.40625,1.0,0.0009583830833435059,0.554214596748352
0,11359760,4765,15,',3.453125,1.0,0.00033980607986450195,0.7513529062271118
0,13527800,5200,16, is,2.875,1.0,0.004316478967666626,0.37122097611427307
0,16447979,5734,5, common,1.2265625,1.0,0.0004964470863342285,0.6726633906364441
0,17538002,5921,5, common,1.1640625,1.0,0.0003592371940612793,0.7412092089653015
0,24482502,6996,5, common,1.484375,1.0,0.0004674196243286133,0.6856659054756165
0,24650730,7020,14,iss,1.046875,1.0,0.00026404857635498047,0.7972849011421204
0,26780220,7317,4, most,1.46875,1.0,0.0003968477249145508,0.7207843661308289
0,28557902,7556,6, color,1.109375,1.0,0.0004228949546813965,0.7101098895072937
0,35217027,8391,14,iss,1.21875,1.0,0.00039386749267578125,0.7223641872406006
0,42832139,9254,9, animal,1.4140625,1.0,0.00028455257415771484,0.7863328456878662
0,43912505,9370,14,iss,1.046875,1.0,0.00032651424407958984,0.7630054354667664
0,44363489,9418,1,Fact,2.6875,1.0,0.0007590055465698242,0.5952173471450806
0,57926465,10762,14,iss,1.15625,1.0,0.00032269954681396484,0.7656028270721436
0,70252730,11852,1,Fact,1.65625,1.0,0.000314176082611084,0.7716643810272217
0,71586594,11964,14,iss,1.984375,1.0,0.0007170438766479492,0.6069909334182739
0,74011860,12165,12, ',3.4375,1.0,0.0006048679351806641,0.634443998336792
0,75208979,12263,9, animal,1.375,1.0,0.0003362894058227539,0.7540565133094788
0,80981900,12725,5, common,1.328125,1.0,0.0003635883331298828,0.7394058108329773
0,81721719,12783,5, common,0.94921875,1.0,0.00027740001678466797,0.789982795715332
0,87285077,13211,6, color,1.3125,1.0,0.0005403757095336914,0.6560288667678833
0,91226277,13506,8, the,3.265625,1.0,0.00039392709732055664,0.7219703197479248
