layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06013619899749756,0.06013619899749756
-1,1,18143,1,Fact,,1.0,0.03686396777629852,0.13915711641311646
-1,2,235292,2,:,,1.0,0.019787192344665527,0.21999591588974
-1,3,714,3, The,,1.0,0.01436913013458252,0.28050780296325684
-1,4,1546,4, most,,1.0,0.016059234738349915,0.2360551506280899
-1,5,3818,5, common,,1.0,0.015118822455406189,0.2511739730834961
-1,6,2881,6, color,,1.0,0.042156949639320374,0.10229314863681793
-1,7,576,7, of,,1.0,0.009668946266174316,0.3017820119857788
-1,8,573,8, the,,1.0,0.008683055639266968,0.3104650676250458
-1,9,8205,9, animal,,1.0,0.014964699745178223,0.2661386728286743
-1,10,674,10, that,,1.0,0.008488863706588745,0.3275352418422699
-1,11,6128,11, goes,,1.0,0.008581310510635376,0.31904637813568115
-1,12,777,12, ',,1.0,0.011605262756347656,0.2921130657196045
-1,13,50788,13,hoot,,1.0,0.02689993381500244,0.20020872354507446
-1,14,235303,14,',,1.0,0.008365124464035034,0.33590036630630493
-1,15,603,15, is,,1.0,0.034151673316955566,0.17330878973007202
0,-1,0,1,Fact,,1.0,0.0010294914245605469,0.5653697848320007
0,-1,0,2,:,,1.0,0.0008509159088134766,0.601966381072998
0,-1,0,3, The,,1.0,0.0004786252975463867,0.7027967572212219
0,-1,0,4, most,,1.0,0.0003159642219543457,0.7839651703834534
0,-1,0,5, common,,1.0,0.0006093382835388184,0.6513180136680603
0,-1,0,6, color,,1.0,0.001180112361907959,0.5367875695228577
0,-1,0,7, of,,1.0,0.0003954768180847168,0.7385332584381104
0,-1,0,9, animal,,1.0,0.0005751848220825195,0.6620593667030334
0,-1,0,11, goes,,1.0,0.00042307376861572266,0.725861668586731
0,-1,0,13,hoot,,1.0,0.001624464988708496,0.4865516126155853
0,-1,0,15, is,,1.0,0.00035458803176879883,0.7622884511947632
0,26795,230,15, is,3.203125,1.0,0.002897292375564575,0.4181223511695862
0,61424,349,9, animal,1.2734375,1.0,0.00037175416946411133,0.7480900883674622
0,216152,656,13,hoot,4.125,1.0,0.0012428760528564453,0.5234957337379456
0,827540,1285,1,Fact,2.046875,1.0,0.00035059452056884766,0.7636960744857788
0,2338202,2161,2,:,5.28125,1.0,0.0016798973083496094,0.48492714762687683
0,2338202,2161,7, of,2.296875,1.0,0.00043576955795288086,0.7224258780479431
0,2338202,2161,14,',4.59375,1.0,0.000495612621307373,0.6954666376113892
0,2727279,2334,1,Fact,1.1796875,1.0,0.0003057122230529785,0.7867486476898193
0,4337984,2944,6, color,2.921875,1.0,0.00035649538040161133,0.7612220048904419
0,4337984,2944,9, animal,5.15625,1.0,0.0003350377082824707,0.772600531578064
0,4997540,3160,13,hoot,2.375,1.0,0.0006811022758483887,0.6321276426315308
0,5522825,3322,2,:,1.21875,1.0,0.0007455945014953613,0.6185771822929382
0,7336364,3829,14,',3.546875,1.0,0.00043451786041259766,0.7232950925827026
0,8058104,4013,5, common,1.0703125,1.0,0.0004589557647705078,0.7121787071228027
0,9285894,4308,6, color,1.40625,1.0,0.0010143518447875977,0.5694349408149719
0,11359760,4765,14,',3.28125,1.0,0.00043457746505737305,0.72372967004776
0,13527800,5200,15, is,2.75,1.0,0.004378587007522583,0.38624805212020874
0,16447979,5734,5, common,1.2265625,1.0,0.0004970431327819824,0.694474995136261
0,17538002,5921,5, common,1.1640625,1.0,0.00035268068313598633,0.7626411318778992
0,24482502,6996,5, common,1.484375,1.0,0.0005357861518859863,0.6780680418014526
0,26780220,7317,4, most,1.46875,1.0,0.00040286779403686523,0.7345438003540039
0,28557902,7556,6, color,1.109375,1.0,0.00045311450958251953,0.7149119973182678
0,33615899,8198,13,hoot,1.0234375,1.0,0.00030219554901123047,0.7888761162757874
0,44363489,9418,1,Fact,2.6875,1.0,0.000729680061340332,0.6229981184005737
0,53338955,10327,13,hoot,1.328125,1.0,0.0003231167793273926,0.7795040607452393
