layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05975538492202759,0.05975538492202759
-1,1,18143,1,Fact,,1.0,0.03889646381139755,0.14200982451438904
-1,2,235292,2,:,,1.0,0.01945190131664276,0.19415396451950073
-1,3,714,3, The,,1.0,0.014910310506820679,0.24268335103988647
-1,4,1546,4, most,,1.0,0.01643224060535431,0.2277730405330658
-1,5,3818,5, common,,1.0,0.01479429006576538,0.25747764110565186
-1,6,2881,6, color,,1.0,0.0433579757809639,0.10311336070299149
-1,7,576,7, of,,1.0,0.010058760643005371,0.29245132207870483
-1,8,573,8, the,,1.0,0.0081709623336792,0.33554595708847046
-1,9,8205,9, animal,,1.0,0.013910800218582153,0.271388441324234
-1,10,674,10, that,,1.0,0.008653908967971802,0.3190462291240692
-1,11,6128,11, goes,,1.0,0.008328765630722046,0.32737499475479126
-1,12,777,12, ',,1.0,0.011004120111465454,0.28239256143569946
-1,13,117712,13,meow,,1.0,0.017186835408210754,0.2113407999277115
-1,14,235303,14,',,1.0,0.00905907154083252,0.30151039361953735
-1,15,603,15, is,,1.0,0.03269223868846893,0.17470206320285797
0,-1,0,1,Fact,,1.0,0.0010967850685119629,0.5681915283203125
0,-1,0,2,:,,1.0,0.0009503364562988281,0.59864342212677
0,-1,0,3, The,,1.0,0.00043398141860961914,0.7413041591644287
0,-1,0,4, most,,1.0,0.0003178715705871582,0.7946394085884094
0,-1,0,5, common,,1.0,0.000684201717376709,0.6518421173095703
0,-1,0,6, color,,1.0,0.0012229084968566895,0.5476782917976379
0,-1,0,7, of,,1.0,0.00036275386810302734,0.7735617160797119
0,-1,0,9, animal,,1.0,0.0005936622619628906,0.6721681356430054
0,-1,0,11, goes,,1.0,0.0004201531410217285,0.7481095194816589
0,-1,0,13,meow,,1.0,0.0011284947395324707,0.5581926107406616
0,-1,0,15, is,,1.0,0.00044035911560058594,0.7391218543052673
0,26795,230,15, is,3.21875,1.0,0.002562612295150757,0.4548780024051666
0,61424,349,9, animal,1.2734375,1.0,0.00032579898834228516,0.7904491424560547
0,827540,1285,1,Fact,2.046875,1.0,0.0003593564033508301,0.7757301926612854
0,2338202,2161,2,:,5.28125,1.0,0.0017434656620025635,0.49651938676834106
0,2338202,2161,7, of,2.296875,1.0,0.00044804811477661133,0.7351183891296387
0,2338202,2161,14,',4.6875,1.0,0.000605463981628418,0.6703650951385498
0,4337984,2944,6, color,2.921875,1.0,0.00033849477767944336,0.785804033279419
0,5522825,3322,2,:,1.21875,1.0,0.0007286667823791504,0.6447659730911255
0,7336364,3829,14,',3.359375,1.0,0.00040352344512939453,0.7538442015647888
0,8058104,4013,5, common,1.0703125,1.0,0.0004521608352661133,0.7310707569122314
0,9285894,4308,6, color,1.40625,1.0,0.0010608434677124023,0.5757243037223816
0,11359760,4765,14,',3.046875,1.0,0.00037097930908203125,0.768045961856842
0,13527800,5200,15, is,2.90625,1.0,0.0042900145053863525,0.3959852457046509
0,16447979,5734,5, common,1.2265625,1.0,0.0005728602409362793,0.6785568594932556
0,17538002,5921,5, common,1.1640625,1.0,0.00041234493255615234,0.7501855492591858
