layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06107455864548683,0.06107455864548683
-1,1,18143,1,Fact,,1.0,0.03721443563699722,0.13746803998947144
-1,2,235292,2,:,,1.0,0.01991523802280426,0.1883964091539383
-1,3,714,3, The,,1.0,0.0139179527759552,0.2648058235645294
-1,4,1546,4, most,,1.0,0.01585938036441803,0.20425578951835632
-1,5,3818,5, common,,1.0,0.01563701033592224,0.21989279985427856
-1,6,2881,6, color,,1.0,0.03917904570698738,0.10025360435247421
-1,7,576,7, of,,1.0,0.009916365146636963,0.2848825454711914
-1,8,573,8, the,,1.0,0.008503079414367676,0.3197336196899414
-1,9,8205,9, animal,,1.0,0.015560179948806763,0.23545297980308533
-1,10,674,10, that,,1.0,0.008678853511810303,0.3026280999183655
-1,11,6128,11, goes,,1.0,0.008602440357208252,0.31123054027557373
-1,12,777,12, ',,1.0,0.010160356760025024,0.27496618032455444
-1,13,45001,13,neigh,,1.0,0.015434890985488892,0.2508878707885742
-1,14,235303,14,',,1.0,0.008359789848327637,0.32809340953826904
-1,15,603,15, is,,1.0,0.031013131141662598,0.16848117113113403
0,-1,0,1,Fact,,1.0,0.0009862184524536133,0.577645480632782
0,-1,0,2,:,,1.0,0.0008515119552612305,0.6088950037956238
0,-1,0,3, The,,1.0,0.0004639625549316406,0.7195595502853394
0,-1,0,4, most,,1.0,0.0003069639205932617,0.7949413061141968
0,-1,0,5, common,,1.0,0.0006213784217834473,0.661642849445343
0,-1,0,6, color,,1.0,0.0011444091796875,0.5535061359405518
0,-1,0,7, of,,1.0,0.0004259347915649414,0.7360331416130066
0,-1,0,9, animal,,1.0,0.0006216764450073242,0.6610214710235596
0,-1,0,11, goes,,1.0,0.00042253732681274414,0.7381511926651001
0,-1,0,13,neigh,,1.0,0.0009335875511169434,0.5901743173599243
0,-1,0,15, is,,1.0,0.0003114938735961914,0.7921639084815979
0,26795,230,15, is,3.203125,1.0,0.002800971269607544,0.42761996388435364
0,61424,349,9, animal,1.2734375,1.0,0.0003695487976074219,0.7652989029884338
0,827540,1285,1,Fact,2.046875,1.0,0.00034993886947631836,0.7739384174346924
0,2338202,2161,2,:,5.28125,1.0,0.001722484827041626,0.48122638463974
0,2338202,2161,7, of,2.296875,1.0,0.00046324729919433594,0.7204862833023071
0,2338202,2161,14,',4.75,1.0,0.0005218386650085449,0.6960325241088867
0,2727279,2334,1,Fact,1.1796875,1.0,0.0003153681755065918,0.7906033992767334
0,4337984,2944,6, color,2.921875,1.0,0.00035309791564941406,0.771831750869751
0,4337984,2944,9, animal,5.15625,1.0,0.00033527612686157227,0.7821521162986755
0,5522825,3322,2,:,1.21875,1.0,0.0007035732269287109,0.6445242166519165
0,7336364,3829,14,',3.46875,1.0,0.00036656856536865234,0.7675058841705322
0,8058104,4013,5, common,1.0703125,1.0,0.0004341006278991699,0.7326071858406067
0,9285894,4308,6, color,1.40625,1.0,0.000958859920501709,0.5854519009590149
0,11359760,4765,14,',3.1875,1.0,0.00045299530029296875,0.7250773310661316
0,13527800,5200,15, is,2.78125,1.0,0.004066675901412964,0.4001690745353699
0,16447979,5734,5, common,1.2265625,1.0,0.0005254745483398438,0.692894458770752
0,17538002,5921,5, common,1.1640625,1.0,0.00034749507904052734,0.7760298848152161
0,24482502,6996,5, common,1.484375,1.0,0.000556647777557373,0.6837115287780762
0,26780220,7317,4, most,1.46875,1.0,0.000395357608795166,0.7515707015991211
0,28557902,7556,6, color,1.109375,1.0,0.0004647970199584961,0.7190955877304077
0,44363489,9418,1,Fact,2.6875,1.0,0.0007146596908569336,0.6416873335838318
0,74011860,12165,12, ',3.4375,1.0,0.0005735158920288086,0.6752465963363647
0,75208979,12263,9, animal,1.375,1.0,0.00030815601348876953,0.7937114238739014
0,80981900,12725,5, common,1.328125,1.0,0.00036919116973876953,0.7656680941581726
0,81721719,12783,5, common,0.94921875,1.0,0.00030857324600219727,0.7934032678604126
0,87285077,13211,6, color,1.3125,1.0,0.0004994869232177734,0.7041653990745544
0,91226277,13506,8, the,3.265625,1.0,0.0003743767738342285,0.7623254656791687
0,125112470,15817,1,Fact,2.53125,1.0,0.00043588876724243164,0.7313041090965271
0,129387740,16085,4, most,1.4296875,1.0,0.00033676624298095703,0.7811446189880371
0,133456952,16336,1,Fact,0.88671875,1.0,0.0003191232681274414,0.7890192270278931
0,157380410,17740,4, most,2.296875,1.0,0.0005397796630859375,0.6886362433433533
0,174219110,18665,14,',3.09375,1.0,0.00032383203506469727,0.7867723107337952
0,175865634,18753,2,:,7.96875,1.0,0.002197176218032837,0.4516046941280365
0,175865634,18753,7, of,6.90625,1.0,0.0010591745376586914,0.566551685333252
0,175865634,18753,8, the,6.75,1.0,0.0006194114685058594,0.6622622609138489
0,175865634,18753,10, that,4.28125,1.0,0.000527501106262207,0.6918427348136902
0,175865634,18753,12, ',5.25,1.0,0.0006409883499145508,0.6572601199150085
0,175865634,18753,14,',6.5,1.0,0.0006729960441589355,0.6500634551048279
0,175865634,18753,15, is,5.375,1.0,0.0023125410079956055,0.44492974877357483
0,203464877,20171,10, that,2.53125,1.0,0.0007605552673339844,0.6290935277938843
0,247297679,22238,9, animal,2.40625,1.0,0.0009412765502929688,0.5892407298088074
0,264603509,23003,2,:,2.375,1.0,0.0011635422706604004,0.550068199634552
0,266516327,23086,1,Fact,1.328125,1.0,0.0004159212112426758,0.7406601309776306
0,279105750,23625,13,neigh,2.28125,1.0,0.0005716085433959961,0.6769625544548035
0,308649434,24844,1,Fact,1.984375,1.0,0.0003032684326171875,0.7976835370063782
0,312112619,24983,3, The,1.7421875,1.0,0.0004464387893676758,0.727328360080719
0,332574944,25789,2,:,0.73828125,1.0,0.00034999847412109375,0.7735884785652161
0,337623104,25984,8, the,2.9375,1.0,0.0004962682723999023,0.7056561708450317
0,357687630,26745,9, animal,1.515625,1.0,0.0004776120185852051,0.7139230966567993
0,380811002,27596,5, common,1.875,1.0,0.0007758140563964844,0.6237233877182007
0,398141870,28217,14,',3.359375,1.0,0.00039631128311157227,0.7511753439903259
0,408279599,28574,5, common,3.09375,1.0,0.0010896921157836914,0.5590466260910034
0,439012895,29630,5, common,0.91796875,1.0,0.0004011392593383789,0.7475901246070862
0,480794544,31008,6, color,2.59375,1.0,0.0010856986045837402,0.5601323246955872
0,503475777,31731,10, that,1.1875,1.0,0.0003192424774169922,0.7887001037597656
0,503856639,31743,12, ',2.359375,1.0,0.0003705620765686035,0.7649293541908264
0,519950627,32246,1,Fact,1.375,1.0,0.000398099422454834,0.749588668346405
0,591869214,34404,1,Fact,1.4921875,1.0,0.000538170337677002,0.6897135972976685
0,595832459,34519,5, common,2.015625,1.0,0.0005835890769958496,0.670621931552887
0,605711414,34804,2,:,1.234375,1.0,0.0005766749382019043,0.6740992665290833
0,615320739,35079,13,neigh,1.1328125,1.0,0.0003781318664550781,0.7589384317398071
0,617708525,35147,1,Fact,1.484375,1.0,0.00047534704208374023,0.7148739695549011
0,618095219,35158,6, color,3.8125,1.0,0.0022089779376983643,0.44940751791000366
0,622674404,35288,11, goes,4.03125,1.0,0.000740349292755127,0.6365850567817688
0,646075430,35945,3, The,3.84375,1.0,0.0009491443634033203,0.5873556733131409
0,765324125,39122,2,:,5.375,1.0,0.001517564058303833,0.5005559921264648
0,765324125,39122,7, of,4.125,1.0,0.0007507801055908203,0.6321125030517578
0,765324125,39122,8, the,4.3125,1.0,0.0004121065139770508,0.7423144578933716
0,765324125,39122,10, that,3.953125,1.0,0.00041991472244262695,0.7385711073875427
0,765324125,39122,12, ',4.3125,1.0,0.0004436969757080078,0.7291077971458435
0,765324125,39122,14,',5.1875,1.0,0.0004234910011291504,0.7377286553382874
0,775214999,39374,15, is,0.73828125,1.0,0.0008099675178527832,0.6197828650474548
0,803503827,40086,15, is,1.4296875,1.0,0.00048798322677612305,0.7086087465286255
0,831565370,40780,2,:,4.46875,1.0,0.001109778881072998,0.5557568669319153
0,831565370,40780,4, most,4.53125,1.0,0.0004982352256774902,0.7046636343002319
0,831565370,40780,7, of,5.53125,1.0,0.0009437799453735352,0.5882994532585144
0,831565370,40780,8, the,6.4375,1.0,0.0005176663398742676,0.6970685124397278
0,831565370,40780,10, that,7.96875,1.0,0.0009824037551879883,0.5796130895614624
0,831565370,40780,12, ',5.40625,1.0,0.0005720257759094238,0.6763909459114075
0,831565370,40780,14,',4.875,1.0,0.00047087669372558594,0.7162912487983704
0,831565370,40780,15, is,6.6875,1.0,0.0027286410331726074,0.43034860491752625
0,837939452,40936,7, of,5.3125,1.0,0.002027362585067749,0.4643433690071106
0,896020277,42331,13,neigh,2.125,1.0,0.00033986568450927734,0.7794570922851562
0,931069127,43151,1,Fact,1.8125,1.0,0.0004178285598754883,0.7398265600204468
0,948105284,43544,6, color,2.9375,1.0,0.002442777156829834,0.4378509521484375
0,950153027,43591,13,neigh,1.40625,1.0,0.0003820061683654785,0.7578002214431763
0,956265777,43731,5, common,1.671875,1.0,0.0004483461380004883,0.7268819212913513
0,977637870,44217,10, that,1.546875,1.0,0.0004838109016418457,0.711040735244751
0,996163929,44634,1,Fact,4.0625,1.0,0.0013915300369262695,0.5106594562530518
0,999916839,44718,1,Fact,0.7265625,1.0,0.0003371238708496094,0.7804709076881409
0,1011262877,44971,1,Fact,1.046875,1.0,0.0003891587257385254,0.7550987005233765
0,1048934502,45801,15, is,1.640625,1.0,0.0006476044654846191,0.6553299427032471
0,1063596380,46120,1,Fact,3.21875,1.0,0.00048726797103881836,0.7095837593078613
0,1072562769,46314,1,Fact,0.93359375,1.0,0.00031065940856933594,0.7927855849266052
0,1092991634,46753,5, common,1.796875,1.0,0.0005012750625610352,0.7026642560958862
0,1103019995,46967,9, animal,2.390625,1.0,0.0009109377861022949,0.5966132879257202
0,1146989459,47894,10, that,2.15625,1.0,0.0005475282669067383,0.6864637136459351
0,1160391224,48173,5, common,1.734375,1.0,0.0007686614990234375,0.6260361671447754
0,1164007124,48248,5, common,0.9921875,1.0,0.000504910945892334,0.701158881187439
0,1210246200,49197,13,neigh,3.296875,1.0,0.0008655190467834473,0.605461835861206
0,1228171140,49560,15, is,3.640625,1.0,0.004551917314529419,0.3748967945575714
0,1228865099,49574,5, common,1.953125,1.0,0.0009799003601074219,0.5815732479095459
0,1300423500,50997,14,',3.1875,1.0,0.0004898905754089355,0.7081207633018494
0,1304506580,51077,13,neigh,1.65625,1.0,0.00035762786865234375,0.7707644701004028
0,1322805329,51434,3, The,3.515625,1.0,0.0010986328125,0.5579569339752197
0,1322805329,51434,8, the,5.6875,1.0,0.001002967357635498,0.573675274848938
0,1324863549,51474,3, The,1.78125,1.0,0.000441133975982666,0.7299908399581909
0,1343822402,51841,11, goes,1.890625,1.0,0.00031554698944091797,0.7902880311012268
0,1357647885,52107,4, most,2.53125,1.0,0.0005626678466796875,0.6803553104400635
0,1443053502,53721,1,Fact,3.0625,1.0,0.0012180209159851074,0.5429641008377075
0,1468792899,54198,3, The,7.09375,1.0,0.0008252263069152832,0.6181578040122986
0,1489133450,54572,3, The,2.640625,1.0,0.0005116462707519531,0.6996397376060486
