,gap_closure,gap_closure,gap_closure,target_rank_improvement,target_first_top5,flip_position
,mean,std,count,mean,<lambda>,<lambda>
target_state,,,,,,
alabama,0.7640644444444444,1.7307284613390077,45,1.5777777777777777,1.0,1.0
alaska,1.7689042553191492,2.209342663107056,47,4363.744680851064,0.5319148936170213,0.9787234042553191
arizona,3.1986833333333333,3.8546102792952004,48,1067.25,0.4375,0.9791666666666666
arkansas,0.15944545454545453,0.4784771829774342,44,4255.272727272727,0.9318181818181818,0.9772727272727273
california,4.011108888888889,3.9835960760018545,45,3992.2,1.0,0.9777777777777777
colorado,22.835645833333334,8.772665320330844,48,215681.45833333334,0.9375,0.9791666666666666
connecticut,4.431942222222222,4.257263892053892,45,5236.2444444444445,0.9777777777777777,0.9777777777777777
delaware,0.2954866666666667,1.8270716321231335,45,4624.0888888888885,0.4222222222222222,0.9777777777777777
florida,3.8329652173913042,3.577794529856962,46,5299.826086956522,0.8913043478260869,0.9782608695652174
georgia,13.530744680851065,6.208402579527358,47,31371.82978723404,0.8936170212765957,0.9787234042553191
hawaii,8.992554545454546,3.9222611915360783,44,5373.295454545455,0.8636363636363636,0.9772727272727273
idaho,11.199419565217392,5.775732750727904,46,64088.32608695652,0.8478260869565217,0.9565217391304348
illinois,0.5695770833333333,1.400119259546491,48,4933.0,1.0,0.9791666666666666
indiana,2.822231111111111,4.091116835447606,45,45.75555555555555,0.8,1.0
iowa,0.31547619047619047,1.3128957287390461,42,1177.2619047619048,0.5238095238095238,0.9761904761904762
kansas,6.614229787234043,4.483512677573578,47,5444.702127659574,0.8297872340425532,0.9787234042553191
kentucky,0.37566595744680853,1.1068618373928973,47,5310.382978723404,0.9574468085106383,0.9787234042553191
louisiana,2.1006521739130433,2.7411992868279897,46,4165.239130434783,1.0,0.9782608695652174
maine,1.6888297872340425,2.439192896084855,47,153.2340425531915,0.1276595744680851,0.9574468085106383
maryland,4.125341304347827,3.833341725937253,46,4160.065217391304,0.43478260869565216,0.9782608695652174
massachusetts,7.256990697674418,3.8437948899005643,43,1155.2325581395348,0.7674418604651163,0.9767441860465116
michigan,3.75095,4.3941253399788724,46,3144.3260869565215,0.7391304347826086,0.9782608695652174
minnesota,1.3611688888888889,2.630780781684941,45,431.97777777777776,1.0,0.9777777777777777
mississippi,1.4601872340425532,3.0108076747969297,47,1973.5744680851064,0.9148936170212766,0.9787234042553191
missouri,0.8382638297872339,1.602024127189743,47,2753.553191489362,0.7872340425531915,0.9787234042553191
montana,1.1635,2.55178856873869,45,5485.644444444444,0.9777777777777777,0.9777777777777777
nebraska,0.6257844444444445,1.4607408763045795,45,3928.9333333333334,0.9777777777777777,0.9777777777777777
nevada,1.0518454545454545,1.8231291810810037,44,5070.363636363636,0.4090909090909091,0.9772727272727273
new,2.581291620111732,4.543607202184007,179,3377.167597765363,0.5977653631284916,0.9329608938547486
north,2.8506795454545455,3.9263021081425196,88,5288.909090909091,0.7840909090909091,0.9772727272727273
ohio,4.938479166666666,5.184212573662315,48,1654.9166666666667,0.7708333333333334,0.9791666666666666
oklahoma,20.676153333333335,5.779312594646216,45,152711.57777777777,0.9111111111111111,0.9777777777777777
oregon,1.1551886363636363,2.221483674883712,44,5110.636363636364,1.0,0.9772727272727273
pennsylvania,1.1875021739130436,2.258329793993697,46,3642.2391304347825,0.9565217391304348,0.9782608695652174
rhode,1.0482479166666667,1.551868301879559,48,4341.916666666667,0.10416666666666667,0.9791666666666666
south,1.1289119565217391,2.281113015147967,92,2438.0,0.532608695652174,0.9782608695652174
tennessee,7.520095918367346,4.980198498510508,49,7422.224489795918,0.8163265306122449,0.9795918367346939
texas,3.7447933333333334,3.5082585841644622,45,2597.2444444444445,0.9333333333333333,0.9777777777777777
utah,3.544029166666667,4.436505087650438,48,1461.0,0.6666666666666666,0.9791666666666666
vermont,0.08896666666666665,0.3865536500890441,48,9906.416666666666,0.0,0.9791666666666666
virginia,3.3202644444444447,3.551503328307577,45,5420.177777777778,0.26666666666666666,0.9777777777777777
washington,0.08965714285714284,0.3524908897925724,42,5627.5952380952385,0.8333333333333334,0.9761904761904762
west,1.488786956521739,2.2522567430723734,46,5338.804347826087,0.43478260869565216,0.9565217391304348
wisconsin,3.358115555555556,3.498098498207508,45,355.2888888888889,0.8888888888888888,0.9777777777777777
wyoming,2.6924217391304346,3.328008198568497,46,4494.260869565217,0.2826086956521739,0.9782608695652174
