feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,"entity: A major city in Alaska, USA is Anchorage", city,5,69.083984375,0.597744031970528,semantic,"[{""token"": "" city"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,government,"[{""tk"": ""government"", ""act"": 73.73577117919922}, {""tk"": ""state"", ""act"": 72.12992095947266}, {""tk"": ""city"", ""act"": 69.083984375}, {""tk"": ""capital"", ""act"": 60.64950942993164}, {""tk"": ""USA"", ""act"": 57.928218841552734}, {""tk"": ""Alaska"", ""act"": 57.33005142211914}, {""tk"": ""relationship"", ""act"": 51.8544807434082}, {""tk"": ""attribute"", ""act"": 50.58573913574219}, {""tk"": ""United"", ""act"": 44.38002395629883}, {""tk"": ""seat"", ""act"": 44.13238525390625}, {""tk"": ""located"", ""act"": 41.876251220703125}, {""tk"": ""States"", ""act"": 40.910552978515625}, {""tk"": ""serving"", ""act"": 31.4293155670166}, {""tk"": ""Anchorage"", ""act"": 28.862621307373047}, {""tk"": ""containing"", ""act"": 27.732948303222656}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}]"
0_32742,0,32742,"entity: A major city in Alaska, USA is Anchorage", Alaska,7,65.45753479003906,0.8781539986532615,semantic,"[{""token"": "" Alaska"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Alaska,"[{""tk"": ""Alaska"", ""act"": 65.72195434570312}, {""tk"": ""Anchorage"", ""act"": 22.275592803955078}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_18753,0,18753,"entity: A major city in Alaska, USA is Anchorage",",",8,60.53855895996094,0.7076106608759153,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Alaska"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""the"", ""act"": 45.698326110839844}, {""tk"": ""is"", ""act"": 43.13432312011719}, {""tk"": ""of"", ""act"": 41.465484619140625}, {""tk"": ""in"", ""act"": 39.97174072265625}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_39122,0,39122,"entity: A major city in Alaska, USA is Anchorage",",",8,59.68437957763672,0.7664254076359304,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Alaska"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""of"", ""act"": 40.620758056640625}, {""tk"": ""in"", ""act"": 38.414180755615234}, {""tk"": ""the"", ""act"": 38.37458801269531}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_2161,0,2161,"entity: A major city in Alaska, USA is Anchorage",",",8,59.164794921875,0.8187248421304266,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Alaska"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""of"", ""act"": 35.450897216796875}, {""tk"": ""in"", ""act"": 23.877574920654297}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_40780,0,40780,"entity: A major city in Alaska, USA is Anchorage", is,10,50.59455490112305,0.6685036187730146,functional,"[{""token"": "" Anchorage"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,which,"[{""tk"": ""which"", ""act"": 59.63111114501953}, {""tk"": ""the"", ""act"": 57.446224212646484}, {""tk"": ""is"", ""act"": 50.90119552612305}, {""tk"": ""in"", ""act"": 48.9953727722168}, {""tk"": ""of"", ""act"": 37.325950622558594}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_54198,0,54198,"entity: A major city in Alaska, USA is Anchorage", A,3,47.78662109375,0.9090909090909092,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.88051223754883}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_91045,0,91045,"entity: A major city in Alaska, USA is Anchorage", is,10,47.59848403930664,0.9090909090909092,functional,"[{""token"": "" Anchorage"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8333333333333334,False,,is,"[{""tk"": ""is"", ""act"": 62.202613830566406}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_5200,0,5200,"entity: A major city in Alaska, USA is Anchorage", is,10,47.163307189941406,0.9090909090909092,functional,"[{""token"": "" Anchorage"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8333333333333334,False,,is,"[{""tk"": ""is"", ""act"": 47.163307189941406}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_95057,0,95057,"entity: A major city in Alaska, USA is Anchorage",:,2,44.88917541503906,0.6622549201838406,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 35.754493713378906}, {""tk"": ""The"", ""act"": 34.39540481567383}, {""tk"": ""in"", ""act"": 20.475749969482422}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Alaska"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Anchorage"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
