layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06399296969175339,0.145367830991745
-1,1,651,1,The,,1.0,0.0348765105009079,0.24005751311779022
-1,2,6037,2, capital,,1.0,0.032300129532814026,0.27235764265060425
-1,3,576,3, of,,1.0,0.01608484983444214,0.3121068477630615
-1,4,573,4, the,,1.0,0.012098312377929688,0.3626948595046997
-1,5,2329,5, state,,1.0,0.012145787477493286,0.35059654712677
-1,6,10751,6, containing,,1.0,0.023664355278015137,0.2960219979286194
-1,7,75989,7, Tucson,,1.0,0.08137486129999161,0.08137486129999161
-1,8,603,8, is,,1.0,0.05981317162513733,0.20518100261688232
0,-1,0,2, capital,,1.0,0.0021448135375976562,0.5350174903869629
0,-1,0,3, of,,1.0,0.0006374120712280273,0.7574561238288879
0,-1,0,5, state,,1.0,0.0011062026023864746,0.6476041674613953
0,-1,0,6, containing,,1.0,0.0013412237167358398,0.6161683201789856
0,-1,0,7, Tucson,,1.0,0.001397252082824707,0.6080163717269897
0,-1,0,8, is,,1.0,0.0007413625717163086,0.7320593595504761
0,26795,230,8, is,3.421875,1.0,0.004990190267562866,0.43302688002586365
0,37949,274,7, Tucson,1.046875,1.0,0.0007319450378417969,0.7350009083747864
0,1329264,1629,7, Tucson,0.70703125,1.0,0.0006414651870727539,0.7561801075935364
0,2338202,2161,3, of,3.9375,1.0,0.001065671443939209,0.6595051288604736
0,13527800,5200,8, is,2.9375,1.0,0.005586028099060059,0.4280366897583008
0,17508402,5916,2, capital,2.015625,1.0,0.0005230307579040527,0.784262478351593
0,35385077,8411,7, Tucson,1.765625,1.0,0.001438140869140625,0.5995143055915833
0,37658180,8677,7, Tucson,1.03125,1.0,0.00047975778579711914,0.7978285551071167
0,75466754,12284,1,The,2.8125,1.0,0.000535130500793457,0.7810955047607422
0,89091225,13347,5, state,3.25,1.0,0.0012846589088439941,0.6240461468696594
0,109690265,14810,3, of,1.8125,1.0,0.0005422830581665039,0.7784057855606079
0,119065595,15430,2, capital,1.265625,1.0,0.0005761981010437012,0.7683203220367432
0,122265702,15636,3, of,2.359375,1.0,0.001077890396118164,0.6552207469940186
0,157753202,17761,7, Tucson,1.5546875,1.0,0.0009682774543762207,0.6849266290664673
0,175865634,18753,3, of,6.0,1.0,0.0015541911125183105,0.5921177268028259
0,175865634,18753,4, the,6.53125,1.0,0.0007521510124206543,0.7290723919868469
