layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.0673660933971405,0.0673660933971405
-1,1,651,1,The,,1.0,0.03668533265590668,0.22456170618534088
-1,2,6037,2, capital,,1.0,0.034689173102378845,0.2592508792877197
-1,3,576,3, of,,1.0,0.01577487587928772,0.2983444631099701
-1,4,573,4, the,,1.0,0.012342780828475952,0.3236115872859955
-1,5,2329,5, state,,1.0,0.012924343347549438,0.31126880645751953
-1,6,10751,6, containing,,1.0,0.023318707942962646,0.2825695872306824
-1,7,158729,7, Fayetteville,,1.0,0.06277556717395782,0.13014166057109833
-1,8,603,8, is,,1.0,0.057734712958335876,0.1878763735294342
0,-1,0,2, capital,,1.0,0.0021463632583618164,0.5203202366828918
0,-1,0,3, of,,1.0,0.0005974173545837402,0.7580639123916626
0,-1,0,5, state,,1.0,0.0010480284690856934,0.6611467003822327
0,-1,0,6, containing,,1.0,0.0013486742973327637,0.6073306798934937
0,-1,0,7, Fayetteville,,1.0,0.002537935972213745,0.49021369218826294
0,-1,0,8, is,,1.0,0.0009537339210510254,0.6771629452705383
0,26795,230,8, is,3.421875,1.0,0.005090296268463135,0.40707865357398987
0,2338202,2161,3, of,3.9375,1.0,0.0011758804321289062,0.6399810910224915
0,13527800,5200,8, is,3.0,1.0,0.0053379833698272705,0.39672234654426575
0,17508402,5916,2, capital,2.015625,1.0,0.0004928708076477051,0.7926009297370911
0,19628244,6264,2, capital,1.484375,1.0,0.0005220770835876465,0.7834252715110779
0,46662629,9659,7, Fayetteville,1.4609375,1.0,0.0011101961135864258,0.6514760851860046
0,75466754,12284,1,The,2.8125,1.0,0.000598609447479248,0.7574664950370789
0,89091225,13347,5, state,3.25,1.0,0.0012958645820617676,0.6164950132369995
0,118803404,15413,6, containing,1.34375,1.0,0.0004680752754211426,0.8002734780311584
0,119065595,15430,2, capital,1.265625,1.0,0.0006974935531616211,0.7308138012886047
0,122265702,15636,3, of,2.359375,1.0,0.0009861588478088379,0.672326922416687
0,122422127,15646,7, Fayetteville,3.03125,1.0,0.0018579363822937012,0.5382622480392456
0,157753202,17761,7, Fayetteville,1.7578125,1.0,0.0011702775955200195,0.6434963345527649
0,175865634,18753,3, of,6.0,1.0,0.001612246036529541,0.5722718238830566
0,175865634,18753,4, the,6.53125,1.0,0.0008566975593566895,0.6907898187637329
0,175865634,18753,8, is,5.6875,1.0,0.006824135780334473,0.37331169843673706
0,184425614,19204,1,The,2.5,1.0,0.0007280111312866211,0.7265439629554749
0,188441990,19412,7, Fayetteville,1.125,1.0,0.0005513429641723633,0.7716718316078186
