layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06639953702688217,0.06639953702688217
-1,1,651,1,The,,1.0,0.03620137274265289,0.2205103486776352
-1,2,6037,2, capital,,1.0,0.03319971263408661,0.2537100613117218
-1,3,576,3, of,,1.0,0.015691101551055908,0.3105924427509308
-1,4,573,4, the,,1.0,0.012761861085891724,0.3233543038368225
-1,5,2329,5, state,,1.0,0.016198068857192993,0.2949013411998749
-1,6,10751,6, containing,,1.0,0.024993211030960083,0.2787032723426819
-1,7,49024,7, Oakland,,1.0,0.06403178721666336,0.13043132424354553
-1,8,603,8, is,,1.0,0.05387765169143677,0.1843089759349823
0,-1,0,2, capital,,1.0,0.00217515230178833,0.5336897373199463
0,-1,0,3, of,,1.0,0.0005608201026916504,0.7778292298316956
0,-1,0,5, state,,1.0,0.001222848892211914,0.6455650925636292
0,-1,0,6, containing,,1.0,0.001248002052307129,0.6431016325950623
0,-1,0,7, Oakland,,1.0,0.001921236515045166,0.5559578537940979
0,-1,0,8, is,,1.0,0.0007097125053405762,0.7362896800041199
0,26795,230,8, is,3.421875,1.0,0.004934638738632202,0.4091062843799591
0,2338202,2161,3, of,3.9375,1.0,0.0012025237083435059,0.6504060626029968
0,13527800,5200,8, is,2.96875,1.0,0.004999369382858276,0.4041716456413269
0,17508402,5916,2, capital,2.015625,1.0,0.0005742907524108887,0.7738460302352905
0,19628244,6264,2, capital,1.484375,1.0,0.0005049705505371094,0.7965691685676575
0,44090744,9389,7, Oakland,1.4140625,1.0,0.0008596181869506836,0.6996828317642212
0,46662629,9659,7, Oakland,1.0546875,1.0,0.0010991096496582031,0.6630679368972778
0,75466754,12284,1,The,2.8125,1.0,0.0005431175231933594,0.7855387330055237
0,89091225,13347,5, state,3.25,1.0,0.0014227032661437988,0.6195189952850342
0,109690265,14810,3, of,1.8125,1.0,0.0005263090133666992,0.7919521927833557
0,119065595,15430,2, capital,1.265625,1.0,0.0005792975425720215,0.770965576171875
0,122265702,15636,3, of,2.359375,1.0,0.000977933406829834,0.6787667274475098
0,157753202,17761,7, Oakland,2.4375,1.0,0.0013524293899536133,0.6236478090286255
0,167930300,18325,7, Oakland,1.078125,1.0,0.0005435347557067871,0.7849956154823303
0,175865634,18753,3, of,6.0,1.0,0.0015461444854736328,0.5973878502845764
0,175865634,18753,4, the,6.53125,1.0,0.0008251667022705078,0.7072610259056091
0,175865634,18753,8, is,5.53125,1.0,0.006469249725341797,0.369333952665329
0,184425614,19204,1,The,2.5,1.0,0.0007309317588806152,0.7312802672386169
0,186003827,19286,7, Oakland,1.046875,1.0,0.0005450248718261719,0.7844520807266235
0,228969299,21398,7, Oakland,1.4375,1.0,0.0007039904594421387,0.737701416015625
0,271316864,23293,2, capital,1.3515625,1.0,0.000684201717376709,0.744625985622406
