layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05704584717750549,0.12533356249332428
-1,1,651,1,The,,1.0,0.03163944184780121,0.2365751713514328
-1,2,6037,2, capital,,1.0,0.029978081583976746,0.26655325293540955
-1,3,576,3, of,,1.0,0.014967918395996094,0.3254334032535553
-1,4,573,4, the,,1.0,0.010260999202728271,0.34678590297698975
-1,5,2329,5, state,,1.0,0.011091500520706177,0.3365249037742615
-1,6,10751,6, containing,,1.0,0.02058941125869751,0.3104654848575592
-1,7,18649,7, Colorado,,1.0,0.06828771531581879,0.06828771531581879
-1,8,25860,8, Springs,,1.0,0.03572109341621399,0.2049357295036316
-1,9,603,9, is,,1.0,0.04388107359409332,0.1692146360874176
0,-1,0,2, capital,,1.0,0.0016884207725524902,0.5355079174041748
0,-1,0,3, of,,1.0,0.00047516822814941406,0.7806259393692017
0,-1,0,5, state,,1.0,0.0009329319000244141,0.6628542542457581
0,-1,0,6, containing,,1.0,0.0010790824890136719,0.6316938400268555
0,-1,0,7, Colorado,,1.0,0.0017737150192260742,0.523433268070221
0,-1,0,8, Springs,,1.0,0.0030980706214904785,0.4453710615634918
0,-1,0,9, is,,1.0,0.000577390193939209,0.7410259246826172
0,26795,230,9, is,3.421875,1.0,0.004398763179779053,0.4157233238220215
0,2087945,2042,8, Springs,0.88671875,1.0,0.0004334449768066406,0.7983729839324951
0,2338202,2161,3, of,3.9375,1.0,0.001033484935760498,0.642228364944458
0,8667365,4162,8, Springs,1.3046875,1.0,0.0005263090133666992,0.7586161494255066
0,13527800,5200,9, is,3.1875,1.0,0.004648536443710327,0.39329108595848083
0,17508402,5916,2, capital,2.015625,1.0,0.0005090236663818359,0.7658513784408569
0,47623919,9758,8, Springs,1.046875,1.0,0.0004553794860839844,0.7894824743270874
0,51111104,10109,8, Springs,2.40625,1.0,0.0010905265808105469,0.6273547410964966
0,75466754,12284,1,The,2.8125,1.0,0.0004659295082092285,0.7862626910209656
0,89091225,13347,5, state,3.25,1.0,0.0010842084884643555,0.6306147575378418
0,119065595,15430,2, capital,1.265625,1.0,0.0005024075508117676,0.7688767313957214
0,122265702,15636,3, of,2.359375,1.0,0.00102996826171875,0.6432583332061768
0,156193974,17673,7, Colorado,0.9921875,1.0,0.0006445646286010742,0.7257521748542786
0,162964430,18052,8, Springs,1.9453125,1.0,0.0006992220878601074,0.7124273180961609
0,175865634,18753,3, of,6.0,1.0,0.0017087459564208984,0.5338194966316223
0,175865634,18753,4, the,6.53125,1.0,0.0008112788200378418,0.6855617761611938
0,175865634,18753,9, is,5.8125,1.0,0.00466349720954895,0.3886425495147705
0,184425614,19204,1,The,2.5,1.0,0.0006598234176635742,0.7205407619476318
