layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06608977168798447,0.1336413025856018
-1,1,651,1,The,,1.0,0.03598420321941376,0.2218416929244995
-1,2,6037,2, capital,,1.0,0.033249616622924805,0.2550913095474243
-1,3,576,3, of,,1.0,0.015995174646377563,0.294664591550827
-1,4,573,4, the,,1.0,0.012385159730911255,0.3203665614128113
-1,5,2329,5, state,,1.0,0.013316810131072998,0.3079814016819
-1,6,10751,6, containing,,1.0,0.023578107357025146,0.27866941690444946
-1,7,88967,7, Wilmington,,1.0,0.06755153089761734,0.06755153089761734
-1,8,603,8, is,,1.0,0.05221618711948395,0.18585748970508575
0,-1,0,2, capital,,1.0,0.0021196603775024414,0.5155494809150696
0,-1,0,3, of,,1.0,0.0006244778633117676,0.7519310712814331
0,-1,0,5, state,,1.0,0.0010887384414672852,0.6518229246139526
0,-1,0,6, containing,,1.0,0.0013546347618103027,0.6048176288604736
0,-1,0,7, Wilmington,,1.0,0.0020467638969421387,0.526016116142273
0,-1,0,8, is,,1.0,0.0010326504707336426,0.6613069176673889
0,26795,230,8, is,3.453125,1.0,0.004395425319671631,0.418775737285614
0,2338202,2161,3, of,3.9375,1.0,0.0011724233627319336,0.6394411325454712
0,13527800,5200,8, is,2.90625,1.0,0.004771232604980469,0.4007074534893036
0,17508402,5916,2, capital,2.015625,1.0,0.000519871711730957,0.773817241191864
0,19628244,6264,2, capital,1.484375,1.0,0.0005182623863220215,0.774335503578186
0,27710289,7443,7, Wilmington,1.4296875,1.0,0.0007982254028320312,0.7034146785736084
0,48132765,9810,7, Wilmington,0.92578125,1.0,0.0004832148551940918,0.7859818935394287
0,75466754,12284,1,The,2.8125,1.0,0.0005782842636108398,0.7591500282287598
0,89091225,13347,5, state,3.25,1.0,0.0013982653617858887,0.59515780210495
0,109690265,14810,3, of,1.8125,1.0,0.0005089044570922852,0.7799856662750244
0,119065595,15430,2, capital,1.265625,1.0,0.0007090568542480469,0.7320290803909302
0,122265702,15636,3, of,2.359375,1.0,0.0010519027709960938,0.6571493148803711
0,122422127,15646,7, Wilmington,1.375,1.0,0.0007148981094360352,0.7306098937988281
0,127592324,15973,7, Wilmington,0.91015625,1.0,0.00047284364700317383,0.7888436317443848
0,157753202,17761,7, Wilmington,2.53125,1.0,0.0016250014305114746,0.5631691217422485
0,175865634,18753,3, of,6.0,1.0,0.001665949821472168,0.5500478148460388
0,175865634,18753,4, the,6.53125,1.0,0.0008808374404907227,0.6815698742866516
0,175865634,18753,8, is,5.625,1.0,0.00686374306678772,0.3707742989063263
0,184425614,19204,1,The,2.5,1.0,0.000673830509185791,0.7382492423057556
0,271316864,23293,2, capital,1.3515625,1.0,0.0007873773574829102,0.7049981951713562
0,275619980,23477,1,The,2.34375,1.0,0.0008015036582946777,0.7026164531707764
0,285354104,23888,6, containing,1.109375,1.0,0.00044667720794677734,0.7993257641792297
0,298644579,24438,1,The,2.859375,1.0,0.000500798225402832,0.7835205793380737
0,447169464,29904,6, containing,1.3125,1.0,0.000491023063659668,0.785010814666748
0,510545034,31953,2, capital,1.0234375,1.0,0.0006667971611022949,0.740924060344696
0,536068395,32742,7, Wilmington,1.78125,1.0,0.0014665722846984863,0.5909062027931213
0,555027902,33316,8, is,1.15625,1.0,0.0013807415962219238,0.6020877957344055
0,619009704,35184,2, capital,1.078125,1.0,0.00044995546340942383,0.7966353297233582
0,622321559,35278,7, Wilmington,1.390625,1.0,0.0011338591575622559,0.6452058553695679
0,646075430,35945,1,The,2.71875,1.0,0.001104116439819336,0.6485419273376465
0,648090002,36001,7, Wilmington,1.0703125,1.0,0.000564277172088623,0.7614181637763977
0,685665995,37030,7, Wilmington,1.828125,1.0,0.0010668635368347168,0.6550455093383789
0,698763035,37382,7, Wilmington,1.03125,1.0,0.0004508495330810547,0.7961853742599487
0,700034652,37416,2, capital,1.3046875,1.0,0.0008119940757751465,0.7010073661804199
0,705696095,37567,6, containing,4.3125,1.0,0.0023449063301086426,0.49793240427970886
0,709457945,37667,1,The,2.0,1.0,0.000453948974609375,0.7943776845932007
0,765324125,39122,3, of,4.125,1.0,0.000989675521850586,0.670355498790741
0,775214999,39374,8, is,1.609375,1.0,0.002186119556427002,0.5069932341575623
0,831565370,40780,3, of,5.21875,1.0,0.0013751983642578125,0.6034629940986633
0,831565370,40780,4, the,6.6875,1.0,0.0007802248001098633,0.7081356048583984
0,831565370,40780,8, is,6.90625,1.0,0.006398826837539673,0.38392019271850586
0,837939452,40936,3, of,5.125,1.0,0.002593100070953369,0.49045228958129883
0,858036024,41424,1,The,1.75,1.0,0.00045233964920043945,0.7952831387519836
0,864884844,41589,2, capital,1.1484375,1.0,0.0005168914794921875,0.7758867144584656
0,902381402,42481,5, state,2.53125,1.0,0.0009876489639282227,0.6723320484161377
0,951592124,43624,2, capital,1.234375,1.0,0.0006376504898071289,0.7494134902954102
0,989702294,44489,1,The,2.59375,1.0,0.000966191291809082,0.6742833256721497
