layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06526734679937363,0.13961152732372284
-1,1,651,1,The,,1.0,0.03590899705886841,0.2321562021970749
-1,2,6037,2, capital,,1.0,0.0314130038022995,0.2635692059993744
-1,3,576,3, of,,1.0,0.01599794626235962,0.304336279630661
-1,4,573,4, the,,1.0,0.012446850538253784,0.3294256329536438
-1,5,2329,5, state,,1.0,0.012642502784729004,0.31697878241539
-1,6,10751,6, containing,,1.0,0.024769127368927002,0.2883383333683014
-1,7,70310,7, Savannah,,1.0,0.07434418052434921,0.07434418052434921
-1,8,603,8, is,,1.0,0.05663567781448364,0.19624720513820648
0,-1,0,2, capital,,1.0,0.0021392107009887695,0.5342382192611694
0,-1,0,3, of,,1.0,0.0005965828895568848,0.7650517225265503
0,-1,0,5, state,,1.0,0.0011937618255615234,0.6426187753677368
0,-1,0,6, containing,,1.0,0.0013595223426818848,0.6134467720985413
0,-1,0,7, Savannah,,1.0,0.0013755559921264648,0.6107174158096313
0,-1,0,8, is,,1.0,0.0007315874099731445,0.7257816195487976
0,26795,230,8, is,3.3125,1.0,0.004856407642364502,0.4388425052165985
0,926840,1360,7, Savannah,1.625,1.0,0.0007213354110717773,0.7294122576713562
0,2338202,2161,3, of,3.9375,1.0,0.0011033415794372559,0.6495119333267212
0,2821499,2374,7, Savannah,1.921875,1.0,0.0010382533073425293,0.6633921265602112
0,13527800,5200,8, is,2.875,1.0,0.005264610052108765,0.42392241954803467
0,17508402,5916,2, capital,2.015625,1.0,0.0005519986152648926,0.7805799841880798
0,64519119,11358,7, Savannah,1.09375,1.0,0.0005242824554443359,0.7907547354698181
0,75466754,12284,1,The,2.8125,1.0,0.0005579590797424316,0.7783665657043457
0,89091225,13347,5, state,3.25,1.0,0.001221001148223877,0.6377848386764526
0,104770049,14474,7, Savannah,0.984375,1.0,0.0005096197128295898,0.7948774695396423
0,109690265,14810,3, of,1.8125,1.0,0.0006051063537597656,0.7620445489883423
0,119065595,15430,2, capital,1.265625,1.0,0.0005649328231811523,0.7766841053962708
0,122265702,15636,3, of,2.359375,1.0,0.0010471940040588379,0.661307692527771
0,122422127,15646,7, Savannah,1.390625,1.0,0.0008224248886108398,0.7055304646492004
0,175528215,18735,7, Savannah,1.0625,1.0,0.000528872013092041,0.7881297469139099
0,175865634,18753,3, of,6.0,1.0,0.001596212387084961,0.5839318633079529
0,175865634,18753,4, the,6.53125,1.0,0.000821530818939209,0.7063519954681396
0,175865634,18753,8, is,5.71875,1.0,0.006654828786849976,0.4015580713748932
0,184425614,19204,1,The,2.5,1.0,0.0006566643714904785,0.7474686503410339
0,193562649,19674,7, Savannah,1.078125,1.0,0.0005249381065368652,0.7891810536384583
0,271316864,23293,2, capital,1.3515625,1.0,0.0007240176200866699,0.7279670834541321
0,275619980,23477,1,The,2.34375,1.0,0.0008273720741271973,0.7022307515144348
0,278303027,23591,7, Savannah,2.40625,1.0,0.005177855491638184,0.42910027503967285
0,298644579,24438,1,The,2.859375,1.0,0.0005027055740356445,0.7963926792144775
0,447169464,29904,6, containing,1.3125,1.0,0.0005497932434082031,0.7816808223724365
0,494504075,31447,7, Savannah,1.65625,1.0,0.0006464719772338867,0.7520253658294678
0,510545034,31953,2, capital,1.0234375,1.0,0.0006492137908935547,0.7507308125495911
0,536068395,32742,7, Savannah,2.25,1.0,0.00264015793800354,0.49405235052108765
0,555027902,33316,8, is,0.53515625,1.0,0.0005788207054138184,0.7738394141197205
0,622321559,35278,7, Savannah,1.34375,1.0,0.00048679113388061523,0.8003431558609009
0,646075430,35945,1,The,2.71875,1.0,0.0010963678359985352,0.6517055034637451
0,700034652,37416,2, capital,1.3046875,1.0,0.0007209181785583496,0.7301331758499146
0,705696095,37567,6, containing,4.3125,1.0,0.002556741237640381,0.49920743703842163
0,765324125,39122,3, of,4.125,1.0,0.0009034276008605957,0.6901258826255798
0,775214999,39374,8, is,1.609375,1.0,0.0023245811462402344,0.5210280418395996
0,831565370,40780,3, of,5.21875,1.0,0.00138092041015625,0.6079633831977844
0,831565370,40780,4, the,6.6875,1.0,0.0008254051208496094,0.7038826942443848
0,831565370,40780,8, is,6.96875,1.0,0.0058484673500061035,0.4074065387248993
0,837939452,40936,3, of,5.125,1.0,0.002362370491027832,0.5140129327774048
0,838840319,40958,7, Savannah,4.0,1.0,0.0018630623817443848,0.5581883192062378
0,864884844,41589,2, capital,1.1484375,1.0,0.0005828142166137695,0.7720986604690552
0,902381402,42481,5, state,2.53125,1.0,0.0010639429092407227,0.6570906639099121
0,951592124,43624,2, capital,1.234375,1.0,0.0006996393203735352,0.7379385232925415
0,989702294,44489,1,The,2.59375,1.0,0.0010616779327392578,0.6581523418426514
0,996163929,44634,1,The,2.65625,1.0,0.0008120536804199219,0.7112469673156738
0,999514404,44709,6, containing,1.734375,1.0,0.0006161332130432129,0.7596084475517273
0,1068906965,46235,2, capital,3.9375,1.0,0.0009050965309143066,0.6892224550247192
0,1127246420,47480,7, Savannah,3.0625,1.0,0.0009263753890991211,0.6791329979896545
0,1134760979,47638,6, containing,1.609375,1.0,0.0005248188972473145,0.7897058725357056
0,1228171140,49560,8, is,3.265625,1.0,0.004885822534561157,0.433986097574234
0,1289075699,50774,2, capital,2.40625,1.0,0.001580655574798584,0.5902714729309082
0,1322805329,51434,1,The,2.71875,1.0,0.0009073019027709961,0.6883173584938049
0,1322805329,51434,4, the,5.375,1.0,0.0011303424835205078,0.6472798585891724
0,1352546054,52009,6, containing,1.3203125,1.0,0.0005174875259399414,0.792317271232605
0,1365841244,52264,6, containing,1.28125,1.0,0.0005663037300109863,0.7755534648895264
0,1430723777,53491,2, capital,1.578125,1.0,0.0008673667907714844,0.6971927881240845
0,1432864277,53531,2, capital,1.390625,1.0,0.0006780624389648438,0.7448198199272156
0,1468738700,54197,6, containing,0.95703125,1.0,0.0005317926406860352,0.7876008749008179
0,1468792899,54198,1,The,5.78125,1.0,0.0012131333351135254,0.6402184963226318
0,1489133450,54572,1,The,2.578125,1.0,0.0007124543190002441,0.7337086796760559
0,1557740835,55815,2, capital,5.59375,1.0,0.0025496482849121094,0.5017570853233337
0,1610252874,56748,5, state,2.015625,1.0,0.0007176399230957031,0.7315685749053955
0,1672819560,57840,5, state,2.9375,1.0,0.001262068748474121,0.6278834939002991
0,1696851639,58254,7, Savannah,1.203125,1.0,0.0004925131797790527,0.7988763451576233
0,1754955389,59243,7, Savannah,3.4375,1.0,0.0009151697158813477,0.6855939626693726
0,1815483152,60256,6, containing,1.3984375,1.0,0.0004938244819641113,0.7983838319778442
0,1876301910,61257,5, state,1.2890625,1.0,0.0005014538764953613,0.7968941330909729
0,1895032265,61562,3, of,3.15625,1.0,0.0009647607803344727,0.6744337677955627
0,1976538500,62872,1,The,2.6875,1.0,0.0005354881286621094,0.7860024571418762
0,2019269474,63548,2, capital,1.578125,1.0,0.0008313655853271484,0.700573205947876
0,2228148389,66754,6, containing,1.78125,1.0,0.000745236873626709,0.7228228449821472
0,2281805234,67553,6, containing,1.71875,1.0,0.0005220174789428711,0.791799783706665
0,2379706565,68987,2, capital,0.8515625,1.0,0.0005153417587280273,0.792832612991333
0,2380189509,68994,7, Savannah,1.609375,1.0,0.0005832314491271973,0.7715158462524414
0,2654471952,72861,7, Savannah,2.1875,1.0,0.000825345516204834,0.7047080397605896
0,2671549155,73095,6, containing,2.609375,1.0,0.000908195972442627,0.6865021586418152
0,2720305679,73759,3, of,3.5625,1.0,0.0015876293182373047,0.5871081352233887
0,2725766694,73833,6, containing,1.359375,1.0,0.0005835890769958496,0.7709326148033142
0,2880518850,75900,7, Savannah,1.7890625,1.0,0.0010772347450256348,0.6549592018127441
0,3162550214,79529,8, is,0.66015625,1.0,0.0005865097045898438,0.7691807746887207
0,3290673374,81124,1,The,3.96875,1.0,0.001067519187927246,0.6560267210006714
0,3333647030,81652,7, Savannah,1.28125,1.0,0.0006077885627746582,0.7608321905136108
0,3348197195,81830,8, is,1.34375,1.0,0.0011911392211914062,0.6438099145889282
0,3433179815,82862,2, capital,2.140625,1.0,0.0007451772689819336,0.7235680222511292
0,3746360079,86559,7, Savannah,1.21875,1.0,0.000591278076171875,0.7662362456321716
0,3837887465,87610,7, Savannah,1.15625,1.0,0.0012254714965820312,0.6365638375282288
0,3949516125,88875,6, containing,1.5859375,1.0,0.0009970664978027344,0.6705048084259033
0,3984254010,89265,4, the,3.09375,1.0,0.0005043745040893555,0.7958899736404419
0,4026499190,89737,7, Savannah,1.171875,1.0,0.0005695223808288574,0.7749871611595154
0,4047795299,89974,6, containing,2.8125,1.0,0.001250147819519043,0.6303932666778564
0,4144732580,91045,8, is,2.65625,1.0,0.006984084844589233,0.38821712136268616
0,4191113234,91553,1,The,1.21875,1.0,0.0005891323089599609,0.7680056691169739
0,4192669805,91570,1,The,3.640625,1.0,0.0007927417755126953,0.7128434181213379
0,4234806464,92029,4, the,3.671875,1.0,0.0005098581314086914,0.7943678498268127
0,4518059210,95057,8, is,4.625,1.0,0.003945440053939819,0.447340726852417
0,4537757744,95264,1,The,3.953125,1.0,0.001206517219543457,0.6414250135421753
0,4557881025,95475,2, capital,8.9375,1.0,0.0013279318809509277,0.6188134551048279
0,4557881025,95475,5, state,10.3125,1.0,0.0013151168823242188,0.6240822672843933
0,4557881025,95475,6, containing,4.9375,1.0,0.0008265376091003418,0.7030572891235352
0,4557881025,95475,7, Savannah,5.21875,1.0,0.0010972023010253906,0.6506091356277466
0,4816760324,98149,1,The,9.8125,1.0,0.0013962388038635254,0.6065824627876282
0,4816760324,98149,2, capital,8.1875,1.0,0.00148850679397583,0.6008662581443787
0,4816760324,98149,5, state,6.28125,1.0,0.0009270906448364258,0.6782066226005554
1,-1,1,2, capital,,1.0,0.0013172030448913574,0.6214518547058105
1,-1,1,5, state,,1.0,0.0007913112640380859,0.713634729385376
1,-1,1,6, containing,,1.0,0.0009802579879760742,0.6734690070152283
1,-1,1,7, Savannah,,1.0,0.0008999109268188477,0.6910257935523987
1,-1,1,8, is,,1.0,0.0008925795555114746,0.692815363407135
1,64156126,11325,7, Savannah,3.375,1.0,0.0008720755577087402,0.695454478263855
1,83598913,12928,1,The,16.0,1.0,0.001872241497039795,0.5544544458389282
1,83598913,12928,2, capital,8.875,1.0,0.0012303590774536133,0.6353383660316467
1,83598913,12928,3, of,8.125,1.0,0.0009230375289916992,0.6837576627731323
1,83598913,12928,5, state,10.25,1.0,0.0013211965560913086,0.6201346516609192
1,83598913,12928,6, containing,6.1875,1.0,0.0009980201721191406,0.6695077419281006
1,83598913,12928,7, Savannah,9.3125,1.0,0.0021137595176696777,0.538484513759613
1,83598913,12928,8, is,9.5,1.0,0.009646385908126831,0.35003700852394104
1,754253378,38837,7, Savannah,2.90625,1.0,0.0007014870643615723,0.737238883972168
1,755691124,38874,7, Savannah,1.234375,1.0,0.0005444884300231934,0.7822253108024597
1,895427719,42316,7, Savannah,2.03125,1.0,0.0005782246589660645,0.7744176387786865
1,1039885208,45602,7, Savannah,2.09375,1.0,0.0005801916122436523,0.7732605934143066
1,1134856259,47639,7, Savannah,1.453125,1.0,0.0005885958671569824,0.7685942649841309
1,1190500408,48793,7, Savannah,2.015625,1.0,0.0004999041557312012,0.7973940372467041
1,1354419079,52044,1,The,5.5625,1.0,0.0006719231605529785,0.7454917430877686
1,1354419079,52044,2, capital,13.375,1.0,0.0016580820083618164,0.5774202346801758
1,1354419079,52044,3, of,9.875,1.0,0.0012308359146118164,0.6341080069541931
1,1354419079,52044,4, the,9.375,1.0,0.0005533099174499512,0.7800279855728149
1,1354419079,52044,5, state,13.1875,1.0,0.001769423484802246,0.5672027468681335
1,1354419079,52044,6, containing,15.9375,1.0,0.0027061402797698975,0.4860703647136688
1,1354419079,52044,7, Savannah,9.5625,1.0,0.0025420784950256348,0.5042991638183594
1,1354419079,52044,8, is,9.8125,1.0,0.007832765579223633,0.36670249700546265
1,1619345593,56907,8, is,0.85546875,1.0,0.0010461807250976562,0.6623538732528687
1,1670217704,57794,1,The,16.625,1.0,0.002005159854888916,0.5467535853385925
1,1670217704,57794,2, capital,10.5,1.0,0.001810610294342041,0.5636443495750427
1,1670217704,57794,3, of,10.0625,1.0,0.001672506332397461,0.5740899443626404
1,1670217704,57794,4, the,10.125,1.0,0.0006867647171020508,0.7421000599861145
1,1670217704,57794,5, state,12.6875,1.0,0.0015886425971984863,0.5855205059051514
1,1670217704,57794,6, containing,10.5625,1.0,0.002220332622528076,0.5278146266937256
1,1670217704,57794,7, Savannah,10.625,1.0,0.0023840665817260742,0.511650562286377
1,1670217704,57794,8, is,11.375,1.0,0.007325619459152222,0.37402811646461487
1,2056424644,64129,3, of,3.5625,1.0,0.0008709430694580078,0.696325421333313
1,2648209474,72774,1,The,4.6875,1.0,0.0005397200584411621,0.7838506102561951
1,2648209474,72774,2, capital,12.0,1.0,0.0014983415603637695,0.597885012626648
1,2648209474,72774,3, of,9.625,1.0,0.001238703727722168,0.6328771710395813
1,2648209474,72774,5, state,9.9375,1.0,0.0012452006340026855,0.6316384673118591
1,2648209474,72774,6, containing,14.0,1.0,0.0021438002586364746,0.5299584269523621
1,2648209474,72774,7, Savannah,11.125,1.0,0.0018845200538635254,0.5525822043418884
1,2648209474,72774,8, is,10.1875,1.0,0.008832722902297974,0.358869731426239
1,2718461978,73733,8, is,0.4609375,1.0,0.0006044507026672363,0.7626489996910095
1,2766378151,74380,2, capital,3.25,1.0,0.0007483959197998047,0.7220776081085205
1,3631181588,85217,2, capital,2.203125,1.0,0.0006560087203979492,0.7481246590614319
1,4243001138,92117,8, is,0.5546875,1.0,0.000543057918548584,0.7827683687210083
1,4489207633,94752,7, Savannah,3.875,1.0,0.0010947585105895996,0.6528002619743347
2,-1,2,2, capital,,1.0,0.0014637112617492676,0.6023299694061279
2,-1,2,3, of,,1.0,0.0005817413330078125,0.772680401802063
2,-1,2,5, state,,1.0,0.0005616545677185059,0.7778086066246033
2,-1,2,6, containing,,1.0,0.0009959936141967773,0.6715008020401001
2,-1,2,7, Savannah,,1.0,0.0007911920547485352,0.7144259214401245
2,-1,2,8, is,,1.0,0.0005393028259277344,0.7843899130821228
2,1792668,1890,2, capital,3.171875,1.0,0.0006159543991088867,0.7602244019508362
2,681007962,36902,2, capital,3.5625,1.0,0.00090789794921875,0.6874100565910339
2,907614312,42602,8, is,1.6875,1.0,0.0011676549911499023,0.6461495161056519
2,2905925727,76232,8, is,2.328125,1.0,0.0006808638572692871,0.7427809238433838
2,3363107088,82010,8, is,1.578125,1.0,0.0013553500175476074,0.6148021221160889
2,4678104625,96724,7, Savannah,1.90625,1.0,0.0007398724555969238,0.7250500321388245
3,-1,3,3, of,,1.0,0.000713646411895752,0.7329962253570557
3,-1,3,6, containing,,1.0,0.00125962495803833,0.6291431188583374
3,-1,3,7, Savannah,,1.0,0.0007613897323608398,0.7198196649551392
3,-1,3,8, is,,1.0,0.0009262561798095703,0.6800592541694641
3,3796386,2751,8, is,2.796875,1.0,0.0015826821327209473,0.5886908173561096
3,97601402,13967,8, is,1.515625,1.0,0.0006418228149414062,0.753957986831665
3,413324372,28747,3, of,5.375,1.0,0.0007299184799194336,0.7272430658340454
3,666252752,36499,3, of,5.125,1.0,0.0010544657707214355,0.6592068076133728
3,1393048932,52779,6, containing,2.25,1.0,0.0005906224250793457,0.766826868057251
3,2204978024,66403,8, is,1.7109375,1.0,0.0009385943412780762,0.677279531955719
3,2218013102,66599,7, Savannah,16.375,1.0,0.001081705093383789,0.6538819670677185
4,-1,4,2, capital,,1.0,0.000513911247253418,0.7933465242385864
4,-1,4,3, of,,1.0,0.0009493231773376465,0.6763409376144409
4,-1,4,5, state,,1.0,0.0005628466606140137,0.7772469520568848
4,-1,4,6, containing,,1.0,0.0009578466415405273,0.6753916144371033
4,-1,4,7, Savannah,,1.0,0.000697791576385498,0.7393351197242737
4,-1,4,8, is,,1.0,0.0021080970764160156,0.540592610836029
4,5908198,3432,8, is,1.140625,1.0,0.0007871389389038086,0.7152130603790283
4,7704770,3920,1,The,2.515625,1.0,0.0004916191101074219,0.7993679642677307
4,294577123,24267,8, is,1.8203125,1.0,0.001025557518005371,0.6675041317939758
4,1372329850,52384,5, state,4.3125,1.0,0.0007039904594421387,0.7365373969078064
4,1462512481,54078,8, is,1.234375,1.0,0.0006170272827148438,0.7589923143386841
4,1481230801,54423,6, containing,2.515625,1.0,0.0005541443824768066,0.7789207100868225
4,1558857361,55831,2, capital,4.59375,1.0,0.0006538033485412598,0.7487784624099731
4,1688880016,58113,8, is,2.15625,1.0,0.0008878111839294434,0.6937031745910645
4,2089003198,64632,7, Savannah,1.171875,1.0,0.0023479461669921875,0.516360878944397
4,2479100900,70409,6, containing,2.484375,1.0,0.0005379915237426758,0.7854669690132141
4,2627218823,72482,8, is,1.609375,1.0,0.0008037090301513672,0.7120506763458252
4,3497866615,83635,2, capital,17.875,1.0,0.0005263686180114746,0.7886561155319214
4,3497866615,83635,7, Savannah,13.8125,1.0,0.0009211301803588867,0.6846787929534912
4,4784229466,97813,3, of,4.125,1.0,0.0006495118141174316,0.7500815987586975
4,4784229466,97813,8, is,1.703125,1.0,0.0005539655685424805,0.779474675655365
5,-1,5,2, capital,,1.0,0.0005230307579040527,0.7912777662277222
5,-1,5,3, of,,1.0,0.0006028413772583008,0.7638556957244873
